Optimize time:76.71125134163432
Begin Prob:-13524.96707640373
End Prob:-13411.099796003273
Substitution parameters back:[0.2617073125785241, 0.20317158439274222, 0.21161138324402706, 0.32350971978470666, 3.820278146489801]
Substitution parameters hot:[0.38375052905119544, 0.09339933834135082, 0.2521086419295109, 0.2707414906779429, 4.029839513484521]
Transition parameters:[0.9986900479102191, 0.7686311819455639, 0.001066040854390544]
hscale parameters:19.331702311584674
Trees:
(3:708.2042242954366,((4:236.13484832705709,1:690.9833146420469):707.5422811162716,(2:673.7605197458133,5:708.2042242954366):708.2042242954366):674.3694015807728);
(3:673.7623616618124,(1:696.304399616749,(4:381.9542066276285,(2:708.2042242954366,5:916.8670923107081):628.0128064513915):708.2145827227492):708.2042242954366);
(3:690.9833146420469,(5:628.9543732501824,(4:706.7550594210367,(2:916.8670923107081,1:236.06874143181216):715.2877689762918):708.2100952426464):708.2042242954366);
(3:236.13484832705709,(4:710.5758835808343,(2:707.5204025087675,(1:708.1837523039638,5:381.955899478466):236.13484832705709):628.6158424525688):673.4036334508102);
(3:727.4577067044123,(4:673.3093612588839,(5:384.34653950058635,(2:236.06874143181216,1:236.13484832705709):236.06874143181216):513.1247326227444):416.4744770673894);
(3:799.5374627652864,(2:708.2044372673905,(1:663.5924276012071,(4:727.4576885452101,5:600.0702298797029):618.0354149769548):708.2042242954366):236.13484832705709);
(3:681.7354357085114,(2:708.2042242954366,(5:708.2042242954366,(4:708.1913495603984,1:605.674520427751):708.2042242954366):673.3092586134055):916.8670923107081);
(3:708.1837523039638,(4:708.2042242954366,(1:708.2042242954366,(2:708.2038425117017,5:525.6268221178816):381.9666292840938):916.8670923107081):708.2042242954366);
(3:236.06874143181216,(5:697.9208732895785,(1:236.06874143181216,(2:560.4882766375098,4:690.9834905370902):381.9588264235642):712.4466101405127):707.6704692999826);
(3:730.2207733234139,(1:708.0710772786291,(5:381.9666292840938,(2:743.4865056512988,4:722.1186212454745):708.2042242954366):618.0354149769548):666.9053336822163);
(3:704.9152504714286,(5:707.2997476217305,(2:236.06874143181216,(4:708.2042242954366,1:381.9588264235642):236.06874143181216):635.9788974425855):708.2042242954366);
(3:673.7623616618124,((2:635.6109827316882,4:708.1953832673231):313.22300732155475,(1:628.0320555754803,5:690.9833146420469):560.4882766375098):751.5499918253123);
(3:708.2042242954366,(1:618.0354149769548,(2:708.2042242954366,(4:635.5969260072474,5:690.9833146420469):236.06874143181216):708.2042242954366):672.8989969635551);
(3:708.2042242954366,((2:708.2042242954366,1:916.8670923107081):381.9666292840938,(4:729.6738117584653,5:708.2042242954366):708.2042242954366):673.3957935954481);
(3:708.2042242954366,(2:690.3950170233633,(4:708.1679021825325,(1:691.279874224959,5:708.2042242954366):618.0354149769548):690.9833146420469):708.1793759166045);
(3:13690.793239886123,((4:4564.888593249866,1:13357.883740932099):13677.996751399322,(2:13024.937797024631,5:13690.793239886123):13690.793239886123):13036.708519400998);
(3:13024.973404396409,(1:13460.749371637687,(4:7383.825019182816,(2:13690.793239886123,5:17724.601687838836):12140.556622181144):13690.993485919347):13690.793239886123);
(3:13357.883740932099,(5:12158.75871124184,(4:13662.778415933819,(2:17724.601687838836,1:4563.610634430248):13827.730216967224):13690.90673528987):13690.793239886123);
(3:4564.888593249866,(4:13736.641451175938,(2:13677.573800672058,(1:13690.397481441247,5:7383.857744871265):4564.888593249866):12152.214334639071):13018.038577410545);
(3:14062.995830277774,(4:13016.216135459967,(5:7430.072886113056,(2:4563.610634430248,1:4564.888593249866):4563.610634430248):9919.574579774377):8051.16061103967);
(3:15456.420217138231,(2:13690.797356996536,(1:12828.371266608341,(4:14062.995479229481,5:11600.3790500786):11947.676660351191):13690.793239886123):4564.888593249866);
(3:13179.106498375415,(2:13690.793239886123,(5:13690.793239886123,(4:13690.544349341024,1:11708.719526621093):13690.793239886123):13016.214151148135):17724.601687838836);
(3:13690.397481441247,(4:13690.793239886123,(1:13690.793239886123,(2:13690.785859356612,5:10161.261252167158):7384.065170279523):17724.601687838836):13690.793239886123);
(3:4563.610634430248,(5:13491.99855947534,(1:4563.610634430248,(2:10835.192513089458,4:13357.887141282714):7383.914327702585):13772.805780134015):13680.474847206686);
(3:14116.41061162339,(1:13688.219281393525,(5:7384.065170279523,(2:14372.859799931224,4:13959.782219569477):13690.793239886123):11947.676660351191):12892.41538075265);
(3:13627.211777009807,(5:13673.308166082265,(2:4563.610634430248,(4:13690.793239886123,1:7383.914327702585):4563.610634430248):12294.554721809904):13690.793239886123);
(3:13024.973404396409,((2:12287.442304142784,4:13690.622327762505):6055.133934679603,(1:12140.928740517787,5:13357.883740932099):10835.192513089458):14528.740714240834);
(3:13690.793239886123,(1:11947.676660351191,(2:13690.793239886123,(4:12287.170563730417,5:13357.883740932099):4563.610634430248):13690.793239886123):13008.283095063367);
(3:13690.793239886123,((2:13690.793239886123,1:17724.601687838836):7384.065170279523,(4:14105.836913473924,5:13690.793239886123):13690.793239886123):13017.88701966052);
(3:13690.793239886123,(2:13346.510946497092,(4:13690.091071612134,(1:13363.616742506603,5:13690.793239886123):11947.676660351191):13357.883740932099):13690.312878423616);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15, Posteriors16, Posteriors17, Posteriors18, Posteriors19, Posteriors20, Posteriors21, Posteriors22, Posteriors23, Posteriors24, Posteriors25, Posteriors26, Posteriors27, Posteriors28, Posteriors29, Posteriors30,
0, 0.057123740493673074, 0.004342461325533013, 0.06623869062828182, 0.11378954220369956, 0.11394241656770673, 0.09170227484695052, 0.0037037351149314763, 0.0043962022331960875, 0.09130439882257285, 0.08117663118282255, 0.0037038672238001113, 0.09151986577200677, 0.0852261662450981, 0.09166068993954385, 0.09169960205149194, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704829928, 0.0005646476704829928, 0.0005646476704809386, 0.0005646476704809386, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704819657, 0.0005646476704829928,
1, 0.05735955595640877, 0.004264434716058634, 0.06644365593071873, 0.11420515840438754, 0.11435871103839496, 0.0920196700940951, 0.003625043904962731, 0.004318387402218657, 0.09162005541009174, 0.08144435659012111, 0.0036251738711569653, 0.09183646746987875, 0.08551174323282976, 0.09197790106065287, 0.0920169859482716, 0.00035817991195766073, 0.00035817991195766073, 0.00035817991195766073, 0.00035817991195766073, 0.00035817991195766073, 0.0003581799119583122, 0.00035817991195766073, 0.0003581799119583122, 0.00035817991195766073, 0.00035817991195766073, 0.0003581799119583122, 0.00035817991195766073, 0.0003581799119583122, 0.0003581799119583122, 0.0003581799119589638,
2, 0.057474047018702026, 0.004168822209108566, 0.06650688099639718, 0.11437975789731976, 0.11453367152220877, 0.09214247509625366, 0.003526907933076303, 0.004222683544918247, 0.09174195294302206, 0.08154377602263461, 0.003527035998521558, 0.09195886152863846, 0.08562032986702937, 0.09210060909156666, 0.09213978442639341, 0.00029416024105284296, 0.00029416024105284296, 0.00029416024105337807, 0.00029416024105337807, 0.00029416024105337807, 0.0002941602410539131, 0.00029416024105337807, 0.0002941602410539131, 0.0002941602410539131, 0.0002941602410539131, 0.0002941602410544482, 0.0002941602410539131, 0.0002941602410544482, 0.0002941602410544482, 0.0002941602410544482,
3, 0.0576469513216844, 0.00405154300254733, 0.06661065787326861, 0.11462172765063934, 0.11477608826864595, 0.09231989175301167, 0.0034076209330418427, 0.004105244357729318, 0.09191824304287959, 0.08169221930131342, 0.003407743342601119, 0.09213576753050397, 0.08578017369280135, 0.09227790550415937, 0.09231719315832797, 0.00019540193175509354, 0.00019540193175509354, 0.000195401931755449, 0.000195401931755449, 0.000195401931755449, 0.000195401931755449, 0.00019540193175509354, 0.00019540193175580442, 0.000195401931755449, 0.000195401931755449, 0.000195401931755449, 0.000195401931755449, 0.00019540193175580442, 0.00019540193175580442, 0.00019540193175580442,
4, 0.05779191647116775, 0.003939768484324072, 0.06664196338187192, 0.11474254517965804, 0.1148972033346748, 0.09239853972983333, 0.003286473015512101, 0.003993233342279276, 0.09199615735776993, 0.08175469893542406, 0.0032865899479476595, 0.09221408330360496, 0.08584994959382151, 0.09235647405930361, 0.09239583610292307, 0.00016363783139534114, 0.00016363783139534114, 0.00016363783139593648, 0.00016363783139593648, 0.00016363783139623412, 0.00016363783139593648, 0.00016363783139593648, 0.00016363783139593648, 0.00016363783139623412, 0.00016363783139623412, 0.00016363783139623412, 0.00016363783139623412, 0.00016363783139653178, 0.00016363783139653178, 0.00016363783139653178,
5, 0.05787936635465775, 0.003849449011988757, 0.06667195410063685, 0.11486062098876874, 0.11501557109937993, 0.09247561498225144, 0.003186722660753278, 0.0039025634266628604, 0.09207250350552126, 0.0818188591656145, 0.0031868366196923237, 0.09229082805571338, 0.08592117881736831, 0.09243347098495062, 0.09247290635847144, 0.0001307702383920261, 0.00013077023839226396, 0.00013077023839297758, 0.00013077023839297758, 0.00013077023839321543, 0.00013077023839297758, 0.00013077023839297758, 0.0001307702383927397, 0.00013077023839321543, 0.00013077023839321543, 0.00013077023839297758, 0.00013077023839321543, 0.0001307702383934533, 0.0001307702383934533, 0.0001307702383934533,
6, 0.05794014245096571, 0.0037723784873521867, 0.06668597840212473, 0.11495239048828901, 0.11510760221594644, 0.09253173664981736, 0.003100903880134372, 0.0038250244532545027, 0.09212797392869679, 0.08186677783613526, 0.003101017261854055, 0.09234665441721944, 0.08597521602614358, 0.09248952311433192, 0.09252902320269453, 0.00010984379290971592, 0.00010984379291011553, 0.00010984379291051514, 0.00010984379291071495, 0.00010984379291071495, 0.00010984379291071495, 0.00010984379291071495, 0.00010984379291051514, 0.00010984379291091475, 0.00010984379291091475, 0.00010984379291051514, 0.00010984379291091475, 0.00010984379291111456, 0.00010984379291111456, 0.00010984379291091475,
7, 0.05799417005300745, 0.0037120120151565533, 0.06672228426446895, 0.11508364624297482, 0.11523917523325578, 0.09261919414740576, 0.003031677739003406, 0.003764511397170752, 0.09221464067150732, 0.08193936544541108, 0.00303179213648284, 0.09243375279713077, 0.08605554433180362, 0.09257689678353707, 0.09261647467293607, 6.432411843615052e-05, 6.432411843626752e-05, 6.432411843626752e-05, 6.432411843638452e-05, 6.432411843650154e-05, 6.432411843650154e-05, 6.432411843661853e-05, 6.432411843661853e-05, 6.432411843673555e-05, 6.432411843661853e-05, 6.432411843650154e-05, 6.432411843650154e-05, 6.432411843661853e-05, 6.432411843661853e-05, 6.432411843661853e-05,
8, 0.05804376924447529, 0.003645573708378983, 0.06671648948662058, 0.11514333935252727, 0.11529908790576034, 0.09264822105470284, 0.0029561304436810858, 0.0036978509346693835, 0.09224314554971018, 0.0819570494605797, 0.002956244084700586, 0.09246254584830166, 0.08607836407373232, 0.09260586666162572, 0.09264549781135224, 6.0054939136522466e-05, 6.0054939136631707e-05, 6.005493913674095e-05, 6.005493913674095e-05, 6.005493913685019e-05, 6.005493913685019e-05, 6.005493913695943e-05, 6.005493913695943e-05, 6.005493913695943e-05, 6.005493913695943e-05, 6.005493913685019e-05, 6.005493913685019e-05, 6.005493913695943e-05, 6.005493913695943e-05, 6.005493913695943e-05,
9, 0.05817070295359781, 0.0035567953947830333, 0.06671092884412459, 0.11520573347104736, 0.11536170892296868, 0.09267871668709363, 0.0028563244223599165, 0.0036087235824352293, 0.09227309945824504, 0.08197642822675852, 0.00285643579573164, 0.09249279858765556, 0.08610301389449804, 0.09263630285057325, 0.09267598958986499, 5.575313502118145e-05, 5.575313502118145e-05, 5.575313502138428e-05, 5.575313502138428e-05, 5.575313502148569e-05, 5.575313502148569e-05, 5.5753135021587105e-05, 5.5753135021587105e-05, 5.5753135021587105e-05, 5.5753135021587105e-05, 5.5753135021587105e-05, 5.575313502148569e-05, 5.5753135021587105e-05, 5.5753135021587105e-05, 5.5753135021587105e-05,
