Optimize time:18.39202132768101
Begin Prob:-13584.72394840284
End Prob:-13529.127994826713
Substitution parameters:[0.21232322094870784, 0.2791334980898889, 0.2789649235478837, 0.22957835741351962, 1.5344599081899457]
Trees:
(3:581.2530733242231,(1:581.2530733242231,(5:914.8551401361121,(2:581.5598987528356,4:581.5598987528356):926.9764669673093):581.5598987528356):912.6889495691074);
(3:581.5598987528356,((2:584.6487715192892,5:581.5598987528356):808.427827735989,(1:909.8625970639647,4:581.5598987528356):584.6487715192892):909.3852588001309);
(3:808.427827735989,(1:584.6487715192892,(2:581.5598987528356,(4:914.8491792810864,5:584.6487715192892):914.8551401361121):909.6596219108264):909.8625970639647);
(3:912.6889495691074,(2:907.740022784278,(1:581.2530733242231,(4:909.385306381694,5:581.2530733242231):617.9935144077539):909.74622245308):581.5598987528356);
(3:901.6939071273446,((2:901.6483702469885,4:912.6889495691074):581.2531246499474,(1:901.6939071273446,5:581.5598987528356):581.5598987528356):581.2530733242231);
(3:581.5598987528356,(1:581.2530733242231,(4:581.5598987528356,(2:808.427827735989,5:581.5598987528356):581.5598987528356):904.8027414883184):912.6889495691074);
((2:584.6523211578066,3:909.8625970639647):581.5598987528356,(5:584.6523211578066,(1:581.5598987528356,4:581.5598987528356):808.6073177608903):581.5598987528356);
(3:931.1164908577614,(5:581.5598987528356,(4:912.6889495691074,(1:926.9764669673093,2:909.8329296470772):914.8551401361121):901.6939071273446):808.6072393421616);
(3:581.5598987528356,(4:926.9764669673093,(5:909.8627105784448,(1:909.8625970639647,2:581.5598987528356):584.6487715192892):808.6136108029814):808.6135473608972);
((2:581.5598987528356,3:581.5598987528356):581.5598987528356,(4:581.2531246499474,(1:907.740022784278,5:619.5023583773561):581.5598987528356):581.2531246499474);
(3:618.485632111083,(4:581.5598987528356,(2:618.034370715906,(1:581.5598987528356,5:581.5598987528356):581.5598987528356):581.5598987528356):581.5598987528356);
(3:999.9999215812713,(4:999.9999215812713,(1:999.9999215812713,(2:999.9999215812713,5:999.9999215812713):999.9596027630816):999.9999215812713):999.9999215812713);
(3:999.9999215812713,(5:999.9596027630816,(1:999.931284073672,(2:907.7401779184602,4:999.9999215812713):999.9999215812713):999.9999215812713):999.959554297642);
(3:909.8625970639647,(5:981.3423767040375,(2:581.5598987528356,(1:912.6889495691074,4:984.7848211318752):909.8625970639647):581.5598987528356):581.2531246499474);
(3:618.0332855360549,((4:0.773938,5:0.624039):0.147659,(1:619.9255281551825,2:617.4040234989507):1e-06):0.624514);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0006955029932234984, 0.0006955029932209682, 0.0006955029932234984, 0.0006955029932234984, 0.0063996887704928255, 0.23844870225838655, 0.07431669708096679, 0.07689008221801037, 0.07697737943821269, 0.07419825426527943, 0.08654968631101018, 0.09822281116956644, 0.0866198205563777, 0.08645762314998547, 0.0921372426896516,
1, 0.0006638902757449294, 0.0006638902757437218, 0.0006638902757449294, 0.0006638902757449294, 0.006053177894769711, 0.2395774216614073, 0.07416351485944847, 0.07676211523162688, 0.07685005928167493, 0.07404697037199846, 0.08651637233111335, 0.09827478878501897, 0.08658695310460304, 0.08642192515618231, 0.092091140099607,
2, 0.0006609943537525922, 0.0006609943537513899, 0.0006609943537525922, 0.0006609943537525922, 0.005502717346408404, 0.24085487747292952, 0.07397599952070262, 0.07664869710664853, 0.0767372407543641, 0.07385802159001736, 0.0864699725142465, 0.09832660816826687, 0.08654099774252257, 0.08637659675773897, 0.09206429349243661,
3, 0.0006168019576684725, 0.0006168019576673505, 0.0006168019576684725, 0.0006168019576684725, 0.005007599502429148, 0.2421475484229256, 0.07380115484948187, 0.07655480889030918, 0.07664393187463568, 0.07368945362557275, 0.08641171326660363, 0.09835038258125277, 0.08648320783258757, 0.08631089860206445, 0.09213209260323092,
4, 0.0005277047420011807, 0.000527704741999261, 0.0005277047420011807, 0.0005277047420011807, 0.004359299621947333, 0.24329780774979565, 0.07368272742046775, 0.07651462038336679, 0.07660439908633676, 0.07357440926154964, 0.08641741025629754, 0.09844777894198763, 0.08648948146947498, 0.08631162912518309, 0.09218961759794546,
5, 0.00031721997887698195, 0.0003172199788764049, 0.00031721997887698195, 0.00031721997887698195, 0.003710695931392157, 0.24462382683108921, 0.07362256375352104, 0.07646537067868826, 0.07655602181270965, 0.07351306025049476, 0.08649787049355795, 0.09865181528845259, 0.08657059809349701, 0.08639196298664718, 0.09212733384744147,
6, 0.00016374724234518933, 0.00016374724234489147, 0.00016374724234518933, 0.00016374724234518933, 0.0032918844040830102, 0.24591433982955893, 0.07353930316937315, 0.07635016117254446, 0.07644165773692863, 0.07342259800367006, 0.08652832382111417, 0.09881830519473263, 0.08660161438560787, 0.08642886019654461, 0.09200796299952028,
7, 0.0001505573261234844, 0.0001505573261234844, 0.00015055732612375826, 0.0001505573261234844, 0.0030641942341408357, 0.24709267543864855, 0.07339653408636962, 0.07615644981766204, 0.07624869988415495, 0.07327538292352176, 0.08648941963744802, 0.09890458060106135, 0.08656315702165494, 0.08639445795814955, 0.0918122189748815,
8, 0.00011729809644272411, 0.00011729809644251076, 0.00011729809644272411, 0.00011729809644272411, 0.0029070382764341237, 0.24824424215676097, 0.07326118502463345, 0.07596865607317646, 0.07606173234394209, 0.07313233518368473, 0.08648277876365076, 0.09904421115634297, 0.08655693520723778, 0.08639674032422827, 0.09147495298685805,
9, 9.945806079248375e-05, 9.945806079248375e-05, 9.945806079248375e-05, 9.945806079248375e-05, 0.0028493994184882643, 0.2494566645697391, 0.07307171847083163, 0.07577805439010131, 0.07587190452990643, 0.07293874514411794, 0.08644682290554465, 0.09915366665934161, 0.0865213996327026, 0.08636697432350471, 0.09114681759533859,
10, 6.360652930771638e-05, 6.360652930760068e-05, 6.360652930771638e-05, 6.360652930771638e-05, 0.0027886870944823796, 0.2505188550616308, 0.072917789645998, 0.07561941804413591, 0.07571406375857298, 0.07277886306953611, 0.08643677372186548, 0.09928974559058279, 0.08651183300232942, 0.08636486819099634, 0.09080467658548955,
11, 2.420349275396061e-05, 2.420349275396061e-05, 2.420349275396061e-05, 2.420349275396061e-05, 0.0027946587000103134, 0.25167923789849844, 0.07278177003502898, 0.07540818416067212, 0.07550366066630285, 0.07263070195555027, 0.08640654503367551, 0.0993962514300725, 0.08648204713693897, 0.08634899369269107, 0.09047113520221002,
12, 1.2143507387947411e-05, 1.2143507387925322e-05, 1.2143507387947411e-05, 1.2143507387947411e-05, 0.002907046401117757, 0.25276009094509566, 0.07263240410909076, 0.07518132152319681, 0.07527758607930116, 0.07246645259673762, 0.08637004038754398, 0.09951114160539055, 0.08644587202983724, 0.08633046467876543, 0.0900690054969322,
13, 3.5637084613763205e-05, 3.5637084613763205e-05, 3.5637084613763205e-05, 3.5637084613763205e-05, 0.0031904385872332363, 0.2537398108901019, 0.07245671822982137, 0.0749310426194235, 0.07502802277195195, 0.07227853449746098, 0.08632540231090574, 0.09960736472941238, 0.08640143200398973, 0.0863023760082402, 0.08959630889595147,
14, 5.025269742479251e-05, 5.025269742479251e-05, 5.025269742479251e-05, 5.025269742479251e-05, 0.003363079601129162, 0.25486758727287495, 0.07223210370599852, 0.07470510233988743, 0.07480283161626264, 0.07204094330465394, 0.08631109117080832, 0.09975639760073235, 0.08638738067485638, 0.08630574362187549, 0.08902672818452831,
15, 8.641899217161734e-05, 8.641899217161734e-05, 8.641899217161734e-05, 8.641899217161734e-05, 0.0035327127984900726, 0.25605394958973055, 0.07195800747670976, 0.07448697570570016, 0.07458539574935777, 0.07176398636714201, 0.08628591950345905, 0.09988534933773423, 0.08636242461484299, 0.0862875943734609, 0.08845200839847168,
16, 9.834975633255173e-05, 9.834975633255173e-05, 9.834975633255173e-05, 9.834975633255173e-05, 0.0037205890682709916, 0.25724770301838895, 0.07169466204182222, 0.07428416978721833, 0.07438326107790756, 0.07150473614407463, 0.08624645477457406, 0.0999848699272539, 0.08632319981115062, 0.08624739377424685, 0.08796956143248703,
17, 0.0001007719382439859, 0.0001007719382439859, 0.0001007719382439859, 0.0001007719382439859, 0.003798571821266796, 0.2584836523727316, 0.07145129154311218, 0.07409329975432721, 0.07419305435451704, 0.07126525469870575, 0.0862084087364116, 0.10005102206898663, 0.08628542802184902, 0.0862077923289022, 0.08755913642979789,
18, 7.956541755269275e-05, 7.956541755269275e-05, 7.956541755269275e-05, 7.956541755269275e-05, 0.00389287196883139, 0.2597307111507731, 0.07121821966593063, 0.07391743344501647, 0.07401783452953481, 0.0710429081731981, 0.08615652356397524, 0.10008870692739683, 0.08623384190940507, 0.08614665071468873, 0.08723603616426347,
19, 5.216882982605722e-05, 5.216882982605722e-05, 5.216882982605722e-05, 5.216882982605722e-05, 0.003999438261749716, 0.26109369517340086, 0.07099416484167768, 0.07368914914218676, 0.0737903225076464, 0.07082740381942332, 0.08612163921615879, 0.10016320461263258, 0.0861993111629522, 0.08610486088484844, 0.08680813494057173,
