Optimize time:9.20616784963343
Begin Prob:-13632.24864197997
End Prob:-13626.660344888012
Substitution parameters:[0.2667925072849669, 0.19521393462088016, 0.2178852468451363, 0.3201083112490165, 9.987477865905266]
Trees:
(1:999.9999215812713,((4:999.9999215812713,2:999.9999215812713):999.9999215812713,(3:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(2:999.9999215812713,(4:999.9999215812713,(3:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,((2:999.9999215812713,5:999.9999215812713):999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(2:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(3:999.9999215812713,(2:999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(3:999.9999215812713,(5:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((2:999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,5:999.9999215812713):999.9999215812713);
(1:999.9999215812713,(4:999.9999215812713,(2:999.9999215812713,(3:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(4:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((4:999.9999215812713,(3:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,5:999.9999215812713):999.9999215812713);
(1:999.9999215812713,(4:999.9999215812713,(3:999.9999215812713,(2:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,((3:999.9999215812713,2:999.9999215812713):999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(2:999.9999215812713,(3:999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:541.7700598719684,(3:708.207956771884,(4:513.1996752455478,(2:0.800914,5:2.26489):1e-06):0.279702):1.31308);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.00017747909834230207, 0.00017747909834230207, 0.0001774790983571524, 0.00017747909835908937, 0.00017747909834230207, 0.00017747909835682954, 0.0001774790983571524, 0.0001774790983571524, 0.0001774790983571524, 0.00017747909834230207, 0.0001774790983571524, 0.8988275831135121, 0.03517457320641861, 0.040120916709582316, 0.023924657386961742,
1, 0.000172933554973231, 0.000172933554973231, 0.00017293355498770096, 0.00017293355498958834, 0.000172933554973231, 0.0001729335549873864, 0.00017293355498770096, 0.00017293355498770096, 0.00017293355498770096, 0.000172933554973231, 0.00017293355498770096, 0.898886308892027, 0.03517179643194377, 0.040118461940304585, 0.02392116412837613,
2, 0.00016739683340059685, 0.00016739683340059685, 0.00016739683341521251, 0.00016739683341764845, 0.00016739683340059685, 0.00016739683341490802, 0.00016739683341521251, 0.00016739683341521251, 0.00016739683341521251, 0.00016739683340059685, 0.00016739683341551699, 0.8989550993128644, 0.03516930610233503, 0.040116344247634377, 0.02391788566760388,
3, 0.00016291455413811664, 0.00016291455413811664, 0.0001629145541526373, 0.00016291455415471168, 0.00016291455413811664, 0.00016291455415234096, 0.0001629145541526373, 0.0001629145541526373, 0.0001629145541526373, 0.00016291455413811664, 0.0001629145541526373, 0.8990150856896584, 0.03516584591473594, 0.040113177515075114, 0.02391383128399822,
4, 0.00015911347039722755, 0.00015911347039722755, 0.0001591134704114094, 0.0001591134704134354, 0.00015911347039722755, 0.00015911347041111998, 0.0001591134704114094, 0.0001591134704114094, 0.0001591134704114094, 0.00015911347039722755, 0.0001591134704114094, 0.899069964949617, 0.03516156238450764, 0.04010913513732652, 0.023909089852414724,
5, 0.000156281569254439, 0.000156281569254439, 0.00015628156926836845, 0.00015628156927035837, 0.000156281569254439, 0.00015628156926808417, 0.00015628156926836845, 0.00015628156926836845, 0.00015628156926836845, 0.000156281569254439, 0.00015628156926836845, 0.8991134794771772, 0.035157511045521554, 0.040105291716881326, 0.023904620996835185,
6, 0.00015284577984939896, 0.00015284577984939896, 0.0001528457798633002, 0.00015284577986496834, 0.00015284577984939896, 0.00015284577986274416, 0.0001528457798633002, 0.0001528457798633002, 0.0001528457798633002, 0.00015284577984939896, 0.0001528457798633002, 0.8991632218884532, 0.0351536171519344, 0.04010163550391563, 0.023900222374942534,
7, 0.00014883734967641833, 0.00014883734967641833, 0.00014883734968995502, 0.00014883734969157943, 0.00014883734967641833, 0.00014883734968941355, 0.00014883734968995502, 0.00014883734968995502, 0.00014883734968995502, 0.00014883734967641833, 0.00014883734968995502, 0.8992183844584545, 0.035150036214237526, 0.04009832491731352, 0.023896044062747524,
8, 0.00014410388914380654, 0.00014410388914380654, 0.00014410388915717483, 0.00014410388915874758, 0.00014410388914380654, 0.0001441038891569127, 0.00014410388915717483, 0.00014410388915717483, 0.00014410388915717483, 0.00014410388914380654, 0.00014410388915717483, 0.8992806346438791, 0.035146773073930986, 0.04009537157429128, 0.023892078424975087,
9, 0.00013901160309712134, 0.00013901160309712134, 0.00013901160311001725, 0.00013901160311204013, 0.00013901160309712134, 0.0001390116031097644, 0.00013901160311001725, 0.00013901160311001725, 0.00013901160311001725, 0.00013901160309712134, 0.00013901160311027011, 0.8993456579021039, 0.03514391916724531, 0.040092855428824035, 0.023888440365843547,
