Optimize time:0.3921539936463038
Begin Prob:-27337.669809109
End Prob:-26988.169076249298
Substitution parameters:[0.27033307876953244, 0.20187853555089383, 0.21322990088906824, 0.31455848479050547, 1.5355227074856599]
Trees:
(1:617.0179374052916,(2:603.5173788942315,(3:682.3487672549503,4:618.0341893832979):615.1479389114955):760.1076204632486);
(1:617.0179374052916,(3:581.0905859163029,(4:600.5755871662378,2:760.1076204632486):639.485042877109):621.269114632392);
(1:1.08116,(4:0.309411,(3:618.034370715906,2:1.4448):1e-06):1.08116);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.9861731265913959, 0.006918279066155566, 0.006908592137736176,
1, 0.9866769457228408, 0.006666399182314527, 0.006656652892268532,
2, 0.9874375677086004, 0.006286070016905557, 0.006276360076980478,
3, 0.9877319276189069, 0.006138903552016093, 0.006129166633507507,
4, 0.9881911223291747, 0.005909280425631913, 0.005899595048663588,
5, 0.9889053638075863, 0.005552062112702975, 0.005542571880982876,
6, 0.989754787082139, 0.005127298848890332, 0.005117911871371218,
7, 0.9911236544117507, 0.00444267045358855, 0.004433672939576651,
8, 0.9918100201773448, 0.004099426204067283, 0.004090551420799436,
9, 0.9920800550759612, 0.0039644011642501024, 0.003955541562251902,
10, 0.9921540938633933, 0.003927406442865369, 0.003918497498289749,
11, 0.9921509412213441, 0.003929027077005081, 0.003920029506152237,
12, 0.9919937492510409, 0.004007734227558178, 0.003998514322444619,
13, 0.9919178210398191, 0.0040457740545516985, 0.004036402712914433,
14, 0.9919024413070516, 0.004053507846304308, 0.004044048649907174,
15, 0.9919775602524513, 0.004015966502532441, 0.004006471049880254,
16, 0.9921227723400887, 0.003943352861324472, 0.0039338726007425925,
17, 0.9921769018276548, 0.003916303245162168, 0.00390679272961584,
18, 0.9920931286629295, 0.003958255149811006, 0.003948613990026634,
19, 0.9920700745869449, 0.003969815454437851, 0.0039601077645297165,
20, 0.992123490995986, 0.003943104646511237, 0.003933402164897382,
21, 0.9920951602770077, 0.003957299331271051, 0.003947538198568627,
22, 0.9919024054383629, 0.004053775593870804, 0.004043816773706465,
23, 0.9918208477574841, 0.004094606482835032, 0.004084543564467379,
24, 0.9918104855429639, 0.004099803612525781, 0.004089708647942375,
25, 0.9918694996636143, 0.004070279680798411, 0.004060218455117909,
26, 0.992006052922312, 0.004001963182695796, 0.003991981699046843,
27, 0.9922614551138332, 0.0038741628007676683, 0.0038643798877185482,
28, 0.9923264006899879, 0.0038416635989887795, 0.0038319335117513093,
29, 0.9924820495707881, 0.0037637653667691867, 0.003754182862912349,
30, 0.992486416520223, 0.0037615676396140804, 0.003752013641123478,
31, 0.9924153494734965, 0.003797111706758251, 0.0037875366239234795,
32, 0.992251706458016, 0.0038789719186834615, 0.0038693194263829506,
33, 0.9921717998512852, 0.003918927785138077, 0.003909270167805618,
34, 0.9921599653496033, 0.003924832305409961, 0.003915200152236944,
35, 0.9922059268311486, 0.003901810573136106, 0.0038922604043952476,
36, 0.9921134662857263, 0.003948045780998501, 0.003938485739167152,
37, 0.9918690363018335, 0.004070314365004019, 0.004060647139357165,
38, 0.9917234372724625, 0.004143127999832887, 0.004133432530353233,
39, 0.9916247873543935, 0.004192470648465407, 0.004182739801244549,
40, 0.9913053857351263, 0.004352256079978596, 0.004342355986835133,
41, 0.9911131603789449, 0.00444840089163163, 0.004438436530387695,
42, 0.9907568026010944, 0.004626663073803287, 0.004616532126836783,
43, 0.9901531932582484, 0.0049286194640807265, 0.004918185077934986,
44, 0.9897669918975883, 0.005121787125619684, 0.005111218776701471,
45, 0.9894941660351783, 0.00525826662373936, 0.005247565141622361,
46, 0.9893548832403396, 0.005327943490114519, 0.00531717106551371,
47, 0.9893010586164481, 0.005354870132509388, 0.00534406904383092,
48, 0.9893455265356588, 0.005332623069678455, 0.005321848186677868,
49, 0.9892999563376929, 0.005355420946229043, 0.005344620505998814,
50, 0.9890522104191952, 0.005479367138124913, 0.0054684202338172675,
51, 0.9885197596465243, 0.005745773643462052, 0.005734464502325478,
52, 0.988179806361863, 0.005915869978821391, 0.005904321452589546,
53, 0.987978474545665, 0.006016591787909907, 0.006004931460876137,
54, 0.9878669199725684, 0.0060723877021291875, 0.006060690119356777,
55, 0.9878493711686187, 0.006081143144552749, 0.006069483481437304,
56, 0.9879422028087198, 0.006034676075282182, 0.006023118914344459,
57, 0.9881341069972196, 0.0059386428977833165, 0.005927247903556986,
58, 0.9881390213316833, 0.005936165509061057, 0.00592481096175266,
59, 0.988222435269821, 0.00589440326298442, 0.0058831592658986406,
60, 0.9883642450967306, 0.005823441530851155, 0.005812311168953132,
61, 0.988632351753261, 0.00568926867290423, 0.005678377370919382,
62, 0.988960699065038, 0.005524983513401414, 0.005514315217857343,
63, 0.9894659809155149, 0.0052721403799759845, 0.005261876503769503,
64, 0.990225561105372, 0.004892001820481656, 0.004882434877025157,
65, 0.9913870941905119, 0.004310630828879623, 0.004302272784355781,
66, 0.9918680342428501, 0.004069917085191337, 0.004062046473639733,
67, 0.9926098132453602, 0.0036986098325028287, 0.003691574724645649,
68, 0.9935982645465428, 0.0032038980941123413, 0.0031978351624238513,
69, 0.9941798074077788, 0.002912860379849567, 0.0029073300182333,
70, 0.995060777992314, 0.0024719779657420807, 0.0024672418453234066,
