Optimize time:1.865363793373108
Begin Prob:-27493.864349965996
End Prob:-26718.59919735082
Substitution parameters back:[0.27533207072124893, 0.19426734348465668, 0.21105746823148508, 0.3193431175626093, 3.084837798689941]
Substitution parameters hot:[0.16112289442469319, 0.3437156903864278, 0.34355915255563146, 0.15160226263324764, 3.820362705471169]
Transition parameters:[0.6000358858748864, 0.001053034926915746, 0.001066040854390544]
hscale parameters:5.837920951297279
Trees:
(2:675.6817384394643,(1:675.6817384394643,(3:555.3166399996732,4:546.2819316050142):675.6817817947781):544.3322755863761);
(2:547.5798557533888,(4:598.3733878137062,(1:545.0167014395,3:577.0466605218182):675.6817817947781):651.096628043627);
((2:689.3653041739243,3:608.6562905282317):651.6977301314554,(1:538.6393969581045,4:675.6817384394643):646.0443098110292);
(2:3944.5765772447166,(1:3944.5765772447166,(3:3241.8946472581006,4:3189.1507338320594):3944.576830349611):3177.768796113029);
(2:3196.72791241105,(4:3493.2565374163673,(1:3181.764420140591,3:3368.752789336451):3944.576830349611):3801.0506461749014);
((2:4024.460152334374,3:3553.287310613647):3804.559832647303,(1:3144.53422069585,4:3944.5765772447166):3771.5556117121973);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6,
0, 0.3330809249454944, 0.3351742601309935, 0.3277156265461784, 0.0013431178992220796, 0.001343916973749692, 0.0013421538947692888,
1, 0.3426826400435659, 0.3331393456950588, 0.32092794909771205, 0.0010836291326476349, 0.0010830244548359718, 0.0010834119679533738,
2, 0.34042359066361866, 0.3312972132255423, 0.32519580824267313, 0.0010288206767726875, 0.0010275136312523079, 0.0010270539504594089,
3, 0.3320090880133372, 0.33247827292650994, 0.3324747228069227, 0.0010120278011358998, 0.001012781474364563, 0.0010131073693022406,
4, 0.34510995818533013, 0.3285061519569082, 0.32355077602283905, 0.0009447541208413777, 0.000944182441612941, 0.0009441776640351128,
5, 0.35410292552276057, 0.32607194829677133, 0.3177310177014895, 0.0006985023044024944, 0.0006981422020940451, 0.0006974643617557028,
6, 0.3521206178613358, 0.32714836438168793, 0.31880413992580964, 0.0006419952142763679, 0.0006419295099466083, 0.0006429534942065963,
7, 0.3412851807487152, 0.3323791674542005, 0.32440226813283285, 0.000644799754597596, 0.0006450598769634015, 0.0006435244184688051,
8, 0.34595279818910807, 0.3303189320548823, 0.32189821516711375, 0.0006096436735669842, 0.0006095220938613533, 0.0006108892081379057,
9, 0.35051461387677707, 0.32653387024729613, 0.3215449608596541, 0.0004687791597799934, 0.0004692553673303288, 0.00046852087343063944,
