Optimize time:37.99784985542297
Begin Prob:-13636.27331527591
End Prob:-13430.621308618902
Substitution parameters:[0.26245115845148487, 0.20448403326500467, 0.21615966805790085, 0.31690514022560956, 0.874251447774319]
Trees:
((2:999.9999215812713,(3:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,4:999.9999215812713):999.9999215812713);
((3:999.9999215812713,5:999.9999215812713):999.9999215812713,(4:999.9999215812713,(1:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,((2:999.9999215812713,5:999.9999215812713):999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713);
((5:999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,2:999.9999215812713):999.9999215812713);
(1:999.9999215812713,(3:999.9999215812713,(2:999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(3:999.9999215812713,(5:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(2:999.9999215812713,(3:999.9999215812713,4:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((5:999.9999215812713,(3:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,4:999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(4:999.9999215812713,(3:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((3:999.9999215812713,5:999.9999215812713):999.9999215812713,(1:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713);
((3:851.5895126384484,(2:937.6941635568451,5:931.1242113911077):848.8349610106758):764.0771959810068,(1:965.5840240822312,4:851.5894491963642):851.5895126384484);
(1:999.9999215812713,((3:999.9999215812713,2:999.9999215812713):999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713);
((3:999.9999215812713,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,2:999.9999215812713):999.9999215812713);
(1:675.9714599628506,(3:468.9819972662359,(4:675.9714599628506,(2:1.36965,5:0.327589):1e-06):1e-06):1.46356);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0001028882181304793, 0.00010288821790252745, 0.00010288821813515811, 0.00010288821788549657, 0.00010288822403476902, 0.0001357713561133132, 0.00010288821529362055, 0.0001028882152938077, 0.00010288821529362055, 0.0001028882152938077, 0.0001028882152938077, 0.0001028882152934334, 0.0001028882152938077, 0.0001028882152934334, 0.9985266823015365,
1, 9.676241126810516e-05, 9.676241105742142e-05, 9.676241127268142e-05, 9.676241102415558e-05, 9.676241714630465e-05, 0.0001298287672697389, 9.676240844825218e-05, 9.676240844842819e-05, 9.676240844825218e-05, 9.676240844842819e-05, 9.676240844842819e-05, 9.676240844807618e-05, 9.67624084486042e-05, 9.676240844807618e-05, 0.9986122603804196,
2, 9.31691193908618e-05, 9.316911919528922e-05, 9.316911939543759e-05, 9.316911915241239e-05, 9.316912523363523e-05, 0.00012613247359816092, 9.316911659115729e-05, 9.316911659132676e-05, 9.316911659115729e-05, 9.316911659132676e-05, 9.316911659132676e-05, 9.316911659081834e-05, 9.316911659132676e-05, 9.316911659098782e-05, 0.9986626694679899,
3, 8.849539708328761e-05, 8.84953969062182e-05, 8.849539708763386e-05, 8.849539685728266e-05, 8.849540286090163e-05, 0.00012141171866628671, 8.849539432197072e-05, 8.849539432213168e-05, 8.849539432197072e-05, 8.849539432213168e-05, 8.849539432213168e-05, 8.849539432164876e-05, 8.849539432213168e-05, 8.849539432164876e-05, 0.9987281486128491,
4, 8.519756025268504e-05, 8.519756009786657e-05, 8.519756025686933e-05, 8.519756004471067e-05, 8.519756596547187e-05, 0.0001178791200568841, 8.519755752763179e-05, 8.519755752763179e-05, 8.519755752747681e-05, 8.519755752763179e-05, 8.519755752763179e-05, 8.519755752732184e-05, 8.519755752763179e-05, 8.519755752716687e-05, 0.9987745530911161,
5, 8.113328344893052e-05, 8.113328331109026e-05, 8.113328345306278e-05, 8.113328325737093e-05, 8.113328907101301e-05, 0.00011360448932575538, 8.11332807687196e-05, 8.11332807687196e-05, 8.11332807687196e-05, 8.11332807687196e-05, 8.11332807687196e-05, 8.113328076842444e-05, 8.11332807687196e-05, 8.113328076842444e-05, 0.9988316633203084,
6, 7.613540941683757e-05, 7.613540930715389e-05, 7.613540942071527e-05, 7.613540923860157e-05, 7.613541491971817e-05, 0.00010792764084494845, 7.613540679897054e-05, 7.613540679897054e-05, 7.613540679897054e-05, 7.613540679897054e-05, 7.613540679897054e-05, 7.613540679869356e-05, 7.613540679897054e-05, 7.613540679883205e-05, 0.998902312530573,
7, 6.973329890735288e-05, 6.973329883365645e-05, 6.973329891103136e-05, 6.97332987547594e-05, 6.97333042301134e-05, 0.00010021548348302299, 6.973329638746742e-05, 6.973329638746742e-05, 6.973329638759425e-05, 6.973329638734056e-05, 6.973329638759425e-05, 6.973329638721373e-05, 6.973329638746742e-05, 6.973329638721373e-05, 0.9989932521243373,
8, 6.139154249713102e-05, 6.139154244877766e-05, 6.139154250070447e-05, 6.139154237831354e-05, 6.139154758517719e-05, 8.969976628628328e-05, 6.139154010492421e-05, 6.139154010492421e-05, 6.139154010503589e-05, 6.139154010481254e-05, 6.139154010503589e-05, 6.139154010470087e-05, 6.139154010492421e-05, 6.139154010470087e-05, 0.9991122106726865,
9, 5.114284942018484e-05, 5.1142849387717956e-05, 5.1142849423440825e-05, 5.1142849315900106e-05, 5.1142854166209896e-05, 7.716332031607872e-05, 5.114284718471481e-05, 5.114284718462178e-05, 5.114284718471481e-05, 5.114284718462178e-05, 5.114284718471481e-05, 5.114284718443572e-05, 5.114284718462178e-05, 5.114284718443572e-05, 0.9992579801271787,
