Optimize time:20.745542166431743
Begin Prob:-13657.168970523231
End Prob:-13622.004575717789
Substitution parameters:[0.217193946012299, 0.25552327007215786, 0.2673168501889244, 0.25996593372661875, 1.5487149530225384]
Trees:
(1:587.7054856834723,(5:673.7624049886572,(2:662.5573888960893,(3:673.7624049886572,4:618.0235874278635):673.7624049886572):673.7624049886572):674.5529163446388);
(1:673.7622388951245,((3:498.4056348895125,4:455.79247313260174):626.7621419886482,(2:455.79247313260174,5:498.4056348895125):617.4671770210375):618.034370715906);
(1:673.7624049886572,(4:498.4056348895125,(3:617.9784087857144,(2:674.5555253744684,5:618.0344316278736):617.9784087857144):673.7624049886572):662.5573888960893);
(1:627.9205689174701,((4:606.0721057555343,5:618.034370715906):674.1505196143933,(2:674.1505196143933,3:587.7054856834723):618.034370715906):618.034370715906);
(1:618.034370715906,(4:618.034370715906,(5:686.8770746025838,(2:673.7622388951245,3:529.3096057572143):674.1505196143933):594.7245787486721):618.034370715906);
((4:674.4957115500551,(3:673.7624049886572,5:673.7622388951245):610.787105973888):674.4965327612487,(1:618.4829062424701,2:617.989096563343):519.531633069487);
(1:662.5575232685799,(2:673.7624049886572,(5:674.1505196143933,(3:673.7624049886572,4:607.061024136013):674.4983989985758):587.7054856834723):674.1505196143933);
((4:673.7624049886572,(2:673.7624049886572,3:618.034370715906):674.4965327612487):498.4056348895125,(1:618.034370715906,5:618.0235874278635):673.7622388951245);
(1:673.7622388951245,(3:674.1505196143933,(4:673.7624049886572,(2:519.5316946817013,5:674.4957115500551):674.1505196143933):673.7624049886572):554.477760534628);
(1:673.7624049886572,(3:674.4965327612487,(5:673.7624049886572,(2:673.7624049886572,4:519.531633069487):612.966586403251):674.1505196143933):455.61315096750104);
((3:674.1505196143933,(2:455.7953284449164,4:455.7953284449164):455.7953284449164):618.034370715906,(1:674.1505196143933,5:618.034370715906):539.4312320668065);
(1:607.5880372924686,(3:618.0323253667577,(2:604.3017250294213,(4:673.7624049886572,5:674.4965327612487):618.034370715906):610.787105973888):616.2224881258165);
(1:607.5757073782398,((2:618.034370715906,4:519.5316946817013):455.61315096750104,(3:662.5573888960893,5:381.96669272617794):455.7947499765857):455.79247313260174);
(1:608.3510450313537,(4:617.4671770210375,(2:618.034370715906,(3:674.5529163446388,5:608.3509516359806):610.787105973888):455.7953284449164):381.96669272617794);
((3:618.0329432508075,(4:0.789326,5:1.29581):1e-06):0.125538,(1:618.034370715906,2:618.0338917157327):0.125538);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.00023243794974332484, 0.00023243794974332484, 0.05858071469491509, 0.08043835121594968, 0.08032343735169928, 0.0954545388402122, 0.03065557628270239, 0.08911225833407935, 0.05880551820334572, 0.08036898313488917, 0.08908028901356534, 0.08026182137991149, 0.08045123339736951, 0.0804586434804997, 0.09554375830891314,
1, 0.00018003360006517183, 0.00018003360006517183, 0.05854229049783004, 0.08044908934985416, 0.08033471401963134, 0.09550575123765583, 0.030578927552520483, 0.0891567649627582, 0.058768426994381597, 0.08037958985317971, 0.08912481885855078, 0.08027320657435319, 0.0804619888609549, 0.08046939103364627, 0.09559497254204646,
2, 0.000150980071714714, 0.00015098007171443937, 0.058500589998089145, 0.08045251265525664, 0.08033875513910355, 0.0955576637575295, 0.030511370249647014, 0.08919781483146935, 0.05872809061937567, 0.08038289728156998, 0.08916590525199228, 0.08027738340323137, 0.08046542368844924, 0.08047281356451268, 0.09564681895414198,
3, 0.00013704000346949517, 0.00013704000346949517, 0.05846383843237254, 0.08044901927218867, 0.0803360266791249, 0.09560345171191506, 0.03045594582200183, 0.08923942182450886, 0.058692777237212584, 0.08037929873938335, 0.08920756565070598, 0.08027483660979322, 0.08046193415018053, 0.08046930448262402, 0.09569249891864975,
4, 0.00013131494046433902, 0.00013131494046410017, 0.0584254601292923, 0.08044070965272677, 0.08032856341630233, 0.0956529135516223, 0.030409896704193674, 0.08928043804109483, 0.05865588166972954, 0.0803708969762024, 0.08924864815513019, 0.08026758187990521, 0.08045362302360913, 0.08046096953463665, 0.09574178692286696,
5, 0.0001205168220464014, 0.00012051682204618218, 0.05838403375066492, 0.08042952495464012, 0.0803178903821837, 0.09570377499189614, 0.030370366214535136, 0.0893341134003333, 0.058615528790710886, 0.08035963603685496, 0.08930233568385659, 0.08025702161155902, 0.08044245184193557, 0.08044979358957334, 0.09579249464521547,
6, 0.000107499551782913, 0.00010749955178252193, 0.05834020069912415, 0.08043109814758151, 0.08031934026578351, 0.09574317941868644, 0.030298758532392958, 0.08938254701862458, 0.05857220961011277, 0.08036114424853373, 0.08935071487664063, 0.08025839786628428, 0.08044403996313725, 0.08045139103022557, 0.09583197875727226,
7, 9.589620174156428e-05, 9.589620174138985e-05, 0.058296247098651915, 0.08042743439880122, 0.08031545970140638, 0.09578455597796776, 0.030239327605199727, 0.08943756881037149, 0.058528564502691234, 0.08035742212585782, 0.08940566417737365, 0.08025441679422841, 0.08044039189067118, 0.08044775592246074, 0.0958733981293223,
8, 7.601143967995412e-05, 7.601143967953932e-05, 0.058264413525877266, 0.08042688288631082, 0.08031426618111062, 0.09583916196391609, 0.030188144581268887, 0.08946282812647843, 0.05849646465331954, 0.08035681571849713, 0.08943083372522173, 0.08025299545503083, 0.08043986287282419, 0.0804472554573452, 0.09592805151161392,
9, 6.764189524081776e-05, 6.764189524057168e-05, 0.058237598906120944, 0.08041935412691519, 0.08030664813457292, 0.09587743484208373, 0.030143991434224443, 0.08950441845304688, 0.05846992737174131, 0.08034922723923589, 0.08947238052102655, 0.08024531312395089, 0.08043234687348062, 0.0804397490827587, 0.09596632563852402,
10, 5.969773185513137e-05, 5.969773185491419e-05, 0.058201915128839564, 0.08041342871710541, 0.08030090759788616, 0.09591912977836853, 0.030091913166253297, 0.08954966913112086, 0.0584348968017446, 0.08034325018900466, 0.08951761361812854, 0.0802395895828944, 0.08042645235136815, 0.08043387347162213, 0.09600796453961234,
11, 4.689390503174049e-05, 4.689390503156989e-05, 0.058173529379693466, 0.08040392946245419, 0.0802912701108892, 0.09595358160304358, 0.03005186019505925, 0.08960502695884097, 0.05840668498841011, 0.08033370710469921, 0.08957290303491067, 0.08022987290578833, 0.08041699135452138, 0.08042444529250219, 0.09604240933650342,
12, 3.8046360670237445e-05, 3.804636067016824e-05, 0.058129575355965926, 0.08039619969801712, 0.08028311942852112, 0.09599256970042482, 0.03000015004209215, 0.08966835126909536, 0.05836280034785187, 0.08032594758144822, 0.0896361207641988, 0.08022156300191938, 0.08040929829386435, 0.08041678969932439, 0.09608142163463985,
13, 3.147271729945727e-05, 3.147271729934277e-05, 0.058067811400142916, 0.08039076003554618, 0.08027698262025684, 0.09603747411158119, 0.029934984016125075, 0.08974150520353255, 0.05830103095590223, 0.08032049005654929, 0.08970912876145042, 0.08021518793053088, 0.08040389441432451, 0.0804114284879103, 0.09612637611053226,
14, 2.860771838796353e-05, 2.8607718387911494e-05, 0.05801282948632587, 0.08038595483519424, 0.08027201140209436, 0.09608992197190244, 0.02987089339391761, 0.08979332387605829, 0.05824658132058933, 0.08031565714425291, 0.08976088513905026, 0.08021013530050225, 0.08039912904101626, 0.08040669678018215, 0.09617876441122575,
15, 2.6444380656982216e-05, 2.6444380656934114e-05, 0.05794470885835911, 0.08037724053369694, 0.08026340512782297, 0.09614987236697307, 0.029808939863434334, 0.089860324790696, 0.058179331769053794, 0.08030690057228605, 0.08982784572780585, 0.08020152506481908, 0.08039044076825631, 0.08039802693609492, 0.09623854839878483,
16, 3.054712898399252e-05, 3.054712898393695e-05, 0.05786237371496173, 0.08036311067357473, 0.08025030757573386, 0.09621732101752706, 0.0297501795712108, 0.08994086678391186, 0.05809900320876777, 0.08029272971857118, 0.08990845522871828, 0.08018869967631868, 0.08037632796208011, 0.08038390564649889, 0.09630562450353519,
17, 3.123857278761633e-05, 3.123857278761633e-05, 0.05775965595884591, 0.08034765199093812, 0.0802355182524927, 0.09629504499373871, 0.029688475917010196, 0.09004092746002595, 0.05799810825704184, 0.08027722702878325, 0.09000852015100369, 0.08017407271231795, 0.08036088895447972, 0.08036846898412443, 0.09638296173327712,
18, 2.8893197995444505e-05, 2.8893197995444505e-05, 0.057666260495008156, 0.08033104979704955, 0.08021919431494162, 0.0963504837455451, 0.029632164075099873, 0.09015840362713795, 0.057905939507157396, 0.0802605859842062, 0.09012593259491393, 0.08015779592758475, 0.08034431332964856, 0.08035191044411316, 0.0964381793018453,
19, 3.0364572882056463e-05, 3.036457288200123e-05, 0.057582111367035345, 0.08031130709037435, 0.08020041454515012, 0.09641855294693179, 0.029582551776001633, 0.0902551618698884, 0.0578237378516205, 0.08024079724421943, 0.09022272513094268, 0.08013927044058423, 0.08032459180371361, 0.08033218228448753, 0.09650586604381309,
20, 2.9440355147870967e-05, 2.9440355147870967e-05, 0.05750646905814146, 0.08028871248014682, 0.08017849144920458, 0.0964909481123824, 0.029544475240256867, 0.09034484095538607, 0.05774957286749374, 0.08021816355558091, 0.09031240160691535, 0.08011751676324914, 0.08030202607586587, 0.08030962331290525, 0.09657787735265305,
21, 3.28018496709639e-05, 3.28018496709639e-05, 0.057437127000047064, 0.08026869905386733, 0.08015950376483244, 0.09656904288786261, 0.02950790563334133, 0.09040916102626119, 0.05768206853076452, 0.08019811070517371, 0.09037679682548795, 0.08009880347878787, 0.08028203490364134, 0.08028962679842964, 0.09665551523285555,
22, 3.5358312334372994e-05, 3.535831233430868e-05, 0.05734005976046998, 0.08025292226744203, 0.08014423353436025, 0.09665731695427451, 0.029453469136951328, 0.09048872061135936, 0.057586694194971214, 0.08018230614443908, 0.0904563569906673, 0.08008365668914004, 0.0802662808986226, 0.08027387816717316, 0.09674338756615983,
23, 4.0797576520570645e-05, 4.079757652049644e-05, 0.05725311193148498, 0.08023600373756538, 0.08012789479708074, 0.09671662672104729, 0.029405690512648037, 0.09058417920309393, 0.05750142910719613, 0.08016537348580995, 0.09055181341203537, 0.08006747010108461, 0.08024938357674072, 0.08025698034537111, 0.09680244745675229,
24, 4.4902779341702295e-05, 4.4902779341620614e-05, 0.05715148884594552, 0.08021687475288884, 0.08010936685224987, 0.09678393973786768, 0.02935702280716848, 0.09069463508595234, 0.05740162488676591, 0.08014624475578935, 0.09066225604409901, 0.08004910224357895, 0.0802302924158801, 0.08023790253450386, 0.0968694430198855,
25, 4.725673373981146e-05, 4.72567337397255e-05, 0.057049438338318735, 0.08021205311865558, 0.08010450775772847, 0.09685355130811499, 0.02927758017464665, 0.09077839242406774, 0.05730078809238243, 0.08014143251270882, 0.09074595916730314, 0.08004421523933175, 0.08022551057063781, 0.08023314859887654, 0.09693890877113832,
26, 5.125108216268179e-05, 5.125108216258857e-05, 0.05693359979169339, 0.0802044531836386, 0.08009704776481297, 0.09693026929321055, 0.029197709542752484, 0.09087539905106146, 0.05718647201215611, 0.08013385436928024, 0.09084292263575468, 0.08003678154971165, 0.08021796143213143, 0.08022563346294816, 0.09701539328765811,
27, 5.05767872601586e-05, 5.05767872601586e-05, 0.05679867588249392, 0.08019703702586609, 0.08008929933915039, 0.09701620344474288, 0.029112242601378978, 0.09098994100002676, 0.05705270511403506, 0.08012645711328636, 0.0909573456548275, 0.08002891688144656, 0.08021059678893559, 0.08021831490226855, 0.09710111021797257,
28, 4.8574417770214235e-05, 4.857441777012588e-05, 0.05666096319080953, 0.08020288055363986, 0.08009415816383077, 0.09709042425926782, 0.028991278190564948, 0.09109924493444961, 0.0569155174688108, 0.08013233105391292, 0.09106645873236603, 0.08003346784364661, 0.08021649347268535, 0.08022427228046618, 0.09717536056079054,
29, 4.563462661930021e-05, 4.56346266192172e-05, 0.05649085744588954, 0.08021394457296256, 0.08010367785094764, 0.09717629301993659, 0.028847403552913053, 0.0912267678781906, 0.05674572912403659, 0.08014343801282761, 0.09119370247477603, 0.08004251667868388, 0.0802276119309423, 0.080235463534145, 0.09726132421208074,
30, 4.623597827149003e-05, 4.623597827149003e-05, 0.05631938525249337, 0.08022063001234371, 0.08010888438781165, 0.0972668278754549, 0.0287152928336198, 0.09135464067875201, 0.05657460463747939, 0.08015017933037656, 0.09132130726603403, 0.08004727436882733, 0.08023434653640753, 0.08024226708496048, 0.09735188732104835,
31, 4.4121606419602786e-05, 4.412160641952253e-05, 0.05614268518568739, 0.08022330796728955, 0.08010974134468064, 0.09736421443401126, 0.02859372625236315, 0.09149100375881752, 0.056397765215558664, 0.08015292633319925, 0.09145734439086599, 0.08004758243408568, 0.08023708498694274, 0.08024509257976928, 0.0974492814461997,
32, 3.967757073386509e-05, 3.967757073386509e-05, 0.05597687337103583, 0.08022621622505385, 0.08011039872584486, 0.09743455666196513, 0.02847577536129894, 0.09164408991941127, 0.05623115191730271, 0.08015591731583283, 0.09161002442089883, 0.08004756702856683, 0.08024006370089465, 0.08024817506465481, 0.09751983468811931,
33, 3.251834842108481e-05, 3.2518348420966506e-05, 0.0557898008378953, 0.08022425236112748, 0.08010627118546156, 0.09751600503697834, 0.02836295781264973, 0.09182198199227039, 0.05604347807117066, 0.08015401973893799, 0.09178748950434668, 0.08004278792817009, 0.08023816015621184, 0.08024636665201153, 0.097601391567774,
