Optimize time:73.0935218776597
Begin Prob:-13440.366843572478
End Prob:-12996.540379961685
Substitution parameters back:[0.2605819552527365, 0.20047775434615173, 0.20893216938763842, 0.3300081210134733, 7.63958898651482]
Substitution parameters hot:[0.15939340467879592, 0.3421656096573558, 0.33976038128229546, 0.15868060438155282, 6.180721853510198]
Transition parameters:[0.9999641200560186, 0.046567764100341816, 0.001066040854390544]
hscale parameters:7.050106540703569
Trees:
(5:595.8184907073414,(1:615.2025430863201,(2:570.7085021687654,(3:638.1343893375291,4:639.3205856818779):639.3105543117738):618.0344453328107):615.310170987988);
(5:631.6634675795783,(1:639.2648568005133,(3:570.5704637700636,(2:622.3409919641061,4:625.3140250646647):618.146861988454):639.3187942968526):618.0358280403839);
(5:606.4550320874538,(1:618.0410480990317,(4:598.825884160394,(2:570.0206789863897,3:615.1039660273062):598.3190320988928):639.36144199003):618.0807542165286);
(5:639.36144199003,((2:641.1355914678213,4:619.0698866220515):635.2489835432938,(1:619.3228727621118,3:618.0344133639644):597.807618244221):615.187951580216);
(5:639.2319494323503,(4:616.9211535344207,(1:618.462223529494,(2:617.6038564751855,3:618.034370715906):616.587650379953):598.3700986688841):624.9783612572344);
(5:637.4219207164703,(2:628.033110697137,(3:621.460871958965,(1:618.0347480605775,4:618.0344437093286):639.1970957546697):635.2489835432938):639.36144199003);
(5:617.8592185434986,((2:617.4740502115543,3:639.896328049578):569.5768517538208,(1:618.0587473814618,4:639.320512777146):618.034370715906):620.3529372924099);
(5:618.0372782535435,(3:609.7999921573711,(4:598.8152199699574,(1:618.1334653019727,2:618.0161438652772):617.9030785490515):618.0394150245356):618.0025292587969);
(5:618.0759173973723,((3:598.8156344616488,4:566.7905450744665):618.3620967731237,(1:639.3187942968526,2:639.1554351993927):598.8450636375744):618.0348911715669);
(5:567.6148128455629,(2:639.1825023135914,(4:614.3886730569516,(1:623.5710525852545,3:567.279359151595):638.134345578477):637.8736162825307):616.1165391476036);
(5:618.034370715906,(2:618.0341930287133,(1:639.36144199003,(3:616.5884144957255,4:639.2943232139917):619.9585315769198):618.034370715906):635.2489835432938);
(5:618.4397383210893,(4:617.9247621818998,(2:602.4857486084635,(1:566.6990195635282,3:637.2967020054242):609.7999921573711):619.9584677192154):566.8696919295651);
(5:616.5883070899616,(3:608.1766898163795,(1:618.034370715906,(2:639.36144199003,4:618.3370747395194):618.3418587449654):565.8296317713388):620.1713749400876);
(5:619.0035869838306,(3:618.034370715906,(2:639.36144199003,(1:566.932425022085,4:560.4729137391905):618.034317502795):595.8184907073414):567.6148128455629);
(5:617.841242530644,(4:565.8295098336522,(3:573.2388014010972,(1:618.034370715906,2:567.2786596024569):617.8292467885142):622.5222502554403):562.2758140047702);
(5:4200.583838407956,(1:4337.243472870335,(2:4023.55574397515,(3:4498.9154321163915,4:4507.278242722244):4507.20752049426):4357.208685420951):4338.0022610438455);
(5:4453.294744306281,(1:4506.8853481712285,(3:4022.582558557594,(2:4387.570297994092,4:4408.530498102068):4358.001234820185):4507.26561326696):4357.218433656656);
(5:4275.572588362351,(1:4357.255235626272,(4:4221.786282661791,(2:4018.7065172582356,3:4336.548494101818):4218.212921627833):4507.566284047576):4357.535167984943);
(5:4507.566284047576,((2:4520.074226885138,4:4364.508656826742):4478.573013853869,(1:4366.292236067488,3:4357.208460037178):4214.607399466005):4337.1406011977115);
(5:4506.653347719706,(4:4349.35985963141,(1:4360.224567283359,(2:4354.1729880994535,3:4357.208159363823):4347.008626860751):4218.572946386939):4406.164032497826);
(5:4493.892452431019,(2:4427.700341504294,(3:4381.365358189242,(1:4357.21081968396,4:4357.2086739752285):4506.407625578722):4478.573013853869):4507.566284047576);
(5:4355.973317887515,((2:4353.257840111202,3:4511.337287754526):4015.577487982959,(1:4357.380017453098,4:4507.277728736116):4357.208159363823):4373.55430074989);
(5:4357.228657813938,(3:4299.154913229667,(4:4221.711098983043,(1:4357.9067867532,2:4357.079658124988):4356.282535599539):4357.243722277086):4356.983673698793);
(5:4357.501067894574,((3:4221.714021193628,4:3995.9337290384374):4359.518662983372,(1:4507.26561326696,2:4506.113914225474):4221.921500019308):4357.211828631682);
(5:4001.744904642735,(2:4506.304740264324,(4:4331.505602453,(1:4396.242356424712,3:3999.379920360789):4498.915123610412):4497.076954295709):4343.687242480166);
(5:4357.208159363823,(2:4357.206906650184,(1:4507.566284047576,(3:4347.014013958357,4:4507.093089525624):4370.7736984354215):4357.208159363823):4478.573013853869);
(5:4360.066044168515,(4:4356.43540752131,(2:4247.588716945214,(1:3995.2884644351293,3:4493.009647177254):4299.154913229667):4370.773248231802):3996.4917227992437);
(5:4347.013256736279,(3:4287.710458777902,(1:4357.208159363823,(2:4507.566284047576,4:4359.342254980597):4359.375982728683):3989.1591878750073):4372.274266822237);
(5:4364.041237313674,(3:4357.208159363823,(2:4507.566284047576,(1:3996.933997785137,4:3951.393755039854):4357.2077842057215):4200.583838407956):4001.744904642735);
(5:4355.846585081713,(4:3989.1583282013257,(3:4041.3946231429495,(1:4357.208159363823,2:3999.374988464834):4355.7620138216635):4388.848188259383):3964.1043939944534);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15, Posteriors16, Posteriors17, Posteriors18, Posteriors19, Posteriors20, Posteriors21, Posteriors22, Posteriors23, Posteriors24, Posteriors25, Posteriors26, Posteriors27, Posteriors28, Posteriors29, Posteriors30,
0, 3.9665232228165455e-06, 3.9665232228165455e-06, 3.9665232228165455e-06, 3.9665232228165455e-06, 3.9665232228165455e-06, 0.9500508457613037, 0.006127614289723604, 0.0063036352859742895, 0.006064767773598259, 0.0038886441699308564, 0.010268140151820544, 0.0016681003368689514, 0.002339847429545716, 0.006162990669793234, 0.006115315179079484, 7.0172204173872e-05, 7.0172204173872e-05, 7.0172204173872e-05, 7.017220417374436e-05, 7.017220417374436e-05, 6.40581028664198e-05, 6.397578000801233e-05, 6.397207376107318e-05, 6.397716881674247e-05, 6.383206253599932e-05, 6.398663288496214e-05, 6.38119517239134e-05, 6.384772028022362e-05, 6.39750145744221e-05, 6.396941199936809e-05,
1, 1.6044210537916013e-06, 1.6044210537886828e-06, 1.6044210537916013e-06, 1.6044210537916013e-06, 1.6044210537916013e-06, 0.9504212412565202, 0.006128362578998629, 0.006304470888437615, 0.006065484870584073, 0.003888440828144718, 0.01027088710313865, 0.0016668102071204444, 0.00233881494879981, 0.006163756514445943, 0.006116066444630473, 4.198804375682654e-05, 4.198804375675017e-05, 4.198804375682654e-05, 4.198804375682654e-05, 4.198804375682654e-05, 4.175815993580277e-05, 4.177925267526507e-05, 4.1778262770462885e-05, 4.177959193996558e-05, 4.175081632092505e-05, 4.1782118902292466e-05, 4.176010129721591e-05, 4.1756241024475814e-05, 4.1779070781624046e-05, 4.1779024705388405e-05,
2, 5.951693388243338e-07, 5.951693388232512e-07, 5.951693388243338e-07, 5.951693388243338e-07, 5.951693388243338e-07, 0.9510432030954454, 0.006128991137498271, 0.0063051985314924236, 0.006066078111255881, 0.0038877672223828876, 0.010273799285671686, 0.0016649830162844066, 0.0023372815346696632, 0.006164404952802206, 0.006116707575148058, 4.894438035867199e-07, 4.894438035849392e-07, 4.894438035867199e-07, 4.894438035858296e-07, 4.894438035858296e-07, 6.157182277000852e-07, 6.161349721401816e-07, 6.16243509807594e-07, 6.160941113437441e-07, 6.167692238631471e-07, 6.164370735224861e-07, 6.16459115916843e-07, 6.167717751658167e-07, 6.161575801835774e-07, 6.163003335223736e-07,
3, 1.8220825739995182e-07, 1.8220825739962037e-07, 1.8220825739995182e-07, 1.8220825739962037e-07, 1.8220825739962037e-07, 0.9510732795448877, 0.0061268326017145614, 0.006303046244958, 0.006063917358131548, 0.0038855506745152377, 0.010271773179773696, 0.0016627665257336601, 0.0023349880051261184, 0.006162247664430128, 0.006114560484671342, 7.256098099898755e-09, 7.256098099872357e-09, 7.256098099885557e-09, 7.256098099872357e-09, 7.256098099872357e-09, 9.093950695106846e-09, 9.099126240945392e-09, 9.100750928416263e-09, 9.098514726901161e-09, 9.10996044006466e-09, 9.105118742658994e-09, 9.104180435031105e-09, 9.105977674040667e-09, 9.099464744018498e-09, 9.101635624958336e-09,
4, 4.7306072012900553e-08, 4.730607201281451e-08, 4.7306072012900553e-08, 4.730607201281451e-08, 4.7306072012900553e-08, 0.9510904264481206, 0.006124990971089204, 0.006301208429985242, 0.00606207438247263, 0.0038836703910029103, 0.010270015405271537, 0.0016608945276269348, 0.0023331038376015276, 0.006160406790055479, 0.006112724994922178, 1.605657402494444e-08, 1.6056574024886026e-08, 1.6056574024915232e-08, 1.6056574024886026e-08, 1.6056574024886026e-08, 1.679678201324311e-08, 1.6762327478421765e-08, 1.676272454371908e-08, 1.6762187021856955e-08, 1.6749624419452522e-08, 1.6761706245710726e-08, 1.6749992784355284e-08, 1.6756970156026175e-08, 1.67624151040983e-08, 1.6762942379185275e-08,
5, 2.2570411317069425e-08, 2.257041131702837e-08, 2.257041131702837e-08, 2.257041131702837e-08, 2.257041131702837e-08, 0.9511073518173498, 0.006123147595447597, 0.006299368309318864, 0.00606022986792305, 0.00388179299176406, 0.010268253501073812, 0.0016590285995825387, 0.0023312206340943705, 0.006158564055961931, 0.006110887219033591, 2.454749164279054e-09, 2.454749164279054e-09, 2.4547491642879844e-09, 2.4547491642835192e-09, 2.454749164279054e-09, 3.0866311187072935e-09, 3.088969156048221e-09, 3.0895016978015056e-09, 3.0887685695484333e-09, 3.0919067900082564e-09, 3.0902281220998744e-09, 3.0905936804683513e-09, 3.092551032518571e-09, 3.0890801144208764e-09, 3.0897787906570302e-09,
6, 1.3630284924969956e-08, 1.3630284924920368e-08, 1.3630284924945162e-08, 1.3630284924945162e-08, 1.3630284924945162e-08, 0.9511208675379136, 0.006121637592633555, 0.006297861874022932, 0.006058718605968637, 0.0038802556949632705, 0.010266830724817039, 0.001657490650584771, 0.0023296771172271863, 0.006157054761291475, 0.0061093819799888606, 1.0834133694450999e-08, 1.0834133694450999e-08, 1.0834133694450999e-08, 1.0834133694431292e-08, 1.0834133694450999e-08, 1.0207112249105878e-08, 1.0183454632330371e-08, 1.0183123094384215e-08, 1.0183570849312828e-08, 1.014552908178005e-08, 1.0190333571470014e-08, 1.0136469511575276e-08, 1.0148727822939748e-08, 1.0183388195873001e-08, 1.0182750417528856e-08,
7, 6.19030324707983e-09, 6.19030324705731e-09, 6.19030324706857e-09, 6.19030324706857e-09, 6.19030324706857e-09, 0.9511311111196363, 0.006120521648372374, 0.006296750107905557, 0.006057601177011958, 0.0038790727762268314, 0.010265742673485607, 0.0016563494978483844, 0.0023285658888027756, 0.0061559396504272754, 0.0061082712284587296, 2.3334333101734523e-09, 2.3334333101692076e-09, 2.3334333101734523e-09, 2.3334333101692076e-09, 2.3334333101692076e-09, 3.217845257666085e-09, 3.2205505196097174e-09, 3.2212987541058343e-09, 3.2202681775190924e-09, 3.2250215341041833e-09, 3.2226590557296603e-09, 3.2226948703624943e-09, 3.2249548836389577e-09, 3.22070598306631e-09, 3.221678145669796e-09,
8, 3.426051449310118e-09, 3.426051449291422e-09, 3.426051449297654e-09, 3.426051449297654e-09, 3.426051449297654e-09, 0.951138741324466, 0.006119466044014567, 0.006295699202094827, 0.006056543893401274, 0.003877964201879657, 0.010264727634036179, 0.001655278299142336, 0.0023275040950544164, 0.006154884987996599, 0.006107222785308882, 1.2600325463584674e-07, 1.2600325463607594e-07, 1.2600325463630514e-07, 1.2600325463630514e-07, 1.2600325463607594e-07, 1.3195326998870203e-07, 1.3209131752524362e-07, 1.320962626213706e-07, 1.3208949769403708e-07, 1.3216179023025965e-07, 1.3210446565629221e-07, 1.321525094578833e-07, 1.3215272964790082e-07, 1.320923457736518e-07, 1.3209923920239724e-07,
9, 3.186306690513148e-09, 3.1863066904957602e-09, 3.1863066905015563e-09, 3.1863066905015563e-09, 3.1863066905015563e-09, 0.9511523904970256, 0.006118128532128995, 0.0062943658097098275, 0.006055204926371997, 0.0038765544338977913, 0.010263421858064505, 0.00165393495565306, 0.0023261254707558307, 0.006153548295592646, 0.006105895065727088, 2.6688175546870196e-08, 2.6688175546918742e-08, 2.6688175546967287e-08, 2.6688175546918742e-08, 2.6688175546918742e-08, 2.816778938827325e-08, 2.817198444255718e-08, 2.8173675076473076e-08, 2.8171343536625767e-08, 2.80570601108759e-08, 2.819528947625074e-08, 2.8028078842570324e-08, 2.808232110690853e-08, 2.8172347748301378e-08, 2.817407357947548e-08,
