Optimize time:20.91400928563542
Begin Prob:-13478.044999282527
End Prob:-13392.610850671936
Substitution parameters:[0.2265161857228064, 0.26224171500578675, 0.2602381690647355, 0.25100393020667133, 1.1518439875730047]
Trees:
((4:673.5415967240856,(2:660.4572417822453,3:704.8187401774084):544.7577216241652):440.74679886466834,(1:645.8983878522815,5:645.8976208267023):677.3361151112283);
(1:544.7574379025396,(3:551.5088352420075,(5:645.8976842687865,(2:704.8187401774084,4:704.8187401774084):440.29071503647447):619.7004550208372):660.4572417822453);
((3:672.6786574473842,(2:388.56448821214383,4:410.7908328871456):440.29265969342686):599.290230360146,(1:704.6633865503107,5:704.8452803033983):672.6786574473842);
(1:682.3728598153522,((4:621.114959337806,5:645.8976208267023):645.8976842687865,(2:602.8195903372152,3:668.7383403491641):645.8976208267023):537.8709137469276);
((2:645.8976208267023,(3:673.5415967240856,4:645.8976208267023):645.8976208267023):602.8193729179583,(1:981.9617980900356,5:645.8976842687865):645.8983878522815);
(1:564.7902835191036,(4:673.5415967240856,(3:679.5831527569521,(2:564.7902835191036,5:644.9465452091866):660.2342714414641):673.8683324214938):682.3728598153522);
(1:536.3623586587491,(4:440.74679886466834,(5:619.6505022959644,(2:666.8180344668936,3:602.8195903372152):645.8976208267023):673.8683324214938):673.5415967240856);
(1:682.3728598153522,(2:645.8976842687865,(4:645.8976208267023,(3:572.9494439261407,5:668.1442912213139):645.8976208267023):644.9465452091866):528.9641870182496);
(1:645.8976208267023,(2:503.9382706541217,(5:645.8976208267023,(3:563.3906599328302,4:704.8187401774084):574.9294563382332):645.8976208267023):668.7266279849717);
(1:440.74679886466834,(3:673.541244932338,(4:673.8683324214938,(2:673.5415967240856,5:644.9465452091866):673.541244932338):525.5598334746887):981.9925989263601);
(1:440.29071503647447,((2:645.8976208267023,5:618.032918591058):544.7577216241652,(3:645.8983878522815,4:668.1442912213139):682.3539732007567):645.8976208267023);
(1:668.5439130202964,(3:673.8683324214938,(2:660.4572417822453,(4:645.8976842687865,5:660.4572417822453):544.7577216241652):704.8351279006913):602.8195903372152);
(1:660.4572417822453,((2:440.74679886466834,4:416.4084485908731):704.8187401774084,(3:673.5415967240856,5:619.2957261833357):682.3728598153522):599.290230360146);
(1:682.3728598153522,(4:668.5439130202964,(2:682.3729428621185,(3:598.5662155555791,5:572.9494439261407):673.8682297700453):525.5598334746887):410.79267489262213);
(1:673.8682297700453,(2:673.8575372187603,(3:673.8693681920543,(4:0.712122,5:1.6303):0.112206):0.185857):1.29608);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.00023335528609202258, 0.00023335528609159812, 0.1656228117142515, 0.06363948301768572, 0.16242382626246593, 0.06945644587850029, 0.0581385170079727, 0.04869127512161728, 0.057856453758756615, 0.05909626232377035, 0.07561794636952554, 0.03194724081580522, 0.07418305877079878, 0.07714449434731929, 0.05571547384067042,
1, 0.00015197484950172052, 0.00015197484950172052, 0.16581897881109336, 0.06363605226383649, 0.162610550555225, 0.06946712580072421, 0.05811642034105873, 0.048620272689307686, 0.05782435916994677, 0.059068195184755576, 0.07565241157170877, 0.03180726242547436, 0.07421195671578786, 0.07718446983722856, 0.05567799473658979,
2, 9.84466017049301e-05, 9.84466017049301e-05, 0.16607622103917052, 0.06361322030802276, 0.16285646942693469, 0.06946526777922991, 0.05807623182065488, 0.04853624204772172, 0.05778063707915764, 0.05902835022570052, 0.07567443281056169, 0.031635616409065384, 0.07422882012408497, 0.07721219335065617, 0.055619404177084227,
3, 3.422533027561165e-05, 3.4225330275549394e-05, 0.1664181620604207, 0.0635744793693184, 0.1631983507889697, 0.06946562771119376, 0.05802247562568202, 0.04840806120101302, 0.05773414584213504, 0.058985682911618674, 0.07569734780188256, 0.03144140047858119, 0.07423932196948854, 0.07723348133016808, 0.05551301205088588,
4, 2.212174877489235e-05, 2.2121748774811872e-05, 0.1668206300744361, 0.06351271641122709, 0.16359994273110742, 0.06944833927846499, 0.05794742946040761, 0.04826172425635539, 0.05767336693739659, 0.058927127783695236, 0.07570219288624876, 0.031212625264543836, 0.07423186278556905, 0.07723616676200898, 0.05538163167262912,
5, 1.1577371465508626e-05, 1.1577371465466506e-05, 0.16728961555170155, 0.06344934432671812, 0.1640555143450862, 0.06941618641970637, 0.0578725859671477, 0.048101110138835244, 0.05759283802360908, 0.05885557890782457, 0.07569035117042584, 0.030962640465027308, 0.07421703721547829, 0.07723151546433729, 0.05524252706223962,
6, 3.706906244833512e-06, 3.706906244826769e-06, 0.16787471461194992, 0.06336245764923518, 0.16462476826642453, 0.06935964716047975, 0.05777952310707499, 0.04791988630121054, 0.05748756247487315, 0.0587613379304856, 0.07565221309502951, 0.030712708266075587, 0.07417666084950617, 0.07720098537310974, 0.05508012090337965,
7, 1.5838868836070102e-06, 1.5838868836041293e-06, 0.16852454407538922, 0.06326716760389374, 0.16525736667121066, 0.06929164163201854, 0.0576804903555427, 0.04772222793939612, 0.05737188575365785, 0.058655821832537834, 0.07560327936124174, 0.030433494334401276, 0.07412537681511151, 0.07715943548187221, 0.05490410017142223,
8, 1.3598624046869802e-06, 1.3598624046869802e-06, 0.1690565261772938, 0.06319259424024551, 0.16577367452725988, 0.06924297556387737, 0.05760112329574413, 0.047546547554592096, 0.05727589315673698, 0.05857027416655978, 0.07557369375059365, 0.03018201781523986, 0.07409373837253931, 0.07713751038816352, 0.05475071106775755,
9, 2.3146356769536025e-06, 2.3146356769536025e-06, 0.16947493777350278, 0.06313812853630917, 0.16617789174000921, 0.06921338831176004, 0.05754075351722266, 0.04739187758228046, 0.057199017662771044, 0.05850415801562241, 0.07556329580119407, 0.02995631219304323, 0.07408154560885903, 0.07713507250233705, 0.05461899128556965,
