Optimize time:16.20004237168365
Begin Prob:-13656.343342890681
End Prob:-13629.67193072547
Substitution parameters:[0.2675795326552916, 0.197635223740915, 0.2193447915094366, 0.31544045209435684, 4.2195025978025935]
Trees:
((2:292.56550366145876,5:323.6247515703209):258.907764852545,(4:347.7104314699005,(1:258.907764852545,3:373.833805993809):373.83607821511606):483.75569485896904);
(5:258.907764852545,((2:324.4926283826668,1:378.73051535298254):384.8635212271272,(4:420.22698441118985,3:373.83607821511606):528.6215715384842):363.4325467651135);
(5:373.8360186589292,(4:369.3302293457666,(2:428.5379249597543,(1:373.8360186589292,3:373.83607821511606):373.8360186589292):324.4914362971064):323.5874723311484);
(5:373.8360186589292,(4:316.256002823031,(3:527.4519675883288,(2:430.30228081239835,1:527.8403298547858):427.58092259252754):366.5770282139232):494.01274712169385);
(5:527.8645171363755,(3:296.0754728962894,(1:432.3467503524535,(2:373.8360186589292,4:378.73051535298254):527.8645171363755):345.8390669848023):384.05506293305154);
(5:258.907764852545,(1:258.907764852545,(3:413.09036810437254,(2:414.5002981417711,4:379.84701238625655):378.73051535298254):374.85002532050476):258.906843849793);
(5:404.7327220826072,(4:413.09036810437254,(1:510.77099884045896,(2:369.10875434310094,3:258.906843849793):394.095557055908):384.05506293305154):378.73051535298254);
((2:378.95526092491355,5:527.8218188227195):374.89751384989705,(1:373.8360186589292,(4:375.75311862103234,3:324.7549727009339):408.2495551560224):373.8360186589292);
(5:370.09624543710555,(1:373.84864627413015,(4:527.8236608282234,(2:441.02685887404704,3:384.05506293305154):323.5774191518057):375.2369296095485):404.0789023274808);
((2:324.4926283826668,5:373.1133703825997):366.6511907144419,(3:398.0245384117343,(4:373.1133703825997,1:347.7106405620086):373.8360186589292):339.76107307334627);
(5:483.75569485896904,((2:373.9522061554266,3:373.8360186589292):378.73051535298254,(4:373.9522061554266,1:258.907764852545):527.8645171363755):324.8987990150951);
(5:420.1296382661333,(1:258.907764852545,(2:423.22427175749425,(4:373.83596381104394,3:306.74405385907073):483.75569485896904):476.16873472858407):306.74405385907073);
(5:360.69295841180326,(3:298.3812473526564,(2:324.90275891955866,(4:483.75569485896904,1:420.34925169626626):373.5497456960853):350.2709526655972):527.8218188227195);
(5:395.905061014525,(3:378.73051535298254,(4:258.907764852545,(2:405.5570344136832,1:349.52219173493023):309.2535157245737):374.48951674673185):373.8360186589292);
(5:338.90580819985513,((1:0.517241,3:0.468178):0.244102,(2:258.907764852545,4:373.83607821511606):1e-06):1.16747);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.9933466634843475, 0.00022867900317405802, 0.0016746804252686849, 0.0003048655287609209, 0.00024890354031597374, 0.00027046108878335117, 0.00030481409637912385, 0.000415923107462453, 0.00022809056788645378, 0.00041741212999345327, 0.00022777450402543123, 0.0002280895074123834, 0.00021953627945670668, 0.0002104756165543322, 0.0016736314940723341,
1, 0.9934091752184175, 0.00022425169015742304, 0.0016702050363453845, 0.0003004298023633613, 0.0002444457677680359, 0.0002659991646680422, 0.0003003781619022731, 0.0004113165449164524, 0.0002236635461936895, 0.0004128051471839338, 0.0002233478664802133, 0.00022366268045714556, 0.00021511013185244679, 0.00020605355715910584, 0.0016691560604745674,
2, 0.9934750042796703, 0.00021953824010836347, 0.0016654958307867858, 0.0002956966328896345, 0.00023973946549794926, 0.000261289478772478, 0.0002956448078964176, 0.00040668934482250563, 0.0002189511754255245, 0.0004081773628699332, 0.00021863627821566727, 0.00021895047600899563, 0.0002103940312772997, 0.00020134612608060492, 0.001664446844039925,
3, 0.9935385027243636, 0.00021502620160760726, 0.0016608957655585284, 0.00029116541698987624, 0.00023525038583195352, 0.00025677048465855523, 0.0002911134619337072, 0.0004020839102228354, 0.00021444370844777395, 0.00040356914747642766, 0.0002141314563775399, 0.00021444305003457268, 0.00020588414854208787, 0.00019687356199273883, 0.0016598469506659847,
4, 0.9935996646016902, 0.00021071616316946476, 0.0016564117255885283, 0.00028683578380755926, 0.00023097429100830396, 0.00025244446359958575, 0.00028678374947858047, 0.00039750196477253793, 0.000210140931590493, 0.00039898248281775657, 0.00020983272506744922, 0.00021014021769804724, 0.00020157974462838777, 0.00019262829898712474, 0.0016553632307818446,
5, 0.9936643168160345, 0.00020611074140209672, 0.0016516961175785912, 0.0002821833068670033, 0.00022642952631409652, 0.0002478734284984017, 0.0002821310574223631, 0.000392893421440389, 0.00020554203187896932, 0.0003943701056240241, 0.00020523761576159353, 0.00020554142656338927, 0.00019696545708873157, 0.0001880614301134647, 0.0016506478946352453,
6, 0.9937231247381854, 0.0002020432820897126, 0.0016471479369777548, 0.000278017889346623, 0.00022229577521259682, 0.00024372482878631295, 0.0002779654742405549, 0.0003885332368741009, 0.00020147820909945533, 0.0003900072712180843, 0.0002011760407332867, 0.00020147773671144454, 0.00019289251257258397, 0.00018401553834267777, 0.0016460999063286682,
7, 0.9937792044977924, 0.00019821589545987475, 0.0016427203506174945, 0.0002740851892429822, 0.0002183734148887814, 0.00023978651848104287, 0.000274032440361645, 0.0003842523545111757, 0.0001976542925999771, 0.000385723438259723, 0.00019735445130039333, 0.00019765411182280746, 0.00018906036146762553, 0.00018021053647554336, 0.0016416725219279243,
8, 0.9938379866069622, 0.00019416728304120468, 0.0016380782883291683, 0.00026987057341486097, 0.00021428089832706846, 0.00023567856368667212, 0.00026981748626634305, 0.00037995121498395637, 0.0001936080333342639, 0.0003814204290170533, 0.0001933099796441002, 0.00019360819629545781, 0.00018501070036779186, 0.0001761815215309797, 0.001637030600052636,
9, 0.9938917502842671, 0.00019057102519271917, 0.0016335990149022215, 0.00026607680905732967, 0.00021053885227210922, 0.0002319339387046962, 0.00026602342484186833, 0.00037587354736670116, 0.00019001139697819505, 0.0003773422505233748, 0.00018971362542233647, 0.0001900119330359584, 0.00018141558970919544, 0.0001725873309911315, 0.0016325513532512304,
