Optimize time:20.74501831094424
Begin Prob:-13485.027156008224
End Prob:-13471.146543545561
Substitution parameters:[0.26086793790824586, 0.20025615896599566, 0.21396830831232563, 0.32490759481343284, 2.2636738912195913]
Trees:
((4:911.7494448078617,(5:965.5599984660049,2:801.4333366925449):909.8302248391981):809.3391741807887,(1:909.8302248391981,3:801.4796163657603):965.5599984660049);
(3:801.4796163657603,(2:911.7494448078617,(1:801.4796163657603,(5:782.1239086576616,4:801.4333366925449):801.4796163657603):782.1269282945387):965.5589719515198);
(3:775.9334202031148,((4:999.9999215812713,1:704.9155406294917):965.5589719515198,(5:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713);
(3:999.9748278316359,(4:782.1269282945387,(2:809.3391741807887,(5:704.9215014845173,1:801.4333366925449):999.9999215812713):999.9999215812713):999.9748278316359);
((5:999.9748278316359,(4:999.9748278316359,2:999.9999215812713):801.4796163657603):782.1239086576616,(1:618.034370715906,3:801.3864710639275):782.1240355418299);
(3:236.06880487389634,((5:983.6318155462737,1:381.99113224010205):873.557974584732,(4:873.557974584732,2:236.06880487389634):236.42870878673563):236.06880487389634);
(3:999.9748278316359,((5:809.3391741807887,4:965.5599984660049):999.9748278316359,(2:801.3864710639275,1:965.5589719515198):999.9999215812713):618.034370715906);
(3:801.3864710639275,(5:965.5599984660049,(1:809.332627370361,(4:909.8302248391981,2:809.3391741807887):801.3864710639275):801.4333366925449):965.5589719515198);
(3:873.557974584732,(4:965.5599984660049,(1:236.06880487389634,(5:911.7494448078617,2:801.4333366925449):236.06880487389634):236.06880487389634):854.9966690130998);
(3:999.9999215812713,(5:801.4796163657603,(4:782.1239086576616,(2:801.4333366925449,1:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(3:965.5589719515198,(5:801.4796163657603,(2:999.9748278316359,(4:801.3864710639275,1:999.9748278316359):965.5589719515198):999.9999215812713):999.9999215812713);
(3:999.9748278316359,(4:832.8650696076704,(5:801.4796163657603,(2:801.4333366925449,1:965.5589719515198):999.9999215812713):999.9999215812713):999.9999215812713);
((5:999.9999215812713,(4:999.9999215812713,1:999.9999215812713):999.9999215812713):999.9999215812713,(2:999.9999215812713,3:999.9999215812713):999.9999215812713);
(3:999.9999215812713,(2:999.9999215812713,(4:999.9999215812713,(5:999.9999215812713,1:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((2:618.034370715906,(5:641.2940238169191,4:618.034370715906):1e-06):0.215705,(1:0.990934,3:1.25085):0.215705);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.001248839855780442, 0.001248839855780442, 0.001248839855780442, 0.0012488398557872569, 0.9598255377111434, 0.0033735321954701017, 0.003758295187232932, 0.00338412315051206, 0.0026235714700526456, 0.003384194794668251, 0.002755956514715073, 0.003366993248272912, 0.0027732776140486468, 0.0034141104624852473, 0.006345048081421946,
1, 0.0011623776976697534, 0.0011623776976697534, 0.0011623776976697534, 0.0011623776976739822, 0.9610379154295173, 0.003287865806413007, 0.0036728267267129577, 0.003298751967461862, 0.002536951690071508, 0.003298825308505515, 0.00267071182601159, 0.003281233692422263, 0.002688144103462158, 0.0033286641577619353, 0.0062485983549176154,
2, 0.0010674321343728647, 0.0010674321343728647, 0.0010674321343728647, 0.0010674321343786897, 0.9620966809363831, 0.0032205132914167075, 0.0036062339131246106, 0.003230304928610989, 0.002471188995672407, 0.0032303826462938613, 0.002601167457791623, 0.0032136961694034594, 0.00261894291250034, 0.003261832262164046, 0.006179327802639419,
3, 0.0009870998381392782, 0.0009870998381392782, 0.0009870998381392782, 0.0009870998381446647, 0.9629024670175145, 0.0031720771773713703, 0.0035582933803264007, 0.003181236252965291, 0.002425310392639765, 0.0031813181442504456, 0.0025529116652495357, 0.0031651020146157838, 0.002570933660666061, 0.003213712291739665, 0.00612823850118109,
4, 0.0009048375082632299, 0.0009048375082632299, 0.0009048375082632299, 0.0009048375082681676, 0.9637323713577174, 0.003122864770100426, 0.003509845069677236, 0.0031315433420984876, 0.0023780769998618632, 0.0031316301461048203, 0.0025041900150326096, 0.0031156921107831585, 0.0025225634557495503, 0.0031650317807537212, 0.006066840768395259,
5, 0.000841128673274754, 0.000841128673276284, 0.000841128673274754, 0.0008411286732793441, 0.9643205230611743, 0.0030899993156489154, 0.0034770049340031566, 0.003098602409438525, 0.0023474218456948147, 0.0030986932215459084, 0.0024730008045558524, 0.0030826756992409234, 0.002491565579849574, 0.0031323899091828572, 0.006023608374666015,
6, 0.0007705273117781867, 0.0007705273117781867, 0.0007705273117781867, 0.0007705273117823915, 0.9648498046900205, 0.003065494530029682, 0.003452934321552126, 0.003073467562873109, 0.0023254341786421834, 0.0030735633287999093, 0.002448685230012791, 0.0030579851723730174, 0.0024675259443865585, 0.0031082369891779764, 0.0059947586535677765,
7, 0.0007099376977777867, 0.000709937697779078, 0.0007099376977777867, 0.0007099376977829522, 0.9652289996906535, 0.003052024663921844, 0.0034387106997299612, 0.003059688596215864, 0.002314260250079216, 0.0030597889416237763, 0.002436006595113052, 0.0030443298089589924, 0.002454948227022602, 0.003094792120915484, 0.00597669946151365,
8, 0.0006638156494083368, 0.0006638156494095443, 0.0006638156494083368, 0.0006638156494131667, 0.9657777862712135, 0.0030161796859823403, 0.003400554306442392, 0.0030232131031585263, 0.0022843990501133084, 0.0030233173945108795, 0.002402951335771608, 0.003008348548990322, 0.002421941532534055, 0.003058877279721243, 0.005927168739467774,
9, 0.0006129835880891538, 0.0006129835880891538, 0.0006129835880891538, 0.0006129835880924988, 0.9662920916888167, 0.0029848890055697583, 0.0033677158625182112, 0.0029917469384147686, 0.0022566478068983503, 0.002991855004284857, 0.0023758034386123996, 0.0029769130513814844, 0.0023949513844627743, 0.0030277981328966862, 0.0058876531816299165,
