Optimize time:1.798124500711759
Begin Prob:-27469.787858629483
End Prob:-26683.713644778705
Substitution parameters back:[0.2695828971914045, 0.19659550715414348, 0.21169911615015768, 0.3221224795042943, 5.617022879017788]
Substitution parameters hot:[0.16122908311217107, 0.3486317031024313, 0.33785809376103826, 0.15228112002435934, 2.1918294727200327]
Transition parameters:[0.9992322485098001, 0.6446253388063472, 0.001066040854390544]
hscale parameters:4.789711407834306
Trees:
(3:472.16067594181305,(1:381.9666292840938,(2:390.37109954525124,4:381.9420694913779):404.66073405779764):370.9515878778895);
(3:381.9666292840938,(4:383.59599337643357,(1:361.2606604427543,2:356.47890647773147):378.90376416956104):353.7900968571418);
(3:384.32140613400367,(2:381.9666292840938,(1:371.93639796628287,4:383.2309887867538):375.538407931468):472.1364828636243);
(3:2261.513375889259,(1:1829.5099216940416,(2:1869.7649087807115,4:1829.392287374696):1938.2081342192378):1776.7510522129776);
(3:1829.5099216940416,(4:1837.3141054746368,(1:1730.334306524416,2:1707.4310850086893):1814.8396817143062):1694.5524628954563);
(3:1840.788623234959,(2:1829.5099216940416,(1:1781.4680083279056,4:1835.5658388275358):1798.7205965492856):2261.3974980266676);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6,
0, 0.7322010288341193, 0.1245058877799436, 0.13522769981302327, 0.002693434972706612, 0.0026859953333017465, 0.002685953062294825,
1, 0.7356156168836899, 0.12477947255722537, 0.13555669362081615, 0.0013580677631377539, 0.0013451733499864912, 0.001344975618622283,
2, 0.7367244570008048, 0.12468089982987075, 0.1354817651920185, 0.0010411293906713505, 0.0010358983041262215, 0.0010358500731469883,
3, 0.7393348104102406, 0.12486033053646102, 0.13570815074534495, 3.2340183554386424e-05, 3.218117960397234e-05, 3.218673730682276e-05,
4, 0.7398111315855753, 0.12465548877666693, 0.13551668056992913, 5.5559008696773715e-06, 5.569305376699933e-06, 5.573651084068222e-06,
5, 0.7402769370991334, 0.1244211026662652, 0.13528920438283656, 4.2476996404841e-06, 4.2532678925177154e-06, 4.254673718364264e-06,
6, 0.7407509436681748, 0.12418532861209929, 0.13506014352962964, 1.1968022993584877e-06, 1.1934916651165679e-06, 1.1936859581772834e-06,
7, 0.7412215090343095, 0.12394642465699891, 0.13482768393298075, 1.4736904094864764e-06, 1.4544411548338321e-06, 1.4540347973385714e-06,
8, 0.7416396451368722, 0.12373247387581401, 0.13462131854517928, 2.189178754766723e-06, 2.186794778369857e-06, 2.186262114724645e-06,
9, 0.7420848822035419, 0.12350841251408336, 0.13440561986807614, 3.6269458483825417e-07, 3.6128138170074633e-07, 3.6122918988831303e-07,
10, 0.7425134509903338, 0.12328990163716323, 0.13419616276084578, 1.6189960843299538e-07, 1.6126686358117974e-07, 1.612344250253152e-07,
11, 0.7429353876825279, 0.1230739039091051, 0.13398930961779784, 4.689838992504267e-07, 4.6483372165898296e-07, 4.6476542912903847e-07,
