Optimize time:14.678471208347215
Begin Prob:-13191.489802523998
End Prob:-13032.524124379952
Substitution parameters:[0.2162340763667457, 0.2629438314213221, 0.26295398823767957, 0.25786810397425247, 0.9678995982584147]
Trees:
(4:697.9042765822218,(2:818.397731765255,(3:781.1162133436901,(1:706.7646916908459,5:697.5091254245085):828.2668462373689):721.1780346743202):745.7404341547187);
(4:766.312129750567,(2:663.1192975056713,(1:697.8912164501616,(3:697.9042328972952,5:706.7661819046023):697.9072570097346):697.9072570097346):819.8652107789492);
(4:819.9087629091118,((2:828.2668462373689,5:706.7648185341067):718.3994569015408,(1:694.1802300121477,3:706.6521194241707):763.4618270807621):697.5611168124507);
(4:697.6090735014957,(1:663.1386215881337,(5:819.8769000464423,(2:697.6090735014957,3:694.1802300121477):662.3590682103545):706.7646916908459):724.4053953837439);
(4:697.8912164501616,((3:828.2668462373689,5:776.0257155369295):828.2668462373689,(1:819.1368757475543,2:697.6579099127781):697.4785979612029):697.9072570097346);
(4:679.4539344330758,(1:781.1162133436901,(2:697.4785979612029,(3:832.8158971817463,5:828.2668462373689):697.9072570097346):663.1332364321411):818.4028388037741);
(4:661.4264723998908,(1:828.2892251065773,(3:697.8912164501616,(2:818.397731765255,5:998.2309936440199):998.2299665123073):697.8912164501616):663.1332364321411);
(4:694.1792532633463,(5:998.2308539219366,(1:818.3875690139413,(2:697.9004264776813,3:663.1458955046513):824.1878966050774):998.1466819508821):828.2668462373689);
(4:824.1878966050774,(3:661.5651413894378,(5:994.2397980405162,(1:999.719966697961,2:824.161981643854):763.0863065166735):694.1802300121477):706.6331301581268);
(4:819.1368757475543,((2:819.1368757475543,3:706.6521194241707):697.4785979612029,(1:706.7661819046023,5:663.1332364321411):697.4785979612029):998.0814144521781);
(4:999.9999215812713,(3:998.0814144521781,(2:998.0814144521781,(1:998.0814144521781,5:999.9999215812713):999.9999215812713):999.9999215812713):707.7288507351757);
(4:998.0814144521781,(2:827.8074301899147,(5:999.9999215812713,(1:818.397731765255,3:661.5647065509304):999.9999215812713):999.9999215812713):999.6757977752306);
(4:828.2892251065773,(3:663.1332364321411,(1:718.9173401039322,(2:663.1311473070747,5:661.1879394783851):945.00502401124):998.0814144521781):999.9999215812713);
(4:697.8912164501616,(5:994.2322247156037,(2:697.8912164501616,(1:818.3875690139413,3:828.2668462373689):828.2892251065773):697.8912164501616):945.0047228928842);
(4:0.912432,(5:0.328112,(3:765.8360296532494,(1:716.5877130992254,2:770.5100607385914):0.165555):0.0812547):0.912432);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0001232436742323398, 0.0001232436742323398, 0.0001232436742323398, 0.00010576811815033295, 0.018903312905821434, 0.02069602820010491, 0.11477605612333455, 0.12641309102085346, 0.01860569099920006, 0.10070713415546773, 0.1006920309688799, 0.22568383966275496, 0.11585083079187736, 0.13458505959034092, 0.022611425964733776,
1, 5.0240608736159116e-05, 5.0240608736159116e-05, 5.0240608736159116e-05, 3.9631382898346656e-05, 0.018817607570156908, 0.020612510441816275, 0.11483297591625975, 0.12649363367344005, 0.01851788491047803, 0.1007445814201754, 0.10072944983508808, 0.22594047053525074, 0.11591192913804456, 0.1346778341171006, 0.02253076875789999,
2, 2.7072676142612068e-05, 2.7072676142612068e-05, 2.7072676142612068e-05, 2.0636577271711207e-05, 0.018732910772874485, 0.02052963933223926, 0.11487062672996973, 0.12654993165093778, 0.01842997632159252, 0.10076251719952269, 0.10074735443319159, 0.22613115505530665, 0.11595053393939309, 0.13474433102614394, 0.02244916845874864,
3, 8.946765838748831e-06, 8.946765838732556e-06, 8.946765838748831e-06, 7.165943596800604e-06, 0.018618545183860094, 0.020417338816657814, 0.11492001624212185, 0.12661638632198696, 0.018313097716074152, 0.1007885891784541, 0.10077338537543964, 0.22635351715831795, 0.11600173514009006, 0.13482572515086594, 0.022337657001114748,
4, 7.449186102174114e-06, 7.449186102160564e-06, 7.449186102174114e-06, 5.915010641604299e-06, 0.018498130915663616, 0.020299111370493367, 0.11496367867765556, 0.12667954311314797, 0.018193211345573303, 0.10081262261873848, 0.10079739955647869, 0.2265525839783682, 0.11604974107979743, 0.13490265967893966, 0.022223054621211557,
5, 5.735881687817235e-06, 5.735881687806801e-06, 5.735881687817235e-06, 4.665401433706358e-06, 0.01839258507209529, 0.020192851401849177, 0.114980429065212, 0.12673645725868068, 0.018091105415692175, 0.1008303295645058, 0.10081508386258092, 0.2267513310350149, 0.1160890830439234, 0.13497158804161993, 0.02212728271661511,
6, 2.105518919666929e-06, 2.105518919663099e-06, 2.105518919666929e-06, 1.6576299644002676e-06, 0.018293089727352704, 0.020092517433496694, 0.1149940605414627, 0.12678701103415596, 0.017994070284157605, 0.10084308232880404, 0.10082780747771022, 0.22695948849450184, 0.11612618633981586, 0.13503815766786034, 0.02203655400857647,
7, 5.413087197009952e-07, 5.413087197000106e-07, 5.413087197009952e-07, 4.896133948078091e-07, 0.018198430434205964, 0.019997037971207016, 0.1150096387945909, 0.12683699865119386, 0.017900701740749436, 0.10085520821207448, 0.10083989815819808, 0.22714466480529927, 0.1161623794774973, 0.1351034904150731, 0.021949437324522505,
8, 2.7446821125775897e-07, 2.744682112567604e-07, 2.7446821125775897e-07, 2.601460804134863e-07, 0.018102886356728142, 0.01990092140491927, 0.11502089064623783, 0.12688545445054783, 0.017808356918171144, 0.10086644973460247, 0.1008511168651589, 0.22733495473855328, 0.11619741567823318, 0.135167124151119, 0.021863345028736613,
9, 1.7471389512273915e-07, 1.7471389512242136e-07, 1.7471389512273915e-07, 1.6436487586608836e-07, 0.01800977756198527, 0.01980733323717715, 0.11502975786673582, 0.12693105706129232, 0.017717959898685607, 0.10087525450357733, 0.10085989807355464, 0.22753164935244158, 0.11622977599147213, 0.13522774394045545, 0.021779103529320085,
