Optimize time:2.9465061902337606
Begin Prob:-228404.406987741
End Prob:-221671.57331049687
Substitution parameters:[1, 0.2356805047725245, 0.25807413065562645, 0.24923654528262454, 0.2570088192892245, 3.1885348506286317]
Trees:
((3:403.1878320436382,4:236.06880487389634):402.4796378694551,(1:236.06880487389634,2:947.3784523137982):997.3088286082962);
((2:270.91792195601937,4:237.99287722886564):237.30852657899578,(1:236.06880487389634,3:296.8950390345698):236.06880487389634);
(4:0.328548,(1:355.71080991477083,(2:0.574501,3:0.414667):1e-06):0.328548);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.0011496864374829882, 0.9931679102534152, 0.005682211471925263,
1, 0.0005767077165035098, 0.9942782723834699, 0.005144828088513099,
2, 0.00031366362614350835, 0.9951258770749871, 0.004560267486898738,
3, 0.0001971798591663781, 0.9956033319283588, 0.004199296387234546,
4, 0.0001261131268616539, 0.9961205640600055, 0.0037531309919824835,
5, 8.291998208128069e-05, 0.9967107056428474, 0.0032061825480432277,
6, 6.625950947907453e-05, 0.9970671817103085, 0.002866366992188212,
7, 3.586467113422135e-05, 0.9974180301737269, 0.002545913329862788,
8, 2.321475877703577e-05, 0.9976268344300002, 0.0023497590017418062,
9, 1.4627197752440378e-05, 0.9978802747050769, 0.002104906321152404,
10, 8.764495817984891e-06, 0.998189198839915, 0.001801844874573092,
11, 5.516099685929228e-06, 0.9985315440960921, 0.0014627480186682632,
12, 4.309148631681355e-06, 0.998900173590835, 0.0010953254675439724,
13, 3.6018336666095426e-06, 0.9993285925868437, 0.0006676137650741628,
14, 3.3213869597118023e-06, 0.9995985846328311, 0.0003979021665006532,
15, 2.7093974524041757e-06, 0.9997261152296154, 0.0002709835823162071,
16, 2.767156369768928e-06, 0.9998442089712843, 0.00015283209804467228,
17, 2.6026904719457626e-06, 0.9999006270565481, 9.65784827678428e-05,
18, 2.5525137239028325e-06, 0.9999377073448589, 5.954835793133428e-05,
19, 2.3144431780737795e-06, 0.9999546212021513, 4.287257937947871e-05,
20, 2.2813122792104994e-06, 0.9999647005579752, 3.282633837122589e-05,
21, 2.2390470790575714e-06, 0.9999708364662937, 2.6732697275006232e-05,
22, 2.1671950221909353e-06, 0.9999741760681218, 2.3464942729782616e-05,
23, 2.2813041402694347e-06, 0.9999748056261223, 2.272126818684213e-05,
24, 2.3955936972138956e-06, 0.9999733736092498, 2.4038976656590748e-05,
25, 2.3609123260743464e-06, 0.9999764545216601, 2.0992758977628086e-05,
26, 2.369304114708359e-06, 0.9999775317460564, 1.9907129244432774e-05,
27, 2.2066106533564393e-06, 0.9999830610156485, 1.4540533307298877e-05,
28, 2.1965588122007468e-06, 0.9999865545572773, 1.1057039607714158e-05,
29, 2.3351272937514335e-06, 0.9999887729984901, 8.700041678842774e-06,
30, 2.51065478767405e-06, 0.9999905791926649, 6.71835602310063e-06,
31, 2.5357170169138025e-06, 0.9999906943554437, 6.578122633526927e-06,
32, 2.3468873012819564e-06, 0.999989052013819, 8.409272000628745e-06,
33, 2.471225880310822e-06, 0.9999865903254046, 1.0746631405684881e-05,
34, 2.7891264908632632e-06, 0.9999871845887263, 9.834459787494724e-06,
35, 3.422386662297665e-06, 0.9999870294673099, 9.35631390356086e-06,
36, 4.747850097117658e-06, 0.9999858345966589, 9.225686358879022e-06,
37, 7.088159757761437e-06, 0.9999810088250161, 1.1711125238220058e-05,
38, 4.708734596137836e-06, 0.9999831347926117, 1.1964585861078105e-05,
39, 3.7159758358120693e-06, 0.9999831244609262, 1.2967664768745855e-05,
40, 3.0337693258809376e-06, 0.999978779778355, 1.7994545822324236e-05,
41, 2.7830877161887253e-06, 0.9999717439267773, 2.5281103930125743e-05,
42, 2.8124725368310288e-06, 0.999960825585455, 3.6170069573606703e-05,
43, 2.4584170421356657e-06, 0.9999545613382905, 4.27883695389544e-05,
44, 2.4722412492002685e-06, 0.999942528571313, 5.480729149429608e-05,
45, 2.7255517883968335e-06, 0.9999312223305119, 6.586021068155736e-05,
46, 3.3086418343119088e-06, 0.9999237358548846, 7.27635985779981e-05,
47, 3.045126483065497e-06, 0.9999235812380379, 7.318170157690321e-05,
48, 2.7415830087970253e-06, 0.9999101624027676, 8.690408061987757e-05,
49, 2.4562944699093803e-06, 0.9999029057499181, 9.444603036247535e-05,
50, 2.383032281620196e-06, 0.9999015314559184, 9.589359000440803e-05,
51, 2.7563991391668116e-06, 0.9999040704601053, 9.298121074880167e-05,
52, 3.3979850231054373e-06, 0.9998993718756642, 9.703824096829216e-05,
53, 4.096209062703488e-06, 0.9998995884445988, 9.61234278812395e-05,
54, 4.176224627300033e-06, 0.9999074846288767, 8.814720538398995e-05,
55, 3.6426023004564753e-06, 0.9999233276466721, 7.283781316146172e-05,
56, 3.808746652960862e-06, 0.9999313044267741, 6.469488862983974e-05,
57, 3.2664390597747735e-06, 0.9999468058701065, 4.9735726714596314e-05,
58, 2.919628336452945e-06, 0.9999509372386369, 4.595116001455723e-05,
59, 2.9216286484100604e-06, 0.9999505948489297, 4.629153210407204e-05,
60, 2.7546810714247266e-06, 0.9999547035913597, 4.23497207356404e-05,
61, 2.846300055010043e-06, 0.9999546849948547, 4.2276690181290727e-05,
