Optimize time:19.54584134625064
Begin Prob:-13593.850897133516
End Prob:-13537.156264088446
Substitution parameters:[0.2131260411155425, 0.28800174389275013, 0.27067669916538734, 0.22819551582632, 1.5652877784215327]
Trees:
(1:381.96666828290785,((3:381.95917810103964,4:381.95149444525634):785.2186909534166,(2:382.0385039600386,5:388.4244704041149):381.78752335854654):381.96653269082526);
(1:382.5300456981567,(5:428.9798545578363,(2:339.394785307552,(3:388.4244704041149,4:383.1098318784717):388.4244704041149):380.54130013474287):380.54130013474287);
(1:380.6295556485083,(2:381.9666292840938,(5:380.63145200882644,(3:388.4244704041149,4:388.4244704041149):381.3940609100941):408.6173137244717):776.5592022127308);
(1:381.3940609100941,((2:392.24204348207127,3:376.46328158067723):380.6303007553865,(4:380.63113381020156,5:380.63113381020156):785.2884181310833):381.9666292840938);
(1:379.71560034143096,(3:392.47708323690557,(5:379.31103722108384,(2:379.30585241334734,4:379.31103722108384):380.6362408487206):379.33369466482725):381.3943497147366);
(1:380.54130013474287,(4:381.7487370689105,(5:381.9666292840938,(2:381.9666292840938,3:381.9666292840938):381.9666292840938):381.7487370689105):379.31103722108384);
(1:380.54130013474287,((2:392.2625182409916,4:381.9666292840938):380.54130013474287,(3:388.4244704041149,5:363.3665204389873):785.2884181310833):383.1098318784717);
(1:380.4163199937782,(4:380.6303007553865,(3:386.8725157658607,(2:379.31103722108384,5:436.97331419168586):379.30585241334734):379.6455292628263):785.2884181310833);
(1:556.4884117763203,(2:381.9666292840938,(4:387.3976285968679,(3:380.6303887033234,5:390.4145423226793):381.9666292840938):386.8799828739317):493.0069841453164);
(1:379.30705802160156,(5:380.4163199937782,(4:381.96666828290785,(2:381.9666292840938,3:381.96666828290785):380.54130013474287):379.31103722108384):363.3663221981375);
(1:381.92996935539395,(3:379.30585241334734,(4:380.63113381020156,(2:380.4163743485924,5:381.9666292840938):452.2197921767333):785.2884181310833):380.63113381020156);
(1:381.95402119334244,(5:379.6455292628263,(3:387.3976765359666,(2:381.9666292840938,4:381.81536729662093):380.54130013474287):379.31103722108384):381.78752335854654);
(1:383.2228748680794,(3:380.95030295594825,(2:383.2228748680794,(4:381.9666292840938,5:381.5322854314556):381.9697735236478):381.95586921816124):379.33369466482725);
(1:333.2082161201991,(4:381.78752335854654,(2:387.3976765359666,(3:380.54130013474287,5:380.54130013474287):379.31103722108384):388.4244704041149):381.9666292840938);
(1:382.33476819334015,(2:381.96226743635236,(3:383.6962005581779,(4:0.711933,5:1.01536):1e-06):0.299746):0.833579);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0037603550470889265, 0.0037603550470889265, 0.0037603550470889265, 0.0037603550470889265, 0.0037603550820210414, 0.0037603550470889265, 0.0037603550470889265, 0.30456365490074955, 0.032962074738604054, 0.1517551841715133, 0.28023148684100324, 0.08159370925117228, 0.04438538994021855, 0.030489302221554933, 0.04769671205684131,
1, 0.0033095053667581164, 0.0033095053667581164, 0.0033095053667581164, 0.0033095053667581164, 0.0033095054018484355, 0.0033095053667581164, 0.0033095053667581164, 0.30619773528486843, 0.032823189660068565, 0.15219747972920716, 0.2817042796166185, 0.08164346186919463, 0.04429810734420053, 0.030320237343010346, 0.04764897103720916,
2, 0.00269553764267543, 0.00269553764267543, 0.00269553764267543, 0.00269553764267543, 0.0026955376773946664, 0.00269553764267543, 0.00269553764267543, 0.3082612757085336, 0.03267497186632484, 0.15281619952842543, 0.28356794813564795, 0.08177705553357485, 0.04425308841872153, 0.030170253348795736, 0.04761044341400095,
3, 0.0023744063606173367, 0.0023744063606173367, 0.0023744063606173367, 0.0023744063606173367, 0.0023744063949708225, 0.0023744063606173367, 0.0023744063606173367, 0.30966077832714256, 0.032451101673868145, 0.15316051196418326, 0.2848213206214733, 0.0817619385976166, 0.04410788600944957, 0.029948372154418586, 0.04746724558061137,
4, 0.0019989090615892715, 0.0019989090615892715, 0.0019989090615892715, 0.0019989090615892715, 0.001998909094029614, 0.0019989090615892715, 0.0019989090615892715, 0.3112513072613931, 0.03226107818166809, 0.15344287365239703, 0.2862481904584505, 0.08168894163246006, 0.043995275024768396, 0.029754290356611875, 0.0473656794567961,
5, 0.0015405051314116636, 0.0015405051314116636, 0.0015405051314116636, 0.0015405051314116636, 0.0015405051611229932, 0.0015405051314116636, 0.0015405051314116636, 0.3130961177164157, 0.03209859864520011, 0.1537234186564397, 0.2879070236179456, 0.0816086556069309, 0.04390601705199609, 0.029583193983703113, 0.04729343826025043,
6, 0.0012911978961302212, 0.0012911978961302212, 0.0012911978961302212, 0.0012911978961302212, 0.001291197923438269, 0.0012911978961302212, 0.0012911978961302212, 0.3144048352604058, 0.031890324561176644, 0.1538220827025902, 0.28907618314428984, 0.08143827034358594, 0.04378290158610229, 0.029399238028792796, 0.047147778559784595,
7, 0.00103699029231987, 0.00103699029231987, 0.0010369902923217562, 0.0010369902923217562, 0.001036990316224625, 0.00103699029231987, 0.00103699029231987, 0.3157319905453619, 0.03164471350522614, 0.15396544197096043, 0.29026108701237535, 0.08130168764040019, 0.04366074787773885, 0.029215809625882334, 0.046959589238335576,
8, 0.0009625352330538889, 0.0009625352330538889, 0.0009625352330556398, 0.0009625352330556398, 0.0009625352557605512, 0.0009625352330538889, 0.0009625352330538889, 0.3166083417909115, 0.031367534629509836, 0.15397095138153283, 0.2910338016641184, 0.08109212045807872, 0.0434767310489062, 0.028987027948460805, 0.04672574391205292,
9, 0.0008633511387677235, 0.0008633511387677235, 0.0008633511387677235, 0.0008633511387677235, 0.00086335115951777, 0.0008633511387677235, 0.0008633511387677235, 0.31744971085955936, 0.031121286088098766, 0.15402457678338563, 0.29177320451676386, 0.08092481836427357, 0.043338335519750304, 0.02880411804642232, 0.04652049131725311,
