Optimize time:20.02092630750603
Begin Prob:-13592.568087355143
End Prob:-13489.499795157984
Substitution parameters:[0.2119869253133601, 0.2809579986863689, 0.2664721699759983, 0.24058290602427276, 0.2599401754900228]
Trees:
(5:500.0004999999999,(4:500.0004999999999,(1:255.04227043945397,(2:254.35781728625335,3:500.0004999999999):309.0177232747593):500.0004999999999):500.0005407495391);
(5:500.0004999999999,(4:309.1309989119084,(3:499.52679297752456,(1:255.04904358760314,2:500.0004999999999):334.8484537920219):500.0004999999999):309.0177232747593);
(5:500.0004999999999,(4:309.0177232747593,(2:500.0004999999999,(1:309.1309989119084,3:309.0177232747593):506.57830217040356):309.0177232747593):486.04175063096284);
(5:309.0177232747593,((2:309.0177232747593,4:500.0004999999999):309.13082301636547,(1:500.0004999999999,3:240.134102987656):500.0004999999999):309.0177232747593);
(5:673.7623309357472,(2:323.43346083176715,(3:500.0004999999999,(1:500.0004999999999,4:309.0177232747593):376.03051895355037):680.340207159061):658.7454733175446);
(5:500.0006580033773,((2:404.7324876661393,3:255.32230374149293):309.0177232747593,(1:500.0004999999999,4:506.5768950034135):309.0177232747593):309.0177232747593);
(5:240.13413988275423,(3:240.134102987656,(4:254.35790132454113,(1:499.4130217090407,2:500.0004999999999):500.0004999999999):500.0004999999999):309.0177232747593);
(5:500.0004999999999,((3:255.31989252498454,4:500.0004999999999):669.8216018832643,(1:500.0004999999999,2:240.13413988275423):506.57830217040356):309.0177232747593);
(5:500.0004999999999,(1:335.32501685231193,(4:500.0004999999999,(2:500.0004999999999,3:309.0177232747593):500.0004999999999):309.0177232747593):309.0177232747593);
(5:488.54477851862436,(2:255.31989252498454,(4:309.0177232747593,(1:500.0004999999999,3:500.0004999999999):254.5458624052533):255.32226662111782):309.0177232747593);
(5:500.0005407495391,(1:240.13413988275423,(2:236.06880487389634,(3:381.97919113555605,4:381.97919113555605):500.0005407495391):425.1651893081459):978.3487068964246);
(5:618.0379763081852,(1:236.06880487389634,(3:628.0964067414111,(2:236.06880487389634,4:618.0379763081852):236.06880487389634):381.97919113555605):236.06880487389634);
(5:618.0379763081852,(2:975.3531166645788,(1:618.0369993516713,(3:381.97919113555605,4:381.96669272617794):381.96669272617794):381.96669272617794):381.96669272617794);
(5:618.0379763081852,(3:978.578488164577,(1:381.9695462695225,(2:978.578488164577,4:980.4165373473483):236.06880487389634):975.3531166645788):236.06880487389634);
(5:1.4005,(3:309.0177232747593,(2:426.75814900628814,(1:309.0177232747593,4:1.24955):0.174155):0.0608774):1.4005);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0012848587583997476, 0.0012848587583997476, 0.0012848587583997476, 0.0012848587583997476, 0.0009642581304741483, 0.263953834796036, 0.033825920629200736, 0.034288181088954574, 0.2963510603255281, 0.03156342805913336, 0.03653035939928019, 0.03129860607279891, 0.03475182908790828, 0.029174563745615188, 0.20215852408996393,
1, 0.0009944013599018197, 0.0009944013599018197, 0.0009944013599018197, 0.0009944013599018197, 0.0007054110345826165, 0.2646947809252839, 0.03371955842031075, 0.03418964653137998, 0.2972635213422809, 0.031456018831110356, 0.036457805352904986, 0.031220627726999194, 0.03465382646745227, 0.02905404546254175, 0.20260715292281606,
2, 0.0007272616411693758, 0.0007272616411693758, 0.0007272616411693758, 0.0007272616411693758, 0.0004941602259710305, 0.26541806311707444, 0.03359580781478676, 0.03407757771466791, 0.29816080099844183, 0.03133885451661495, 0.036372398010765764, 0.031136600939489025, 0.03454283178447483, 0.02892037043817384, 0.203033488332995,
3, 0.0004733811645161644, 0.0004733811645161644, 0.0004733811645161644, 0.0004733811645161644, 0.00031594684288877885, 0.2661291971251683, 0.03345976039940757, 0.03395719517386941, 0.2990540449946549, 0.03121536654366242, 0.03627749068696369, 0.031047762729130127, 0.03442643572027467, 0.02877245207867784, 0.2034508235060741,
4, 0.00020794588360506514, 0.00020794588360506514, 0.00020794588360506514, 0.0002079458836054434, 0.00015212816282958236, 0.2668350336349375, 0.033334445322622974, 0.03384523939528652, 0.29992932907068265, 0.031100373016449936, 0.03618964312817676, 0.030960791612648555, 0.034317915417610506, 0.0286357227525024, 0.20386759540975033,
5, 0.00015678271275920033, 0.00015678271275891515, 0.00015678271275891515, 0.00015678271275920033, 0.00011346053409167672, 0.2672712971759368, 0.03317120925796916, 0.03369728178363125, 0.30051980699207914, 0.030952804146692003, 0.0360642631417518, 0.0308511105013001, 0.034174281162906425, 0.02846579037073361, 0.20409156453875657,
6, 0.0001311912119411189, 0.0001311912119411189, 0.0001311912119411189, 0.00013119121194135754, 9.746846505725958e-05, 0.26768080882111484, 0.03300072611942779, 0.03354246881942008, 0.30107840984604256, 0.030799489020705055, 0.03593119860363911, 0.03073648528281393, 0.03402370074692862, 0.028290060678680576, 0.20429441920474223,
7, 7.789697560392606e-05, 7.789697560378436e-05, 7.789697560392606e-05, 7.789697560392606e-05, 6.09224715847598e-05, 0.26813537395132214, 0.032836223310446444, 0.033389964208673295, 0.30166649844617616, 0.030650103706154622, 0.035792162399203395, 0.03061477151499432, 0.033875189544273036, 0.028120804066609675, 0.20454639893641066,
8, 4.027543994476599e-05, 4.027543994469273e-05, 4.027543994469273e-05, 4.027543994476599e-05, 3.473214815389913e-05, 0.26852183236835775, 0.03269402369515902, 0.033257544405044935, 0.3021633508711708, 0.030521627993332114, 0.035671255868833025, 0.030506634031195738, 0.033745848785426975, 0.027975802500365774, 0.20474624603136768,
9, 2.1964421752853014e-05, 2.196442175281306e-05, 2.1964421752853014e-05, 2.1964421752892967e-05, 2.2025518696165473e-05, 0.26888841234547517, 0.032552827204079135, 0.03312458396830799, 0.30262206941533226, 0.03039062742455473, 0.03554794992550621, 0.030388515976292586, 0.033615246101588864, 0.027830610434035768, 0.20492927445629844,
