Optimize time:0.1262919263707267
Begin Prob:-27047.11917485988
End Prob:-27046.33394248507
Substitution parameters:[0.2696043213311131, 0.19619905649341085, 0.2148471169157868, 0.3193495052596893, 2.1265509833134297]
Trees:
((4:452.12155060214457,2:381.96666828290785):415.9533944750597,(1:416.29035944357315,3:351.4829179409621):396.01328065791137);
(4:371.6998212856301,(1:416.30376795376145,(2:373.82234475024666,3:403.2528442500658):424.1017861823708):334.5681804791866);
(4:0.867281,(3:0.7415,(1:368.15034396421413,2:1.73383):1e-06):0.867281);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.3243293928907358, 0.33783583475086865, 0.3378347738799586,
1, 0.31246987424875067, 0.3437651540938271, 0.34376497318058213,
2, 0.3594929625677103, 0.3202526228123504, 0.3202544161443539,
3, 0.29748811758017213, 0.35125668618830896, 0.3512551977567562,
4, 0.3691833327119841, 0.315407254898962, 0.31540941391344823,
5, 0.28934211762046547, 0.3553295716385823, 0.3553283122653005,
6, 0.37856256030436564, 0.3107183872881824, 0.3107190539323157,
7, 0.29155886819804167, 0.3542212799762757, 0.3542198533526474,
8, 0.35766239088249546, 0.32116857566514745, 0.321169034980463,
9, 0.3389721518052456, 0.3305141181123884, 0.33051373160967445,
10, 0.319125330505597, 0.3404374706389768, 0.3404372003838215,
11, 0.3317961920285388, 0.3341015892980854, 0.3341022202022182,
12, 0.3160319164682797, 0.341984446362945, 0.34198363869693366,
13, 0.3462639541849403, 0.3268671036239108, 0.3268689437177263,
14, 0.3277186809474356, 0.3361406465587334, 0.33614067402078335,
15, 0.3429360871101037, 0.32853131685686254, 0.32853259756038844,
16, 0.32566229515118933, 0.3371686477687788, 0.3371690586081315,
17, 0.3550974774306434, 0.32245021965147913, 0.32245230444708417,
18, 0.2973854402826021, 0.351308301050415, 0.3513062601949268,
19, 0.36648148879956266, 0.31675914613614015, 0.3167593665913369,
20, 0.3109852601937817, 0.34450721062283124, 0.3445075307108165,
21, 0.3205911097354892, 0.3397048328068588, 0.339704058982218,
22, 0.35547523782429713, 0.32226148400851784, 0.32226327969120805,
23, 0.3039450164889761, 0.34802763733014686, 0.34802734770469884,
24, 0.35428026319935274, 0.32285986298900976, 0.3228598753371313,
25, 0.33507011683191823, 0.33246537058237907, 0.33246451410973615,
26, 0.3354838242626242, 0.33225731593555546, 0.3322588613257701,
27, 0.3346892416384844, 0.33265512384459006, 0.3326556360419287,
28, 0.340527557996, 0.3297357821204667, 0.32973666140775915,
29, 0.3266728872480217, 0.3366633198530251, 0.3366637944214493,
30, 0.3113003140162729, 0.3443505654424474, 0.3443491220621782,
31, 0.3618553497383116, 0.3190709614199107, 0.3190736903634028,
