Optimize time:0.3817187739080853
Begin Prob:-26671.098186089537
End Prob:-26132.061843164636
Substitution parameters:[0.21616024283758398, 0.27101845678389913, 0.28271770493986004, 0.23010359543865685, 1.0561948389458453]
Trees:
(3:821.9328675979953,(1:814.9838562998009,(2:818.6017528514872,4:734.5154329770512):616.9496142239441):734.5182609749978);
(3:671.8221709677865,(2:671.8430281825364,(1:474.9986812185082,4:734.5158922460574):617.2907884264117):597.5020538286561);
(3:0.781189,(4:0.59169,(1:641.6347377287002,2:0.386274):0.262793):0.781189);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.0015172140272933685, 0.0015172140272933685, 0.99696556978859,
1, 0.00033817611098167565, 0.00033817611098167565, 0.9993236456194943,
2, 8.84550229986783e-05, 8.84550229986783e-05, 0.9998230877938548,
3, 1.2145558910188494e-05, 1.2145558910188494e-05, 0.9999757067202618,
4, 3.3474435396209577e-06, 3.3474435396209577e-06, 0.9999933029509128,
5, 1.219849200469903e-06, 1.219849200469903e-06, 0.9999975581406744,
6, 2.8871881096621946e-07, 2.8871881096621946e-07, 0.9999994204010224,
7, 7.168922093724829e-08, 7.168922093724829e-08, 0.9999998544626684,
8, 7.632561553760985e-08, 7.632561553760985e-08, 0.9999998451858239,
9, 2.804389992670252e-07, 2.804389992670252e-07, 0.9999994369574545,
10, 5.778187609406434e-07, 5.778187609406434e-07, 0.999998842195725,
11, 1.0779603523061696e-06, 1.0779603523061696e-06, 0.9999978419096446,
12, 6.558529102367062e-06, 6.558529102367062e-06, 0.9999868807741419,
13, 7.48739517329185e-06, 7.48739517329185e-06, 0.9999850230445341,
14, 4.65005629929224e-06, 4.65005629929224e-06, 0.9999906977241807,
15, 5.4783357018723494e-06, 5.4783357018723494e-06, 0.999989041165485,
16, 5.445674075083029e-06, 5.445674075083029e-06, 0.9999891064846809,
17, 3.6080426641724603e-06, 3.6080426641724603e-06, 0.9999927817485915,
18, 6.021785858784651e-07, 6.021785858784651e-07, 0.9999987934759704,
19, 3.753161304174776e-07, 3.753161304174776e-07, 0.9999992472006047,
20, 9.95246617814214e-07, 9.95246617814214e-07, 0.9999980073427495,
21, 1.062761120904887e-06, 1.062761120904887e-06, 0.9999978723121683,
22, 3.152977940431297e-07, 3.152977940431297e-07, 0.9999993672392703,
23, 2.1741374491860608e-07, 2.1741374491860608e-07, 0.9999995630097192,
24, 4.4774891834305175e-07, 4.4774891834305175e-07, 0.9999991023364082,
25, 1.0283212126525037e-07, 1.0283212126525037e-07, 0.9999997921695684,
26, 1.5096861753356018e-07, 1.5096861753356018e-07, 0.9999996958977597,
27, 3.417146298641597e-07, 3.417146298629166e-07, 0.9999993144049389,
28, 1.5554599496654111e-06, 1.5554599496654111e-06, 0.9999968869172589,
29, 3.424067471968075e-06, 3.424067471968075e-06, 0.9999931497020936,
30, 4.350492571196161e-06, 4.350492571196161e-06, 0.9999912968538787,
31, 1.033441168917181e-05, 1.033441168917181e-05, 0.9999793290143391,
32, 1.2560459996766984e-05, 1.2560459996766984e-05, 0.9999748769177993,
33, 9.874192538732713e-06, 9.874192538732713e-06, 0.9999802494516679,
34, 1.5946374337854293e-05, 1.5946374337854293e-05, 0.999968105089711,
35, 2.7823584895408085e-05, 2.7823584895408085e-05, 0.9999443506663497,
36, 3.0427188625745854e-05, 3.0427188625745854e-05, 0.9999391434576987,
37, 3.1339768951402836e-05, 3.1339768951288825e-05, 0.9999373182982513,
38, 3.033998398012296e-05, 3.033998398012296e-05, 0.9999393178663554,
39, 3.7514204817375496e-05, 3.7514204817375496e-05, 0.9999249694292782,
40, 3.517541839085017e-05, 3.517541839085017e-05, 0.9999296469988337,
41, 2.9255796031473557e-05, 2.9255796031473557e-05, 0.9999414862453342,
42, 1.1390220019012682e-05, 1.1390220019012682e-05, 0.9999772173990581,
43, 8.086910083586766e-06, 8.086910083557347e-06, 0.9999838240181379,
44, 3.2778052345098146e-06, 3.2778052345098146e-06, 0.9999934422300084,
45, 2.8866068505521987e-06, 2.8866068505521987e-06, 0.9999942246234579,
46, 3.1419796930405094e-06, 3.1419796930405094e-06, 0.9999937138797794,
47, 2.5553930276259374e-06, 2.5553930276259374e-06, 0.9999948870557744,
48, 3.093313055112025e-06, 3.093313055112025e-06, 0.9999938112169332,
49, 1.352410099682097e-06, 1.352410099677177e-06, 0.9999972930200133,
