Optimize time:23.05586178647147
Begin Prob:-13417.405266775759
End Prob:-13277.527356190181
Substitution parameters:[0.21935395374318103, 0.27680746203536594, 0.28317715066550736, 0.22066143355594564, 0.8751192382122392]
Trees:
(4:622.2215413694495,(2:621.0000223001325,(3:618.3576715426054,(1:604.7434115936654,5:642.1920141240623):642.1929864525385):642.1996508910593):617.7630612771486);
(4:621.4510149503284,(5:642.1929864525385,(2:618.6749143479296,(1:621.1399876254278,3:622.1480664521888):617.7630612771486):622.1480664521888):623.5479532580523);
(4:650.0390100876285,((2:621.5823211302851,3:708.2040875951508):621.8070174329029,(1:620.9999709744083,5:625.1130474606908):642.1920141240623):650.0390100876285);
(4:708.2042242954366,(3:642.2012222964765,(2:620.9999709744083,(1:626.9242588588943,5:642.1996508910593):650.0472962521118):621.0001181038585):642.1996508910593);
(4:617.7361030570424,((2:650.0390100876285,5:642.1996972557457):621.9837715425527,(1:642.1929864525385,3:621.1354683677347):621.3905843046069):621.9831071684221);
(4:621.9837715425527,(2:621.1399876254278,(5:621.1399876254278,(1:708.2042242954366,3:621.1399876254278):621.0003227661557):621.5736205662453):621.1399876254278);
(4:708.2042242954366,(1:621.8094995798176,(3:650.0486549536622,(2:650.0486549536622,5:620.2062397935523):621.1399876254278):621.9837715425527):621.9393581075611);
(4:642.1929864525385,(5:708.1588893037091,(1:622.2036588043724,(2:617.7361030570424,3:621.000405812922):708.2042242954366):708.236674938932):819.660292840939);
(4:622.2207501111504,(1:642.1996508910593,(5:650.0457137355137,(2:621.000405812922,3:708.2042242954366):642.2864546853615):650.0483227665968):642.1920141240623);
(4:621.8070174329029,((3:642.1996508910593,5:643.1593392941197):642.4437046727771,(1:642.7646425796025,2:819.660292840939):642.9060467929299):643.2376109815352);
(4:624.6926997143289,(3:620.7917987028586,(5:650.0390100876285,(1:621.139550406569,2:574.8924051548619):649.9969640317433):620.9999709744083):642.1920141240623);
(4:621.9831071684221,(3:649.9987966577792,(1:620.9999709744083,(2:621.9837715425527,5:650.0390100876285):625.2271314554736):708.2042242954366):642.7646425796025);
(4:617.7378106900558,(2:618.3576715426054,(1:819.660292840939,(3:633.1900891215723,5:621.1706298565418):620.9999709744083):459.4276455899115):621.9823643755627);
(4:621.8070174329029,(1:708.2042242954366,(2:819.660292840939,(3:621.0000223001325,5:650.0486549536622):617.9002501842522):708.2042242954366):700.9783498625598);
(4:1.11374,(5:0.548663,(3:631.1141635795522,(1:621.3904914554995,2:621.1408411880358):1e-06):1e-06):1.11374);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0006923193329064821, 0.0006923193329064821, 0.0009635026314655795, 0.15317829387311288, 0.03825636131374369, 0.05004918234955739, 0.032015127629113224, 0.2243794022232694, 0.27793971540000123, 0.038248359283158256, 0.031938615532928656, 0.032123884546835214, 0.049955032297951014, 0.03271350780066742, 0.036854376012084494,
1, 0.00034748943750042665, 0.00034748943750042665, 0.000561952259610158, 0.15361960594658347, 0.038181768166821166, 0.0500386392417383, 0.03187463199238157, 0.2250739644858084, 0.27861543350362683, 0.038173732143141986, 0.03184393706843496, 0.03202998902811272, 0.04994409438069544, 0.03257350943176385, 0.03677376303598911,
2, 0.00021160330817199504, 0.00021160330817199504, 0.0004001968597906718, 0.15397490833587302, 0.03806011219652962, 0.04997295287163995, 0.03169496984433696, 0.22569550645976758, 0.27922861365743706, 0.038052049061435354, 0.03169580507737017, 0.03188226169054212, 0.04987807547151469, 0.03239390761548229, 0.03664743380116938,
3, 0.00013736910903528618, 0.00013736910903553606, 0.000293025382399726, 0.15427444513240876, 0.03794510576755658, 0.049926805617181415, 0.031522063503537937, 0.22622185154171626, 0.2797235709585704, 0.03793701525475094, 0.03155708585070151, 0.031743879387536096, 0.04983160053595968, 0.03222104632687496, 0.03652776608159617,
4, 9.766838613000995e-05, 9.766838613018761e-05, 0.0002259270020149512, 0.15459855078382576, 0.03781990428805001, 0.04982088411992415, 0.031343524964203756, 0.22677319102896626, 0.28023734221077623, 0.037811787079416265, 0.03141044028448231, 0.03159747628828526, 0.04972549340039671, 0.03204226243215398, 0.03639787890390558,
5, 4.185808758317632e-05, 4.185808758325246e-05, 0.00011247060980529698, 0.15501249449916907, 0.03770691442752853, 0.04974409955456904, 0.031130715515044517, 0.22739807923107502, 0.2806101722127316, 0.037698767681832265, 0.03128022618885164, 0.0314675680669289, 0.04964849615495884, 0.03182663139824284, 0.036279647842585076,
6, 1.1209682548220597e-05, 1.1209682548240987e-05, 3.718631839159576e-05, 0.15538134319534483, 0.03760292871952138, 0.049690723253188955, 0.030927852408783266, 0.22794718092113192, 0.28090006312720756, 0.03759475183001092, 0.03116081542247787, 0.031348415399442456, 0.04959490032781368, 0.031621071576841506, 0.03617034769230134,
7, 7.976762627353627e-06, 7.976762627368136e-06, 2.585487247242746e-05, 0.15570094220425415, 0.037502699961200696, 0.049640695309292056, 0.030732369575211218, 0.22843613423172276, 0.28113842373316555, 0.037494495556643755, 0.031045805666271912, 0.03123366698753321, 0.04954464660741379, 0.03142293090226069, 0.036065380424806136,
8, 7.915569444756204e-06, 7.915569444770602e-06, 2.1505712418416017e-05, 0.1560391167661666, 0.037386524977273294, 0.04961051506163918, 0.030513548214500353, 0.2289540067319705, 0.2814056277614526, 0.03737829753729279, 0.030913254601327114, 0.031101360668440346, 0.04951414133127407, 0.031201226236717585, 0.035945042818990657,
9, 8.348718291113272e-06, 8.348718291128459e-06, 1.895903465057971e-05, 0.1563555800121413, 0.03727704283145778, 0.04960112347688106, 0.030309139347392093, 0.22942204754754073, 0.2816327866844667, 0.037268790251701836, 0.03078986448052342, 0.030978284173825827, 0.04950440960267256, 0.030994028955846478, 0.035831245721953,
