Optimize time:19.36068974422084
Begin Prob:-13070.611227772746
End Prob:-12945.17976427151
Substitution parameters:[0.2184287653785145, 0.2635768784229736, 0.27997425742708276, 0.23802009877142924, 2.2899116960085117]
Trees:
(5:882.4531123056163,((2:727.0873512719705,3:496.28257595815893):615.2953221577441,(1:728.3716034230679,4:496.07514937830484):726.2098860150209):875.2122765875354);
(5:830.9843207311235,(3:881.9661292840938,(2:496.0734312930896,(1:566.7642831522589,4:496.0734312930896):881.9661943402417):854.2751822463601):674.7734587250285);
(5:496.28257595815893,(2:830.9526502177713,(3:609.4239158892112,(1:729.4970644905649,4:564.7906022863705):881.9660266326453):728.3716034230679):831.1746029625319);
(5:615.718218165825,(4:882.4531123056163,(1:727.5710799269351,(2:384.27782502866756,3:729.5002110116104):881.9661292840938):881.9661292840938):727.5714905325318);
((3:729.4970644905649,5:729.4970644905649):727.5710799269351,(4:603.730608038106,(1:727.5710799269351,2:489.25679112478144):550.3651128882641):555.8473361394333);
(5:496.07514937830484,((3:727.0873028065541,4:468.7328804328354):881.9660266326453,(1:727.1179767439714,2:727.5694698375388):854.2751822463601):875.1491501198033);
(5:383.4534969371425,(1:666.8929289196857,(4:881.9667449020702,(2:384.2824421587874,3:496.0734312930896):568.5954721767376):728.3716034230679):728.3716034230679);
((2:875.2126283792828,5:854.2751822463601):600.8044525937325,(4:692.7906763310823,(1:609.1695680127789,3:489.25679112478144):674.4426674259277):532.6242595011342);
(5:472.6521153524715,(1:882.4445229360456,(2:489.25679112478144,(3:673.762448315502,4:673.7625251750665):830.9843207311235):875.1491501198033):881.9660266326453);
(5:727.0873512719705,((2:854.1241377950367,4:960.1371311322393):603.730608038106,(1:615.2953221577441,3:629.4804267085657):496.0734312930896):384.2824421587874);
(5:854.1021905664469,(1:496.07514937830484,(3:629.7854679507989,(2:629.4804267085657,4:609.1695680127789):854.1021905664469):854.1043105730074):875.1336228174727);
((2:882.4329018560236,5:854.2751822463601):620.6946870852765,(1:603.2126820701675,(3:609.1690501274986,4:629.4804267085657):468.7325374086621):881.9661292840938);
(5:854.1241377950367,(4:496.0734312930896,(2:600.8134610625164,(1:854.1241377950367,3:496.0734312930896):728.3716034230679):875.1336228174727):882.4329018560236);
((3:854.1021905664469,5:854.1043105730074):854.1043105730074,(1:959.562059268918,(2:830.9843207311235,4:854.1043105730074):830.9843207311235):854.1021905664469);
(5:0.975921,(4:0.273731,(3:691.0608177929229,(1:708.2021691677751,2:551.7141748438271):0.0161532):0.0215829):0.975921);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.000384523094367297, 0.00031107029009937826, 0.9258204407316876, 0.010829860055993337, 0.004882146053944419, 0.00443843851139945, 0.010956401991168922, 0.007677291425251706, 0.004434171403965026, 0.00443433631673979, 0.004432121017536394, 0.0076515519493407695, 0.004428428011504091, 0.004877351674807421, 0.004441867072847914,
1, 0.0001906728118292678, 0.0001683666689571513, 0.9298533806986292, 0.010581531267738649, 0.004596887328788546, 0.004121368903871662, 0.010708575398208837, 0.00731446306521276, 0.004116925423243826, 0.004117091249328704, 0.004114661117320015, 0.007288753739423181, 0.004110968199929589, 0.0045918476662079365, 0.004124506059458488,
2, 8.179596764954292e-05, 6.701425055907671e-05, 0.933797833176992, 0.010362209614095423, 0.004243643055397646, 0.003801416101098283, 0.010489655782963837, 0.006980989752553912, 0.003796766143863364, 0.0037969323541938477, 0.003794079936392976, 0.006955039743995575, 0.003790446701271651, 0.004238258515777228, 0.0038039184985979788,
3, 2.47230235161251e-05, 1.8108315235595037e-05, 0.9367910070916609, 0.010198126437106896, 0.003914214390719112, 0.0035698674940564295, 0.010325674618420967, 0.006727436803254726, 0.0035648623321829684, 0.003565028919509977, 0.0035615966465873013, 0.006701144584296885, 0.0035582672361650232, 0.003908254552694579, 0.003571687146870906,
4, 7.2571924606820105e-06, 5.705897536741485e-06, 0.9399954343159703, 0.010052294949330713, 0.003599109676036038, 0.0033078627724921644, 0.010180306401710547, 0.0063890473830768854, 0.0033024038230995514, 0.0033025707925149, 0.0032986272934092064, 0.006362626297812444, 0.0032952864752851746, 0.003592550994565246, 0.0033089153257522424,
5, 1.7085922388766501e-06, 2.864357475986048e-06, 0.9435258193911814, 0.00992603129039317, 0.0032974880410579126, 0.003012176444907424, 0.010054887329482077, 0.005944988381975008, 0.003006145812197148, 0.0030063132019776772, 0.0030019439892043274, 0.005918753123081283, 0.0029982086762607787, 0.0032903064469370423, 0.003012364511136776,
6, 3.4519324158258375e-06, 4.752013352444319e-06, 0.9459806499692492, 0.009831636427521216, 0.003069945423315033, 0.0028229671095889855, 0.009961440301332154, 0.005605804391709275, 0.0028164931195574345, 0.00281665926406657, 0.00281227977618326, 0.005580237144124729, 0.002808212935611666, 0.003062463929724792, 0.00282300585116277,
7, 5.404577367604197e-06, 9.007318774203918e-06, 0.9481216928427775, 0.009688885735731224, 0.0028927781577215727, 0.0026607930371960243, 0.00981948086801879, 0.005339859331734721, 0.0026538273665811904, 0.0026539925572775036, 0.0026494518539544694, 0.00531456963828145, 0.002644999025476542, 0.002884867576578338, 0.0026603897024602657,
8, 5.899606139290537e-06, 7.625485131375401e-06, 0.9502484077326891, 0.009562875710482506, 0.0026861398178819854, 0.002499465204954984, 0.009696528322796482, 0.0050882063518139205, 0.0024949136002627875, 0.0024950815214078636, 0.0024906066249723844, 0.005063176844876475, 0.0024840103598415585, 0.0026805003764899466, 0.0024965620323381395,
9, 1.8096634971810932e-06, 2.653684859507031e-06, 0.952236066838066, 0.009465447549289702, 0.0025026915531616233, 0.0023530545734521888, 0.009597770975696968, 0.004814619670579125, 0.002350132496975914, 0.002350298060266735, 0.0023456904402634916, 0.004790059297577785, 0.002340704500677538, 0.0024986032292187077, 0.002350397059642619,
10, 8.00126945067514e-07, 1.1162439576439074e-06, 0.9535340519671532, 0.009398583748732621, 0.0023705063952838964, 0.002266701848407382, 0.009529811418168858, 0.004622304907905927, 0.0022647849500659198, 0.002264949183329992, 0.002260198400539425, 0.004598148886416898, 0.00225634458275848, 0.002367498224504234, 0.0022641987090538445,
11, 6.705457173380053e-07, 6.59504306016114e-07, 0.9547234679623596, 0.009310625013860614, 0.0022590263685399034, 0.002189570582733747, 0.00944090829815206, 0.00445646166989667, 0.0021885734415403226, 0.0021887364421296547, 0.0021838575045456453, 0.004432598871702352, 0.0021808455649992993, 0.002256929956876107, 0.002187067864276888,
12, 3.164777536765312e-07, 4.1618961755963907e-07, 0.956196540900597, 0.009217990156443381, 0.0021283580220006655, 0.0020873847728954897, 0.009347187214783989, 0.004247493022701806, 0.0020874363728999403, 0.002087597544071821, 0.0020825624033763463, 0.004223982714065941, 0.0020805971490047716, 0.002127238051305884, 0.0020848986031745645,
13, 8.596268776382336e-07, 8.41564213601459e-07, 0.9574982567171267, 0.009111377980104893, 0.0020195775877156707, 0.0020002193437649706, 0.009239268122122885, 0.004070761980533696, 0.0020011216991995882, 0.002001280337133002, 0.0019961914806040865, 0.004047684509943112, 0.0019952653475249966, 0.0020193132647981383, 0.0019979800340351726,
14, 2.8526547039613095e-06, 2.4407966973129047e-06, 0.9588086287034544, 0.0089755986576147, 0.001921758131774238, 0.0019119004507278776, 0.009101684179364104, 0.0039102963593997215, 0.001913566003112328, 0.0019137211556062236, 0.0019086246991056935, 0.0038876596225674775, 0.001908898150378276, 0.0019222678031543127, 0.0019101022289421225,
15, 1.5364511956166566e-06, 1.353627947432778e-06, 0.9601276335330224, 0.008787866861439673, 0.0018405190943831004, 0.0018265778133004032, 0.008914798396924552, 0.003774423181633075, 0.0018292947702267268, 0.0018294484886641539, 0.0018243526945891978, 0.0037520018695940734, 0.0018243383782856543, 0.0018418434352825185, 0.001824011003715113,
16, 3.303067338531801e-07, 4.271112464612476e-07, 0.9616248350255269, 0.00860927498396182, 0.001714241864264867, 0.0017255688353931533, 0.008736761481807236, 0.0036321918353612527, 0.0017294026436699543, 0.0017295545069184479, 0.0017244291739021576, 0.0036099290526724476, 0.0017242236289479824, 0.0017166434455382841, 0.0017221857062371545,
