Optimize time:22.163934347497094
Begin Prob:-13414.001529703062
End Prob:-13266.447619620638
Substitution parameters:[0.20902591043472124, 0.2815028725365666, 0.27825237373616724, 0.2312188432925449, 1.2679817881552342]
Trees:
((3:427.0523917238856,(2:390.9606091233032,4:493.45189346193547):529.2252802600526):480.11048292771284,(1:490.80108205160974,5:574.7332331991283):488.72927509415047);
(5:490.6312448304575,((2:416.0585413358149,4:427.0536153771857):608.5417895692216,(1:927.6617790479525,3:928.2908934387032):479.0610233853959):416.40844859087304);
((2:494.768290568549,(3:477.6979557576347,4:464.0315148333324):565.2938400461885):477.6979557576347,(1:464.0315148333324,5:477.4580366051173):488.72927509415047);
((4:477.4580366051173,(2:488.72927509415047,3:509.5230395326174):477.4580366051173):491.7800308383867,(1:465.62869224637814,5:480.93603248801315):673.762448315502);
(5:550.4516415410748,(2:477.27966828596993,(1:416.0525291550649,(3:673.8950306640993,4:550.4516415410748):580.5670200996839):427.05144854483126):483.5725959081485);
(5:416.40844859087304,((3:480.11048292771284,4:480.9239092192259):574.9490075591217,(1:477.4580366051173,2:481.66449699072797):477.6947994730341):569.357100957311);
(5:417.52496421371967,(3:855.4622671746963,(1:427.05144854483126,(2:381.99968273171623,4:427.05151500142523):575.1513577590924):477.6979557576347):481.66449699072797);
(5:577.3571716056465,(2:580.530136022633,(3:556.5176162764621,(1:495.07403468271286,4:495.07403468271286):488.72927509415047):477.4580366051173):529.3370622863314);
(5:477.8740323815399,(4:488.72927509415047,(1:480.93603248801315,(2:480.7119335275642,3:695.8442538208722):658.0323157443054):645.102857904102):427.05066638025795);
(5:483.7196265908637,((2:520.0887553234985,3:498.7135129624705):498.74926236794573,(1:506.31909082753026,4:521.3741927013609):502.95959980695653):446.40565620302965);
(5:427.05151500142523,(3:427.05151500142523,(4:894.2496626389208,(1:927.6617790479525,2:886.0081090618537):427.05155607385905):487.18983521056333):580.5920809738114);
(5:673.762448315502,(2:477.4580366051173,(4:455.0267466713477,(1:508.5106560618185,3:525.7381268428109):579.5265033288327):480.26199834390604):477.4580366051173);
(5:455.0267466713477,(4:875.7157342620806,(2:416.0585413358149,(1:416.0585413358149,3:427.05144854483126):927.6617790479525):495.69523579220476):455.0267466713477);
(5:455.0267466713477,(3:494.768290568549,(2:491.5171724516512,(1:525.6883493615277,4:381.96669272617794):381.96669272617794):964.0116848852331):928.8369665080144);
(5:0.828242,(4:0.504044,(3:519.2026364167125,(1:526.4100764479061,2:557.3381198805072):1e-06):0.0298175):0.828242);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0018075108151028368, 0.001807510815099549, 0.0018075108151028368, 0.0018075108150929734, 0.0018075108150863977, 0.0018075108150929734, 0.26481523977896493, 0.008098520798327995, 0.00857054477439126, 0.008093639118678615, 0.00817612969737772, 0.3340822643382723, 0.34058834559195633, 0.008179926098907562, 0.008550324789741616,
1, 0.001518743490184118, 0.0015187434901813555, 0.001518743490184118, 0.001518743490178593, 0.0015187434901730676, 0.001518743490178593, 0.2655210651619046, 0.007884376931597, 0.008359281975700964, 0.007879461579644685, 0.007951120596146185, 0.3352281951708793, 0.3417699897481201, 0.007955112465554377, 0.008338935307962585,
2, 0.0013137163793823354, 0.0013137163793823354, 0.0013137163793823354, 0.0013137163793751666, 0.0013137163793727768, 0.0013137163793751666, 0.26604125113844473, 0.0076701479342129635, 0.008148207177303537, 0.007665193338806492, 0.007719482167055839, 0.3362217052475999, 0.3428002199856502, 0.007723776384164874, 0.008127718230761354,
3, 0.0010255572737154473, 0.0010255572737117163, 0.0010255572737154473, 0.0010255572737079854, 0.00102555727370612, 0.0010255572737079854, 0.26676147640961334, 0.007458394562383706, 0.007932053942392913, 0.00745338911560163, 0.007493467016552984, 0.33739980108866335, 0.3439383814731989, 0.007498033484841701, 0.007911659144892209,
4, 0.0009830743508121354, 0.0009830743508103471, 0.0009830743508121354, 0.0009830743508049825, 0.0009830743508031944, 0.0009830743508049825, 0.2671211142621568, 0.007225654070088945, 0.007693626075126625, 0.00722062983640509, 0.007243824671506292, 0.3380843334410176, 0.3445903219648542, 0.007248653282867728, 0.007673396172421171,
5, 0.0009252771520716277, 0.0009252771520699447, 0.0009252771520716277, 0.0009252771520648955, 0.0009252771520632125, 0.0009252771520665786, 0.2673391254660848, 0.007024982151667779, 0.00748952530537353, 0.007019925136790419, 0.007016896184045112, 0.33879134082349716, 0.3452750205258703, 0.007022148935822572, 0.007469372439007575,
6, 0.000778640367611696, 0.0007786403676088634, 0.000778640367611696, 0.0007786403676060307, 0.0007786403676046143, 0.0007786403676088634, 0.2676994056806753, 0.006817723924987387, 0.007281831655511076, 0.006812620612777393, 0.006782461592768168, 0.33969871848981714, 0.34618558410498496, 0.006788167902844677, 0.007261643709275879,
7, 0.0006385578020340379, 0.0006385578020328764, 0.0006385578020340379, 0.0006385578020293918, 0.0006385578020293918, 0.0006385578020317148, 0.2678399664881124, 0.006662274252382931, 0.007127809300212734, 0.00665711824234833, 0.0065968041411504225, 0.34053581454370224, 0.347038323028059, 0.006603023044996212, 0.007107520026969805,
8, 0.0005797244580086427, 0.0005797244580075882, 0.0005797244580086427, 0.0005797244580054791, 0.0005797244580044246, 0.0005797244580065337, 0.26791304803102794, 0.006529016106119077, 0.0069951621610855825, 0.006523819874164274, 0.006439787068536395, 0.34109465695068136, 0.3476049514184906, 0.006446402947705183, 0.006974808573491698,
9, 0.000511329188650267, 0.000511329188649337, 0.000511329188650267, 0.0005113291886484068, 0.0005113291886474767, 0.000511329188650267, 0.2678818154036942, 0.006415340500033253, 0.0068831502414170185, 0.006410094586439322, 0.006297534506201837, 0.34167536285960837, 0.34820140038912967, 0.0063046372752881, 0.00686268898697913,
