Optimize time:20.493611892329323
Begin Prob:-13563.243295668557
End Prob:-13497.347505203721
Substitution parameters:[0.2070962165529045, 0.2811262183799802, 0.28301881504158205, 0.22875875002553328, 1.5568036606078814]
Trees:
(5:356.9785987347018,((3:438.8809036602459,4:349.9562615888836):351.5677368922967,(1:457.86074531466096,2:438.8809036602459):325.06099644321245):297.0079153141761);
(5:368.5895145996161,(4:329.1998104557673,(2:458.0799720882473,(1:375.41211019422684,3:438.8809036602459):438.8809036602459):354.0111559587296):284.51768467080797);
(5:236.06880487389634,(2:236.06880487389634,(4:464.7794523741628,(1:237.98818168001722,3:540.123301064236):236.06880487389634):236.06880487389634):472.095357810491);
(5:285.0274259965741,(4:284.51768467080797,(3:284.51768467080797,(1:237.98818168001722,2:236.06880487389634):536.8887318133685):284.51768467080797):470.1329168597764);
(5:236.06880487389634,(3:413.1213406707936,(1:411.86505154650644,(2:341.0809420408618,4:236.06880487389634):236.06880487389634):236.06880487389634):285.0274259965741);
(5:236.06880487389634,(1:469.6239457068202,(2:352.68102420712654,(3:342.4681213375749,4:420.47375390345536):236.06880487389634):236.06880487389634):330.28753525212);
(5:236.06880487389634,(1:356.5105020204725,(4:236.06880487389634,(2:356.8380199328085,3:236.06880487389634):236.06880487389634):236.06880487389634):236.06880487389634);
(5:281.1534861439982,(2:340.79925506541827,(3:280.97374675114895,(1:364.5356416592435,4:356.8380199328085):402.80434643928857):420.47375390345536):339.3933409676997);
(5:284.5241771738406,(4:370.7467314151022,(1:281.30194823450245,(2:361.76920154551584,3:420.47375390345536):420.47375390345536):348.1486152737487):420.47375390345536);
(5:284.51768467080797,((2:284.51768467080797,3:473.328478519154):469.3274259799527,(1:472.13449849470163,4:284.51768467080797):381.840308691081):284.51768467080797);
(5:336.801717148318,(3:400.0812987478035,(4:346.0577750269749,(1:321.6461790657193,2:281.15217800782096):377.13555437246714):287.8302593384187):236.06880487389634);
(5:287.81134100278126,((2:445.044451574459,4:367.19000188302897):281.7839158391811,(1:335.2582079359322,3:451.4530098618246):237.98925665994196):284.94975711328584);
(5:421.72996080898287,(1:321.0733814064944,(3:383.01208627281926,(2:369.98130526542786,4:287.82640923387817):356.51343081850564):438.88085671826184):284.4842586697464);
((2:236.06880487389634,5:854.1020661460033):468.02845245901335,(1:236.06880487389634,(3:236.06880487389634,4:236.06880487389634):340.5494423138441):469.3274259799527);
(5:0.686715,(3:355.0331574746179,(2:298.51875820031574,(1:530.8340888073496,4:1.10921):1e-06):1e-06):0.686715);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.0008197719762706177, 0.0008197719762706177, 0.000819771976282547, 0.0008197719762676354, 0.0008197719762661443, 0.34763025542277703, 0.005811988795751993, 0.005964961735122172, 0.005403901353601833, 0.005812001074541111, 0.2947790143045826, 0.005595604578200937, 0.005812098917314409, 0.3132792604708573, 0.005812053748417562,
1, 0.0006240345837048423, 0.0006240345837059773, 0.0006240345837150583, 0.000624034583702572, 0.0006240345837014369, 0.34907959093442004, 0.00539730778205349, 0.005554085484201685, 0.004982962901071788, 0.005397318773007359, 0.2959585879669459, 0.005180204818012537, 0.005397418560703165, 0.31453498211809117, 0.005397368025741185,
2, 0.000569786784927105, 0.000569786784927105, 0.000569786784936433, 0.0005697867849260686, 0.0005697867849239957, 0.3502423959651859, 0.004990950962086228, 0.005152890778132951, 0.0045855855895572, 0.004990962405786299, 0.2968953441601414, 0.004774578093722856, 0.004991048790468643, 0.3155363046065486, 0.004991005006584197,
3, 0.0004926256412140264, 0.0004926256412140264, 0.0004926256412229873, 0.0004926256412131303, 0.0004926256412122342, 0.35102007631099236, 0.004685242218503946, 0.004852972259312984, 0.00430216456498356, 0.004685253668770883, 0.2979442030457173, 0.0044739801900372704, 0.004685340422509509, 0.31620234678640935, 0.004685292610627834,
4, 0.0005509547285563018, 0.0005509547285563018, 0.0005509547285653214, 0.0005509547285542974, 0.0005509547285532953, 0.35164153713567603, 0.004354459309157903, 0.004524567537101032, 0.00398400633555701, 0.004354473138828058, 0.2988081903794181, 0.004145694769277051, 0.004354519330035609, 0.3167232745965936, 0.0043545041086771015,
5, 0.0005610825212960869, 0.0005610825212960869, 0.0005610825213042517, 0.0005610825212940457, 0.0005610825212930251, 0.35233180522413654, 0.004006303507473055, 0.004190925917072726, 0.0036465540629708427, 0.004006319087781868, 0.29984038095596455, 0.0038047741021978295, 0.004006339134752468, 0.3173548414883169, 0.004006344195777919,
6, 0.0005543130262885503, 0.0005543130262885503, 0.0005543130262956083, 0.000554313026287542, 0.0005543130262865337, 0.3527125063182168, 0.0037524494797468813, 0.003930046503685625, 0.003413961004530622, 0.0037524658746225068, 0.30097606152691253, 0.0035564200605034697, 0.003752473478721382, 0.3176295630992853, 0.0037524878042406577,
7, 0.00057248182101264, 0.00057248182101264, 0.0005724818210199294, 0.0005724818210115987, 0.0005724818210105573, 0.35313346789450806, 0.003458769006126031, 0.003635920244847057, 0.0031526120492816182, 0.0034587868368923893, 0.30214815052228555, 0.0032634250845109923, 0.003458775088895102, 0.317968879023535, 0.003458805426502863,
8, 0.0005563158423744058, 0.0005563158423744058, 0.0005563158423814894, 0.000556315842373394, 0.000556315842372382, 0.3536652031686741, 0.0031318650043519734, 0.003307058843655852, 0.0028693858320790783, 0.003131882877811685, 0.30349346958684315, 0.0029428307087631693, 0.0031318619714583917, 0.31841296277600967, 0.003131900301922655,
9, 0.0005275299822745078, 0.0005275299822745078, 0.0005275299822802653, 0.0005275299822735482, 0.0005275299822725887, 0.35403122279433274, 0.002869163084096528, 0.0030437585608439665, 0.0026445613882726173, 0.0028691794989437864, 0.3047804227684366, 0.0026872892854932916, 0.0028691628288468, 0.31869839601378813, 0.002869194148180914,
10, 0.0004952226398826275, 0.0004952226398826275, 0.0004952226398871315, 0.0004952226398817267, 0.0004952226398817267, 0.3544686088926502, 0.0025743577018741983, 0.002742704356091793, 0.0024014909453777284, 0.002574371838473623, 0.3061641838489751, 0.002402882398443913, 0.002574352281391193, 0.3190465496183768, 0.0025743852006375784,
11, 0.0004734770086055038, 0.0004734770086055038, 0.0004734770086089488, 0.00047347700860464253, 0.00047347700860464253, 0.3548597942576292, 0.002280707914937726, 0.0024458567985306853, 0.002166950821542248, 0.0022807212354394577, 0.30752660034272605, 0.0021229503961216387, 0.0022806885995921237, 0.3193876096461759, 0.0022807352263343,
12, 0.0004484254921398213, 0.0004484254921398213, 0.00044842549214226836, 0.0004484254921390056, 0.0004484254921390056, 0.35527889974826704, 0.0019986774953347822, 0.002165790998666704, 0.0019213744039958485, 0.001998689119779373, 0.3087782977787595, 0.0018541250911870612, 0.0019986500527480098, 0.31976466677514076, 0.0019987013575000216,
13, 0.0003862136926792814, 0.0003862136926799839, 0.00038621369268138897, 0.0003862136926785789, 0.0003862136926785789, 0.355788266955926, 0.0017509938101439295, 0.0019279634006753468, 0.0017043026040081811, 0.0017510033453554757, 0.30976554326573336, 0.00162166942281651, 0.0017509686375460271, 0.3202572041533072, 0.0017510162215002678,
14, 0.0003405871453839371, 0.0003405871453839371, 0.00034058714538517617, 0.0003405871453833176, 0.00034058714538269806, 0.3562242116395338, 0.0015958139184444242, 0.0017870688853134891, 0.0015552147669794431, 0.0015958222849624672, 0.31015822837974266, 0.0014797475323412987, 0.001595790759003766, 0.3207093302264132, 0.001595836160367215,
15, 0.00023882315873880656, 0.00023882315873880656, 0.0002388231587396754, 0.00023882315873793774, 0.00023882315873793774, 0.35678563706603955, 0.0014287243555039704, 0.001624486880165993, 0.001393987296333024, 0.001428730881301362, 0.31075314777466984, 0.001320736805493073, 0.00142870889202622, 0.32121297784533426, 0.0014287466888742324,
16, 9.874447315040484e-05, 9.874447315058446e-05, 9.87444731511233e-05, 9.8744473149866e-05, 9.874447314968638e-05, 0.3573202855012265, 0.001308697223897404, 0.0015104738089910695, 0.0012773233337870183, 0.0013087024440012363, 0.3112495502190756, 0.0012090212373391319, 0.001308692716823396, 0.3217048102442245, 0.0013087211847062,
17, 7.34555029133065e-05, 7.34555029133065e-05, 7.345550291384096e-05, 7.345550291277205e-05, 7.345550291277205e-05, 0.35765237064849714, 0.0011901152812366347, 0.0013972166061747555, 0.001163961656896297, 0.0011901199602230655, 0.31155251344327495, 0.0010983565762108496, 0.0011901134653891773, 0.32200781496711056, 0.001190140160003064,
