Optimize time:20.205094923244584
Begin Prob:-13142.448042185466
End Prob:-12891.693964533002
Substitution parameters:[0.21017684526682684, 0.2774504989449699, 0.2750466982715645, 0.23732595751663868, 1.5158432028768083]
Trees:
(1:539.1059188958262,(5:539.1227717485227,(3:876.0732394862423,(2:616.7746556952443,4:619.6803994202003):534.266041293422):530.108674853343):661.3751764128315);
(1:867.1916880120094,(4:610.8965019414244,(5:545.085426789765,(2:779.007239715116,3:858.3575004469918):661.1169352887468):614.219946688005):530.0722675950273);
(1:546.8725898053962,(4:546.8647869448665,(2:612.6919539818232,(3:611.9271266401373,5:576.2359976562166):661.3684865638006):545.0934463122791):545.085426789765);
(1:518.8388729279641,(4:580.7484903627002,(3:619.6803994202003,(2:545.085426789765,5:545.0851492773035):661.6345466612877):576.2356551817192):764.0005221210411);
(1:545.085426789765,(3:661.3751764128315,(4:854.0949056072463,(2:545.9587560393784,5:846.9054440001912):545.0838674640239):545.085426789765):577.9064056942683);
(1:545.9450441257616,((2:539.1059188958262,5:572.2258268528509):616.7910935489605,(3:545.1019535135763,4:577.9249918428403):534.2660000356432):576.2359976562166);
(1:575.3293151085202,((4:530.2700507907999,5:545.085426789765):576.2382612506847,(2:539.1227717485227,3:546.8725898053962):519.0388282435881):882.7858010361348);
(1:612.6919539818232,(2:555.9413222575362,(4:546.8647869448665,(3:545.9587560393784,5:534.2660000356432):782.112802452494):545.0838674640239):433.0221226852594);
(1:545.0851492773035,(2:614.219946688005,(5:579.6875972236945,(3:545.085426789765,4:576.2382612506847):603.3259579203377):616.7910935489605):545.085426789765);
(1:999.9903551339665,(5:876.1214638164101,(4:619.6798391407433,(2:896.159693715377,3:867.1938864372986):661.3684865638006):575.3293151085202):545.085426789765);
(1:545.0854682080218,(5:866.0714763851247,(2:878.9879037320451,(3:576.2359976562166,4:763.9985315569653):568.021199336857):545.0851492773035):545.085426789765);
(1:763.9985315569653,(3:876.1214638164101,(5:619.6803994202003,(2:546.8725898053962,4:529.2988140488563):576.2382612506847):624.628699610121):546.8743903661081);
(1:546.8743903661081,(3:876.0732394862423,(2:876.0732394862423,(4:876.1214638164101,5:530.2700507907999):619.6803994202003):611.8037870715905):582.6602872846453);
(1:576.2359976562166,((2:576.2122645772924,4:619.6798391407433):867.1938864372986,(3:546.8725898053962,5:619.6798391407433):545.085426789765):513.3052048773184);
(1:590.437548034352,(2:522.513012978015,(3:585.1511897078752,(4:0.572235,5:0.677617):1e-06):1e-06):0.910865);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 0.00027524544461963367, 0.000275245444619133, 0.0002752454446186323, 0.2518615689439357, 0.13749506802238606, 0.14295086728961265, 0.026176060640355797, 0.02607038468019051, 0.1235172751243964, 0.030336487490765396, 0.16820925440952866, 0.02112601492428405, 0.019260280214, 0.026284654615880813, 0.02588634674013831,
1, 0.00019202246219372096, 0.00019202246219337168, 0.00019202246219302238, 0.25248155927577004, 0.13768534459126744, 0.14316373270414046, 0.026007185297954483, 0.025901267100007157, 0.12367118502262223, 0.03017854260609727, 0.16850346442314004, 0.020935335370547842, 0.01906420379632595, 0.02611549869399517, 0.025716613160424447,
2, 5.7384704233069325e-05, 5.7384704232964944e-05, 5.7384704232964944e-05, 0.2531120357705692, 0.13787609779209478, 0.14337122144233821, 0.025868662465919987, 0.025763596253304877, 0.12379889061937764, 0.0300472578074788, 0.1687506787423412, 0.020780761211839943, 0.018902524299629724, 0.025979052976433804, 0.025577065934624985,
3, 5.07684867676145e-05, 5.07684867676145e-05, 5.0768486767522156e-05, 0.2536290717897731, 0.13800820155727048, 0.14351787619014833, 0.025726332239590567, 0.025621651292787085, 0.12387096919522983, 0.02991156492126445, 0.16892621511134215, 0.020624027906302717, 0.018740055371479727, 0.025837832517464444, 0.025433895875632176,
4, 3.158271759208238e-05, 3.158271759202493e-05, 3.158271759202493e-05, 0.25426851450642596, 0.13818189342287845, 0.14371750776682551, 0.025548010383229135, 0.025445563725315104, 0.12397202064774743, 0.029741315603649756, 0.16914823900214618, 0.020428299571482306, 0.018534712250590866, 0.025664447836801017, 0.025254726559546557,
5, 1.8896795718189513e-05, 1.889679571815514e-05, 1.889679571815514e-05, 0.25474532645156506, 0.1382632922677716, 0.14381697657088036, 0.02544199545224503, 0.025342528095202998, 0.1239954392881475, 0.029646800942899024, 0.16927239430200614, 0.020305407772224764, 0.018400055884094664, 0.02556541742198166, 0.02514767459421727,
6, 1.5357943217878922e-05, 1.5357943217850987e-05, 1.5357943217850987e-05, 0.2552224510880659, 0.13835447763096642, 0.14392272466477196, 0.025330259842904178, 0.025233736320610045, 0.12401257471570609, 0.02954770433853894, 0.16939251715436776, 0.020179450959059587, 0.01826225096647432, 0.025460868004393008, 0.02503490991464557,
7, 3.0107712580913137e-06, 3.0107712580858372e-06, 3.0107712580803603e-06, 0.2557857011470404, 0.1384959949058668, 0.1440751637675683, 0.02519109181993801, 0.025095441964301017, 0.12403838722538588, 0.02942230030996746, 0.16953213575652865, 0.020030458794936236, 0.018103577256110292, 0.025326025676677407, 0.024894688491172427,
8, 3.5930593749902783e-06, 3.5930593749837425e-06, 3.5930593749837425e-06, 0.25630335742651367, 0.13861550889143756, 0.144209071953469, 0.025060124982443817, 0.02496492820037097, 0.12406759696843511, 0.029303345749268343, 0.16967077475884532, 0.01988439156976475, 0.017949267286017163, 0.02519805686548162, 0.024762795598783683,
9, 1.8847631379424554e-06, 1.884763137939027e-06, 1.884763137939027e-06, 0.2567934415565687, 0.1387170937458248, 0.14432051064779275, 0.024949016373115005, 0.024855315007538445, 0.12407248960908854, 0.029200089205895213, 0.1697638865366249, 0.019762099471406763, 0.01781805633590204, 0.025091665617890196, 0.024650681031657844,
