Optimize time:0.4051459342903561
Begin Prob:-27188.25915089753
End Prob:-27072.173434003973
Substitution parameters:[0.213876492960214, 0.2757602891283523, 0.28598900029546265, 0.22437421761597112, 1.4235222848910238]
Trees:
((2:309.017685357953,3:309.017685357953):380.932815117574,(1:378.7318853676079,4:309.017685357953):390.27728909852556);
(4:380.11723958307465,(2:350.538475537789,(1:423.682475121788,3:363.7018830765417):383.9136855311317):393.9355360294196);
(4:0.760417,(3:0.625883,(1:380.7635641323109,2:0.552421):1e-06):0.760417);

Position, Posteriors1, Posteriors2, Posteriors3,
0, 0.0010206971909125589, 0.4993505200668828, 0.4996287811722158,
1, 0.0008584046762112958, 0.4994313590019561, 0.4997102347532482,
2, 0.0007379373884262164, 0.4994909457961397, 0.49977111524636586,
3, 0.000549762519187354, 0.49958449547396616, 0.49986574043745696,
4, 0.00044791629888922064, 0.49963490809977457, 0.49991717403331026,
5, 0.00037690790266983265, 0.49966995280438425, 0.49995313772675537,
6, 0.00025988743170475814, 0.49972803921193376, 0.5000120717878711,
7, 0.00020655136777512984, 0.4997542899599849, 0.5000391571053798,
8, 0.00016087457029349516, 0.49977675463671734, 0.5000623692245081,
9, 0.00012146925095554028, 0.4997961279034352, 0.5000824012765738,
10, 0.00010559634666399209, 0.4998036838271421, 0.5000907182589567,
11, 9.378043853323566e-05, 0.4998092546006788, 0.5000969633920855,
12, 8.549961424503472e-05, 0.49981324378958925, 0.5001012550275983,
13, 8.20799456283879e-05, 0.49981482491990536, 0.5001030935665953,
14, 7.47229541279248e-05, 0.4998185287973346, 0.5001067466818284,
15, 6.484240420068417e-05, 0.49982385258815015, 0.5001113034414953,
16, 5.9045014320611084e-05, 0.49982717678589106, 0.5001137766321868,
17, 6.531676697116074e-05, 0.4998244539745755, 0.500110227689371,
18, 6.503936174189472e-05, 0.49982526543244915, 0.5001096936367115,
19, 6.539722209951745e-05, 0.4998258058201924, 0.5001087953872384,
20, 6.715966845852399e-05, 0.49982565116724664, 0.5001071875936645,
21, 6.093430234116552e-05, 0.4998295267662007, 0.500109537362183,
22, 6.646001484048447e-05, 0.4998275152574803, 0.5001060231613068,
23, 6.411429746685203e-05, 0.4998294737898345, 0.5001064103463133,
24, 5.309855049212652e-05, 0.49983581213168865, 0.5001110877505255,
25, 3.4611638373285566e-05, 0.49984586934856995, 0.5001195174448079,
26, 2.9423121233876432e-05, 0.4998492615733188, 0.500121313736441,
