Optimize time:2.4079162726137375
Begin Prob:-27457.64133806274
End Prob:-26679.564824192723
Substitution parameters back:[0.27916370873578056, 0.19673770076267963, 0.21230018499865197, 0.3117984055028878, 6.180052070624584]
Substitution parameters hot:[0.15885436900488142, 0.344832928568046, 0.3426138114703425, 0.15369889095673023, 7.426732730460107]
Transition parameters:[0.9999641200560186, 0.3252381765529872, 0.001066040854390544]
hscale parameters:40.02203199899424
Trees:
((2:286.60193824393093,3:236.59526336061634):282.0453375139864,(1:289.7990816538099,4:238.2296596205659):299.7272129918701);
(4:303.4995611983404,(2:285.99021786908105,(1:286.4596440644258,3:292.8414779285235):236.1278226570122):236.09198883608673);
(4:236.9689131791988,(3:238.90364994963045,(1:247.0811442781747,2:293.9135914413645):236.4100629297523):243.47289940199943);
((2:11470.391943372373,3:9469.023201029057):11288.027523151894,(1:11598.348119227923,4:9534.435060443795):11995.692109329986);
(4:12146.66914996069,(2:11445.909650955695,(1:11464.697041166948,3:11720.111000288132):9450.315274231778):9448.881131904052);
(4:9483.977426024781,(3:9561.409522960628,(1:9888.68946264922,2:11763.019161605607):9461.611103458788):9744.280170754726);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6,
0, 0.9523432669830921, 0.006699261284287063, 0.0066993101065807035, 0.011419386319124715, 0.011419386319124715, 0.011419386319124715,
1, 0.9662283893251051, 0.00677015290598448, 0.006770202382202712, 0.006743750906757229, 0.006743750906757229, 0.006743750906757229,
2, 0.9783804682156588, 0.0068268908325223665, 0.006826940962280913, 0.0026552324408617572, 0.0026552324408714166, 0.0026552324408617572,
3, 0.9843161645713018, 0.006842287007527322, 0.006842337405144832, 0.0006664027820929191, 0.0006664027820929191, 0.0006664027820929191,
4, 0.9857592776734365, 0.006829634745272004, 0.0068296852165404525, 0.0001937998971089352, 0.0001937998971089352, 0.0001937998971089352,
5, 0.9861555092172098, 0.006813552181502858, 0.006813602726694799, 7.244440170612633e-05, 7.244440170612633e-05, 7.244440170612633e-05,
6, 0.9862941428824735, 0.006794385757253225, 0.006794436399359629, 3.901076216381037e-05, 3.901076216381037e-05, 3.901076216381037e-05,
7, 0.986361981685345, 0.006772721709005786, 0.006772772454904372, 3.0840490790128464e-05, 3.0840490790128464e-05, 3.0840490790240665e-05,
8, 0.9864300404135254, 0.006750613082638648, 0.006750663906556302, 2.2893307703895356e-05, 2.2893307703812072e-05, 2.2893307703812072e-05,
9, 0.986480682021761, 0.006724959834326121, 0.00672501082222809, 2.3114883070366525e-05, 2.311488307045062e-05, 2.311488307045062e-05,
10, 0.9865570431863007, 0.006701486371529434, 0.00670153760532977, 1.3310054041168787e-05, 1.3310054041168787e-05, 1.3310054041168787e-05,
11, 0.9866303051366847, 0.006677845114190059, 0.006677896686170493, 4.650128406942945e-06, 4.650128406942945e-06, 4.650128406942945e-06,
12, 0.9866847616888769, 0.006653194703982872, 0.006653246608333706, 2.9314402429202573e-06, 2.9314402429202573e-06, 2.9314402429202573e-06,
13, 0.9867418331316444, 0.006628189030413416, 0.006628241239217745, 5.77972674351365e-07, 5.77972674351365e-07, 5.77972674351365e-07,
14, 0.9867934934255527, 0.006603021362903853, 0.006603073819697669, 1.3623653329454875e-07, 1.3623653329405313e-07, 1.3623653329454875e-07,
15, 0.986843500079738, 0.006576787926469036, 0.0065768405813645655, 9.562451937976636e-07, 9.562451938011424e-07, 9.562451938011424e-07,
16, 0.9868927781652407, 0.006551981060167399, 0.006552033865797646, 1.0680751666752243e-06, 1.06807516667911e-06, 1.0680751666752243e-06,
17, 0.9869443039991485, 0.006527037609542889, 0.006527090661956441, 5.216807473411752e-07, 5.216807473430731e-07, 5.216807473430731e-07,
18, 0.9869953414094721, 0.006501339526056496, 0.006501392946747824, 6.411448371005962e-07, 6.411448371005962e-07, 6.411448371005962e-07,
19, 0.9870487308031125, 0.0064748049798106, 0.006474858737577396, 5.342649761344961e-07, 5.342649761344961e-07, 5.342649761344961e-07,
20, 0.9871024443155763, 0.006447061033208081, 0.006447115126677878, 1.1256135150770858e-06, 1.1256135150770858e-06, 1.1256135150811808e-06,
21, 0.9871561906661774, 0.006420439910648533, 0.006420494431616385, 9.574361860788112e-07, 9.574361860788112e-07, 9.574361860788112e-07,
22, 0.9872127292386913, 0.0063933787151201115, 0.006393433676340537, 1.5189512908325478e-07, 1.5189512908325478e-07, 1.5189512908325478e-07,
23, 0.9872671363350336, 0.006365378083346201, 0.006365433438922922, 6.831508695362839e-07, 6.831508695362839e-07, 6.831508695362839e-07,
24, 0.9873207484241864, 0.006338984176376246, 0.006339040012686956, 4.082322697641728e-07, 4.08232269765658e-07, 4.08232269765658e-07,
25, 0.9873768129882404, 0.006311121410283551, 0.006311177834957708, 2.950243197565484e-07, 2.950243197565484e-07, 2.950243197576217e-07,
26, 0.9874339101092814, 0.006282462164364489, 0.00628251917529309, 3.686176897168597e-07, 3.686176897168597e-07, 3.686176897168597e-07,
27, 0.9874882706477823, 0.006248778520937339, 0.00624883614998337, 4.703994867178855e-06, 4.703994867178855e-06, 4.703994867178855e-06,
28, 0.9875502301135727, 0.00621842156788156, 0.006218479643784089, 4.288659341449352e-06, 4.288659341449352e-06, 4.288659341449352e-06,
29, 0.9876146006672131, 0.006187332429050047, 0.006187390933219636, 3.5577573067736235e-06, 3.5577573067736235e-06, 3.5577573067736235e-06,
30, 0.9876782649998304, 0.006157482439648563, 0.0061575413309367015, 2.236176991740227e-06, 2.236176991740227e-06, 2.236176991740227e-06,
31, 0.9877446142160858, 0.006127478738314365, 0.006127538000362716, 1.221173597669917e-07, 1.221173597669917e-07, 1.221173597669917e-07,
32, 0.9878042273126523, 0.006096998681710889, 0.006097058206467126, 5.7103329073944e-07, 5.7103329073944e-07, 5.7103329073944e-07,
33, 0.9878667534592438, 0.006066377795372283, 0.006066437546301377, 1.4283390323696555e-07, 1.4283390323748518e-07, 1.4283390323748518e-07,
34, 0.987918397493016, 0.0060397357979849785, 0.00603979577638329, 6.894132890322076e-07, 6.894132890322076e-07, 6.894132890322076e-07,
35, 0.9879630997334495, 0.00601785987847689, 0.006017920074057564, 3.725389810961197e-07, 3.725389810961197e-07, 3.725389810961197e-07,
36, 0.987997975262699, 0.005997185471129596, 0.005997245897203077, 2.5302225040563296e-06, 2.5302225040563296e-06, 2.5302225040563296e-06,
37, 0.9879967010282862, 0.005937753891257985, 0.0059378148400068735, 4.2575846843144984e-05, 4.2575846843144984e-05, 4.2575846843144984e-05,
38, 0.9880223898710432, 0.0059063178639659104, 0.005906379220388813, 5.497011305695911e-05, 5.497011305675913e-05, 5.497011305675913e-05,
