Optimize time:1.9253120138910083
Begin Prob:-26929.778925105446
End Prob:-25900.161584440015
Substitution parameters back:[0.2614444780353553, 0.19362963868623295, 0.2147372266087105, 0.33018865666970126, 7.639556292979602]
Substitution parameters hot:[0.163368424394777, 0.33836706880764716, 0.3455475136017761, 0.15271699319579976, 3.2630161381084855]
Transition parameters:[0.9999641200560186, 0.8998679638778424, 0.001066040854390544]
hscale parameters:3.493804679273533
Trees:
(4:763.9323854523561,(2:763.926808065405,(1:755.5701984048268,3:762.7556633308204):763.9311847843193):763.9323854523561);
((2:763.9322585681878,3:763.6193978855972):761.472724101314,(1:763.9322585681878,4:776.1622227379717):765.776055683873);
(4:763.9323854523561,(3:763.9323854523561,(1:762.7556633308204,2:763.8037266318794):763.9323854523561):762.7556633308204);
(4:2669.030542942034,(2:2669.011056641406,(1:2639.8146947064156,3:2664.919305687608):2669.0263480424287):2669.030542942034);
((2:2669.0300996335327,3:2667.9370255167373):2660.436966604335,(1:2669.0300996335327,4:2711.7592056772714):2675.471966623945);
(4:2669.030542942034,(3:2669.030542942034,(1:2664.919305687608,2:2668.5810341530228):2669.030542942034):2664.919305687608);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6,
0, 0.9941927495200659, 0.002865532607439421, 0.0026883107716148143, 8.449861222593529e-05, 8.445989199079476e-05, 8.444680886192786e-05,
1, 0.9944082182848766, 0.0028472302668353356, 0.002670046778446805, 2.4855936574673496e-05, 2.482302536069192e-05, 2.48239207650296e-05,
2, 0.9944753915928977, 0.002829127613968753, 0.0026520607484139956, 1.4480292492592977e-05, 1.4464640410735427e-05, 1.4473321485576775e-05,
3, 0.9945540063822954, 0.0028112996212356148, 0.002632908822902316, 5.948622708948595e-07, 5.941932977517653e-07, 5.943318965654704e-07,
4, 0.9945956968004872, 0.00279175144204771, 0.0026119509414138605, 1.9977817761897018e-07, 1.996388116338679e-07, 1.9961319972083476e-07,
5, 0.9946380511247598, 0.0027712550616958848, 0.0025900976550411515, 1.9820828770847115e-07, 1.981109448676464e-07, 1.980549406798923e-07,
6, 0.994681753856582, 0.002749484363498531, 0.002567013200143298, 5.825236769634592e-07, 5.821895114518674e-07, 5.820763160671785e-07,
7, 0.994728831747862, 0.0027273397193155803, 0.00254354476159517, 9.407843811380603e-08, 9.397203152179478e-08, 9.39314115605831e-08,
8, 0.9947776297847546, 0.0027024278354355344, 0.0025171652881002043, 9.259677229936559e-07, 9.247791839520055e-07, 9.245542141120174e-07,
9, 0.9948269676098753, 0.002679334067301621, 0.0024926752999889054, 3.408672555351528e-07, 3.4024734070860487e-07, 3.401104269389486e-07,
10, 0.9948722692363782, 0.0026572327444082146, 0.002469310901735518, 3.953470822875764e-07, 3.95047276593852e-07, 3.9492654738413015e-07,
11, 0.9949200018918437, 0.002634289063601937, 0.002445158932837413, 1.8297317362539733e-07, 1.826996991033533e-07, 1.8263550935401995e-07,
12, 0.9949647685736759, 0.0026123837925966335, 0.0024221812945695305, 2.216523912131854e-07, 2.21469665111274e-07, 2.2141145178255674e-07,
13, 0.9950055596599123, 0.0025924492097882073, 0.0024012780035958933, 2.3716346322616585e-07, 2.371041735413197e-07, 2.370468918299578e-07,
14, 0.9950488257249671, 0.0025716579800928443, 0.002379049416503056, 1.5510159346139048e-07, 1.5501019823031566e-07, 1.549509006550359e-07,
15, 0.9950935540304426, 0.002549796203306868, 0.0023558042744669166, 2.815607283779041e-07, 2.81133779695606e-07, 2.809873193781595e-07,
16, 0.9951278755582429, 0.002527126197933487, 0.002331722621758854, 4.426404899193734e-06, 4.4244263128008325e-06, 4.42297619172514e-06,
17, 0.9951738097473795, 0.002505932160731383, 0.0023092877180953815, 3.658266399011469e-06, 3.6558191135051243e-06, 3.6544691697774477e-06,
18, 0.9952241091903066, 0.0024826810003354964, 0.0022863861122899873, 2.275452483034609e-06, 2.273737343264205e-06, 2.272692601377497e-06,
19, 0.995274947884971, 0.0024584416296662367, 0.0022626066256784187, 1.3350111822673575e-06, 1.3337945238394124e-06, 1.3332398321605787e-06,
20, 0.9953278858314681, 0.0024336140093178223, 0.0022382621603276014, 7.881206554817127e-08, 7.870745022921008e-08, 7.866488135653513e-08,
21, 0.9953727150006557, 0.002410245976190375, 0.002215167957092345, 6.233634435611169e-07, 6.23032081191104e-07, 6.228619692498304e-07,
22, 0.9954123857045086, 0.0023877684607117467, 0.002192384237485193, 2.4870439205415685e-06, 2.486639500764674e-06, 2.4861045598024544e-06,
23, 0.9954615142671659, 0.00236632539714327, 0.002170032925454895, 7.088605989911926e-07, 7.084846259211114e-07, 7.082525088669447e-07,
24, 0.9955029707034749, 0.0023468965650102016, 0.0021497892422634025, 1.1388917750342578e-07, 1.13935026584092e-07, 1.1384892681881894e-07,
25, 0.9955449333281747, 0.002324826054212162, 0.002126897630051116, 1.112928438315847e-06, 1.1145002592438263e-06, 1.113745919865072e-06,
26, 0.9955929022342788, 0.002301628485563114, 0.002103702099112885, 5.884655560817908e-07, 5.886022054351463e-07, 5.882989029150507e-07,
27, 0.9956337784566754, 0.0022819706283618573, 0.0020839977537481175, 8.382451396784775e-08, 8.378064907928485e-08, 8.374445946513432e-08,
28, 0.9956743038551675, 0.0022618250140050665, 0.0020638232276481354, 1.5372970204569136e-08, 1.5357590932640737e-08, 1.5358433425307654e-08,
29, 0.9957116835262425, 0.0022426782472091972, 0.00204452327492727, 3.7113544148847824e-07, 3.708609356672948e-07, 3.711385221838162e-07,
30, 0.9957510751160367, 0.0022229346270529566, 0.0020237012403564146, 7.632261536848489e-07, 7.620557156123862e-07, 7.619214120183414e-07,
31, 0.9957861681995729, 0.002201955440014522, 0.0020016562721243505, 3.4079343737863533e-06, 3.4055979668963253e-06, 3.404737121429631e-06,
32, 0.9958332713976917, 0.002181595119792867, 0.0019803384552792617, 1.5996077627986205e-06, 1.5971194311704844e-06, 1.5964797323219257e-06,
33, 0.9958722112282543, 0.0021638656219824873, 0.001961827707379732, 6.98919394832964e-07, 6.975640119290162e-07, 6.971455612667656e-07,
34, 0.9959103033263342, 0.0021435809522559663, 0.0019407466135356185, 1.791489468717695e-06, 1.7882701349765834e-06, 1.7875318530236884e-06,
35, 0.9959493772797106, 0.002124910428175725, 0.0019213144012421837, 1.4674261233802967e-06, 1.464662002411468e-06, 1.4639842438500037e-06,
36, 0.9959913502281837, 0.002104337797317363, 0.001901361556589053, 9.847399854267248e-07, 9.822449879037398e-07, 9.81614541410171e-07,
37, 0.996026485402366, 0.0020864640161282057, 0.0018839228959362311, 1.0440024160220357e-06, 1.0413524584789122e-06, 1.0405144768484786e-06,
38, 0.9960283521599502, 0.0020426467690601003, 0.0018409036677176627, 2.9398227292280312e-05, 2.9356972679507727e-05, 2.9340381488400664e-05,
39, 0.9960423453311505, 0.002016353153965108, 0.0018140736491252178, 4.245598364530322e-05, 4.239766614740287e-05, 4.237239267118666e-05,
40, 0.9960584356932762, 0.0019862200587829047, 0.0017855445043935838, 5.665786976140263e-05, 5.658717284691377e-05, 5.6552878202489506e-05,
41, 0.9960795484799232, 0.0019544237609622527, 0.0017561719037241326, 7.002484330381379e-05, 6.993508774718281e-05, 6.989410275276649e-05,
42, 0.9961096197709, 0.0019231373103171738, 0.0017280753077357895, 7.981305259525289e-05, 7.96985063732817e-05, 7.965422816604128e-05,
43, 0.9961807054527355, 0.0019062990381653135, 0.0017129991645806134, 6.67349987515784e-05, 6.664822227086407e-05, 6.661129885553829e-05,
44, 0.9963764296001705, 0.001889526416035425, 0.0016980622343322318, 1.2013609972613543e-05, 1.1987202253287254e-05, 1.197911692699703e-05,
45, 0.9964348097972072, 0.0018732872427513225, 0.0016836238046778471, 2.7638054800409275e-06, 2.757689180038718e-06, 2.755841264297272e-06,
46, 0.9964690777316272, 0.0018586737043460595, 0.0016702923598002882, 6.524767742159221e-07, 6.511558442568708e-07, 6.507517461203053e-07,
47, 0.9964958742840109, 0.0018454896258378985, 0.0016581850814590484, 1.4989306971211308e-07, 1.4968941891588155e-07, 1.4960548221727573e-07,
48, 0.9965236346150623, 0.0018310615977629463, 0.0016449330104779775, 1.2306602473339377e-07, 1.229619665721238e-07, 1.229274029559954e-07,
49, 0.9965489973716201, 0.0018180122697219142, 0.0016329535830292346, 1.1661114193810222e-08, 1.1649267680659682e-08, 1.1645896868435189e-08,
50, 0.9965718776569741, 0.0018059593576753902, 0.001621801355284063, 1.2003413891442096e-07, 1.1990391919976018e-07, 1.198776228096267e-07,
51, 0.9965919507852299, 0.001795661950874132, 0.0016122174231896662, 5.604446093895436e-08, 5.6004634964814056e-08, 5.5979445158861487e-08,
52, 0.9966120067225064, 0.0017836593170394849, 0.0016010948071429577, 1.0795617798086676e-06, 1.0790476008931345e-06, 1.0787328710863563e-06,
53, 0.9966351519477157, 0.0017716744287107752, 0.0015900359969983164, 1.0458996929688896e-06, 1.0451035812534786e-06, 1.0448108934156951e-06,
54, 0.9966606723292152, 0.0017594849470054733, 0.001578746380889215, 3.6521851441905086e-07, 3.6471504241199456e-07, 3.6459595559196646e-07,
55, 0.9966824032591044, 0.0017485010532638794, 0.00156831033397632, 2.6165363514396444e-07, 2.609884163007436e-07, 2.6090296058850293e-07,
