Optimize time:17.251792642407946
Begin Prob:-13347.462676793437
End Prob:-13293.560297161155
Substitution parameters:[0.26603566005548485, 0.20033739720958652, 0.2139798993177184, 0.31964704341721034, 0.8202625460779918]
Trees:
((3:910.575331717409,(4:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713,(1:999.9999215812713,2:999.9999215812713):999.9999215812713);
((4:999.9999215812713,5:999.9999215812713):999.9999215812713,(2:999.9999215812713,(1:999.9999215812713,3:999.9999215812713):999.9999215812713):999.9999215812713);
((4:999.9999215812713,3:999.9999215812713):910.575331717409,(1:999.9999215812713,(2:999.9999215812713,5:760.0811484073806):910.575331717409):916.0044617107056);
((5:693.0674802345802,(4:999.9843942789408,3:839.7319490141003):839.6364184962321):910.9812857678471,(1:999.9999215812713,2:999.9999215812713):839.7325349695025);
(1:999.9999215812713,(4:999.9999215812713,(2:999.9999215812713,(3:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(4:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((4:999.9999215812713,3:999.9999215812713):999.9999215812713,(2:999.9999215812713,(1:999.9999215812713,5:999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(4:679.3424767818285,(3:854.0894868541718,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(3:999.9843942789408,(5:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
(1:999.9999215812713,(5:999.9999215812713,(3:999.9999215812713,(4:999.9999215812713,2:999.9999215812713):999.9999215812713):999.9999215812713):999.9999215812713);
((4:763.9322585681878,5:764.4001439200237):764.270884260522,(1:763.9293773743323,(3:763.9044780457762,2:763.9322585681878):764.270884260522):763.9196332746413);
(1:764.4001439200237,(3:764.270884260522,(4:790.6339533005511,(2:764.4001439200237,5:790.634034277596):763.9322585681878):763.9322585681878):763.9196332746413);
((3:763.9196332746413,5:692.5360794915038):763.9196332746413,(1:763.9196332746413,(4:763.9322585681878,2:763.9322585681878):693.0680613377286):763.9322585681878);
((4:761.6030458860464,(3:692.5360794915038,5:763.9322585681878):692.5360794915038):763.9196332746413,(1:763.9196332746413,2:763.9196332746413):692.7090905440012);
(1:763.9322585681878,(4:764.0041473121335,(3:763.9284705495322,(2:1.16719,5:0.891166):1e-06):1e-06):0.58647);

Position, Posteriors1, Posteriors2, Posteriors3, Posteriors4, Posteriors5, Posteriors6, Posteriors7, Posteriors8, Posteriors9, Posteriors10, Posteriors11, Posteriors12, Posteriors13, Posteriors14, Posteriors15,
0, 1.4841323224102035e-05, 2.9014397243476347e-05, 2.1537437694390572e-05, 2.279956694045863e-05, 0.2676645954539916, 0.009036341669294982, 2.153751860930159e-05, 0.21664727481788162, 0.08269983422191213, 0.1252346764376377, 2.901380074297287e-05, 0.282977067411107, 2.7936910146037626e-05, 2.2991665998192346e-05, 0.015550537883658537,
1, 1.2437943387178417e-05, 2.4748853506717634e-05, 1.8379244104247688e-05, 1.8883497404941005e-05, 0.2676763106632934, 0.009032217191616235, 1.8379318484470982e-05, 0.21665586914450582, 0.08270021612501002, 0.12523766550126691, 2.474826913447169e-05, 0.282989722719364, 2.452934387106857e-05, 1.908559990200392e-05, 0.0155468071026444,
2, 1.0709087116698624e-05, 2.2359437051007175e-05, 1.6645010432969424e-05, 1.582496260253751e-05, 0.2676851683894391, 0.009027975946953683, 1.6645081689332555e-05, 0.21666215091167615, 0.08269970382542431, 0.12523930798044264, 2.235885047773286e-05, 0.2829993612169476, 2.2869825907242967e-05, 1.6027692294898245e-05, 0.015542892297420069,
3, 9.855053463840619e-06, 2.019710080198404e-05, 1.5482844580841494e-05, 1.3281787455514473e-05, 0.2676929336781819, 0.009023733879931233, 1.5482911466730472e-05, 0.21666755741842655, 0.08269887219769322, 0.12524045357914954, 2.01965236701531e-05, 0.2830078448632981, 2.167171780583031e-05, 1.3493414578817002e-05, 0.015538943545769485,
4, 9.14873910546673e-06, 1.830006280862609e-05, 1.4147108858141998e-05, 1.120250359324193e-05, 0.2677003777606485, 0.009019487950709925, 1.4147172203851105e-05, 0.2166727020213568, 0.08269794360675983, 0.12524145072259904, 1.8299499226868197e-05, 0.28301598661173427, 2.043252154632035e-05, 1.1392199156850905e-05, 0.015534982036643951,
5, 8.647506630636014e-06, 1.5586293897317537e-05, 1.1637857036752532e-05, 8.31014741594497e-06, 0.2677094928919067, 0.009015333604910499, 1.1637913654936993e-05, 0.2166792049755542, 0.08269755108039338, 0.12524324602687645, 1.5585746434927757e-05, 0.283025891520651, 1.8306500001756646e-05, 8.420691781547293e-06, 0.015531147759087663,
6, 7.675481180721592e-06, 1.3881124275309912e-05, 1.0001723561060246e-05, 6.733264146387763e-06, 0.26771702359522853, 0.009011112235529457, 1.00017784879128e-05, 0.2166844178965739, 0.08269665882695229, 0.1252442914999979, 1.3880594566157428e-05, 0.28303412054894017, 1.620567338880717e-05, 6.786499097497545e-06, 0.015527209774234708,
7, 6.93108276163276e-06, 1.2011184664639258e-05, 8.58962786130299e-06, 5.4102566341193255e-06, 0.26772430610273124, 0.009006891296801978, 8.589680951993103e-06, 0.21668942879224076, 0.08269569319959555, 0.12524522348929365, 1.201068035441411e-05, 0.2830420853551416, 1.413872981451271e-05, 5.426096812451538e-06, 0.015523264939747665,
8, 6.099535675401074e-06, 1.0986104520486722e-05, 7.0727739779658185e-06, 4.441513708115419e-06, 0.2677308548658335, 0.009002606686690326, 7.07282574641509e-06, 0.21669383848637286, 0.08269448049961427, 0.12524579594441163, 1.0985620437947438e-05, 0.2830492756619019, 1.2806431964791255e-05, 4.438680396839917e-06, 0.01551924488412045,
9, 5.715690872844412e-06, 1.0326230524993962e-05, 5.760630062031518e-06, 3.6541897610197944e-06, 0.26773673829019684, 0.008998340152284585, 5.760677170853997e-06, 0.2166977182020337, 0.0826930812533595, 0.1252460716513674, 1.0325760459301474e-05, 0.2830557625875857, 1.1885918222432638e-05, 3.640271334863476e-06, 0.0155152190104567,
